record_id,phase_id,entity,country,date,metric_type,metric_category,d_value,c_value,n_value,balance_score,sustainability_index,unit,source_type,source_name,url,notes
1,0,Pre-commercial: degraded ecosystem_Entity,Nigeria,2025-01-01,daily_state,ndc_balance,207.66,204.2,147.54,71.05,1.0178,index,simulated,PDI Synthetic Generator — Baseline,,AUBEB mangrove baseline scenario
2,1,Custodial formalisation_Entity,Cameroon,2025-01-01,daily_state,ndc_balance,218.09,261.63,222.23,84.94,0.6246,index,simulated,PDI Synthetic Generator — Baseline,,AUBEB mangrove baseline scenario
3,2,Data extraction — baseline remote sensing_Entity,Mozambique,2025-01-01,daily_state,ndc_balance,252.16,310.12,231.05,74.5,0.423,index,simulated,PDI Synthetic Generator — Baseline,,AUBEB mangrove baseline scenario
4,3,Specification — carbon quantification_Entity,Madagascar,2025-01-01,daily_state,ndc_balance,261.54,270.73,247.87,91.56,1.1103,index,simulated,PDI Synthetic Generator — Baseline,,AUBEB mangrove baseline scenario
5,4,Certification — verification & registration_Entity,Guinea,2025-01-01,daily_state,ndc_balance,282.25,270.47,217.68,77.12,1.532,index,simulated,PDI Synthetic Generator — Baseline,,AUBEB mangrove baseline scenario
6,5,Commercialisation outward_Entity,Tanzania,2025-01-01,daily_state,ndc_balance,251.7,273.91,223.05,81.43,0.2564,index,simulated,PDI Synthetic Generator — Baseline,,AUBEB mangrove baseline scenario
7,6,Capital return — Conservation Fund deployment_Entity,Benin,2025-01-01,daily_state,ndc_balance,255.08,283.81,236.98,83.5,1.8589,index,simulated,PDI Synthetic Generator — Baseline,,AUBEB mangrove baseline scenario
8,7,Restoration specification — CBEMR design_Entity,Nigeria,2025-01-01,daily_state,ndc_balance,319.0,262.58,272.27,85.35,0.9967,index,simulated,PDI Synthetic Generator — Baseline,,AUBEB mangrove baseline scenario
9,8,Community custodial co-management_Entity,Cameroon,2025-01-01,daily_state,ndc_balance,249.48,247.29,195.17,78.23,1.1112,index,simulated,PDI Synthetic Generator — Baseline,,AUBEB mangrove baseline scenario
10,9,Physical recovery — active regeneration_Entity,Mozambique,2025-01-01,daily_state,ndc_balance,263.33,250.4,251.47,95.5,2.4843,index,simulated,PDI Synthetic Generator — Baseline,,AUBEB mangrove baseline scenario
11,10,Verified restoration — sustained blue economy asset_Entity,Madagascar,2025-01-01,daily_state,ndc_balance,270.46,278.79,273.26,98.02,0.524,index,simulated,PDI Synthetic Generator — Baseline,,AUBEB mangrove baseline scenario
12,0,Pre-commercial: degraded ecosystem_Entity,Nigeria,2025-01-02,daily_state,ndc_balance,199.78,205.53,143.2,69.67,0.968,index,simulated,PDI Synthetic Generator — Baseline,,AUBEB mangrove baseline scenario
13,1,Custodial formalisation_Entity,Cameroon,2025-01-02,daily_state,ndc_balance,215.48,255.5,224.55,87.89,2.3091,index,simulated,PDI Synthetic Generator — Baseline,,AUBEB mangrove baseline scenario
14,2,Data extraction — baseline remote sensing_Entity,Mozambique,2025-01-02,daily_state,ndc_balance,261.85,229.28,235.94,90.11,2.1305,index,simulated,PDI Synthetic Generator — Baseline,,AUBEB mangrove baseline scenario
15,3,Specification — carbon quantification_Entity,Madagascar,2025-01-02,daily_state,ndc_balance,306.76,273.88,249.04,81.18,0.6725,index,simulated,PDI Synthetic Generator — Baseline,,AUBEB mangrove baseline scenario
16,4,Certification — verification & registration_Entity,Guinea,2025-01-02,daily_state,ndc_balance,242.4,266.98,232.62,87.13,1.1189,index,simulated,PDI Synthetic Generator — Baseline,,AUBEB mangrove baseline scenario
17,5,Commercialisation outward_Entity,Tanzania,2025-01-02,daily_state,ndc_balance,222.94,283.6,240.77,84.9,1.1904,index,simulated,PDI Synthetic Generator — Baseline,,AUBEB mangrove baseline scenario
18,6,Capital return — Conservation Fund deployment_Entity,Benin,2025-01-02,daily_state,ndc_balance,251.42,287.62,256.34,89.12,2.1053,index,simulated,PDI Synthetic Generator — Baseline,,AUBEB mangrove baseline scenario
19,7,Restoration specification — CBEMR design_Entity,Nigeria,2025-01-02,daily_state,ndc_balance,272.81,294.22,245.25,83.36,1.6389,index,simulated,PDI Synthetic Generator — Baseline,,AUBEB mangrove baseline scenario
20,8,Community custodial co-management_Entity,Cameroon,2025-01-02,daily_state,ndc_balance,230.84,230.14,191.0,82.74,1.1857,index,simulated,PDI Synthetic Generator — Baseline,,AUBEB mangrove baseline scenario
21,9,Physical recovery — active regeneration_Entity,Mozambique,2025-01-02,daily_state,ndc_balance,265.38,252.05,264.92,99.83,2.6633,index,simulated,PDI Synthetic Generator — Baseline,,AUBEB mangrove baseline scenario
22,10,Verified restoration — sustained blue economy asset_Entity,Madagascar,2025-01-02,daily_state,ndc_balance,284.72,278.87,243.57,85.55,0.334,index,simulated,PDI Synthetic Generator — Baseline,,AUBEB mangrove baseline scenario
23,0,Pre-commercial: degraded ecosystem_Entity,Nigeria,2025-01-03,daily_state,ndc_balance,220.95,179.83,150.44,68.09,0.2257,index,simulated,PDI Synthetic Generator — Baseline,,AUBEB mangrove baseline scenario
24,1,Custodial formalisation_Entity,Cameroon,2025-01-03,daily_state,ndc_balance,219.52,273.85,191.27,69.84,0.3155,index,simulated,PDI Synthetic Generator — Baseline,,AUBEB mangrove baseline scenario
25,2,Data extraction — baseline remote sensing_Entity,Mozambique,2025-01-03,daily_state,ndc_balance,236.83,275.19,240.21,87.29,1.0991,index,simulated,PDI Synthetic Generator — Baseline,,AUBEB mangrove baseline scenario
26,3,Specification — carbon quantification_Entity,Madagascar,2025-01-03,daily_state,ndc_balance,313.94,276.83,275.65,87.8,1.7507,index,simulated,PDI Synthetic Generator — Baseline,,AUBEB mangrove baseline scenario
27,4,Certification — verification & registration_Entity,Guinea,2025-01-03,daily_state,ndc_balance,264.07,285.45,258.68,90.62,1.2178,index,simulated,PDI Synthetic Generator — Baseline,,AUBEB mangrove baseline scenario
28,5,Commercialisation outward_Entity,Tanzania,2025-01-03,daily_state,ndc_balance,259.31,263.76,232.22,88.04,0.7028,index,simulated,PDI Synthetic Generator — Baseline,,AUBEB mangrove baseline scenario
29,6,Capital return — Conservation Fund deployment_Entity,Benin,2025-01-03,daily_state,ndc_balance,249.08,290.5,230.21,79.25,0.3088,index,simulated,PDI Synthetic Generator — Baseline,,AUBEB mangrove baseline scenario
30,7,Restoration specification — CBEMR design_Entity,Nigeria,2025-01-03,daily_state,ndc_balance,291.76,264.0,244.0,83.63,1.9196,index,simulated,PDI Synthetic Generator — Baseline,,AUBEB mangrove baseline scenario
31,8,Community custodial co-management_Entity,Cameroon,2025-01-03,daily_state,ndc_balance,239.45,251.45,197.32,78.47,0.5409,index,simulated,PDI Synthetic Generator — Baseline,,AUBEB mangrove baseline scenario
32,9,Physical recovery — active regeneration_Entity,Mozambique,2025-01-03,daily_state,ndc_balance,274.42,275.86,257.19,93.23,1.6009,index,simulated,PDI Synthetic Generator — Baseline,,AUBEB mangrove baseline scenario
33,10,Verified restoration — sustained blue economy asset_Entity,Madagascar,2025-01-03,daily_state,ndc_balance,250.99,276.89,258.51,93.36,0.4896,index,simulated,PDI Synthetic Generator — Baseline,,AUBEB mangrove baseline scenario
34,0,Pre-commercial: degraded ecosystem_Entity,Nigeria,2025-01-04,daily_state,ndc_balance,192.7,188.57,145.75,75.64,0.893,index,simulated,PDI Synthetic Generator — Baseline,,AUBEB mangrove baseline scenario
35,1,Custodial formalisation_Entity,Cameroon,2025-01-04,daily_state,ndc_balance,209.51,247.8,218.79,88.29,1.0813,index,simulated,PDI Synthetic Generator — Baseline,,AUBEB mangrove baseline scenario
36,2,Data extraction — baseline remote sensing_Entity,Mozambique,2025-01-04,daily_state,ndc_balance,255.31,254.73,267.55,104.79,1.0667,index,simulated,PDI Synthetic Generator — Baseline,,AUBEB mangrove baseline scenario
37,3,Specification — carbon quantification_Entity,Madagascar,2025-01-04,daily_state,ndc_balance,286.73,288.57,246.01,85.25,0.7082,index,simulated,PDI Synthetic Generator — Baseline,,AUBEB mangrove baseline scenario
38,4,Certification — verification & registration_Entity,Guinea,2025-01-04,daily_state,ndc_balance,265.94,287.65,230.84,80.25,1.6909,index,simulated,PDI Synthetic Generator — Baseline,,AUBEB mangrove baseline scenario
39,5,Commercialisation outward_Entity,Tanzania,2025-01-04,daily_state,ndc_balance,255.22,270.36,259.58,96.01,2.6884,index,simulated,PDI Synthetic Generator — Baseline,,AUBEB mangrove baseline scenario
40,6,Capital return — Conservation Fund deployment_Entity,Benin,2025-01-04,daily_state,ndc_balance,259.87,300.38,217.08,72.27,0.3912,index,simulated,PDI Synthetic Generator — Baseline,,AUBEB mangrove baseline scenario
41,7,Restoration specification — CBEMR design_Entity,Nigeria,2025-01-04,daily_state,ndc_balance,268.4,273.02,247.73,90.74,1.0894,index,simulated,PDI Synthetic Generator — Baseline,,AUBEB mangrove baseline scenario
42,8,Community custodial co-management_Entity,Cameroon,2025-01-04,daily_state,ndc_balance,238.87,268.01,195.15,72.81,1.2815,index,simulated,PDI Synthetic Generator — Baseline,,AUBEB mangrove baseline scenario
43,9,Physical recovery — active regeneration_Entity,Mozambique,2025-01-04,daily_state,ndc_balance,236.77,256.42,277.25,108.12,2.105,index,simulated,PDI Synthetic Generator — Baseline,,AUBEB mangrove baseline scenario
44,10,Verified restoration — sustained blue economy asset_Entity,Madagascar,2025-01-04,daily_state,ndc_balance,265.39,270.13,246.3,91.18,0.9154,index,simulated,PDI Synthetic Generator — Baseline,,AUBEB mangrove baseline scenario
45,0,Pre-commercial: degraded ecosystem_Entity,Nigeria,2025-01-05,daily_state,ndc_balance,215.48,196.92,128.35,59.56,0.1612,index,simulated,PDI Synthetic Generator — Baseline,,AUBEB mangrove baseline scenario
46,1,Custodial formalisation_Entity,Cameroon,2025-01-05,daily_state,ndc_balance,206.47,255.34,205.38,80.43,1.6836,index,simulated,PDI Synthetic Generator — Baseline,,AUBEB mangrove baseline scenario
