record_id,phase_id,entity,country,date,metric_name,metric_value,unit,source_type,source_name,url,notes
1,0,UNESCO World Heritage Centre,Danube Basin,2021-01-01,total_whs_inscriptions_danube,15,count,public,UNESCO World Heritage List,https://whc.unesco.org,15 World Heritage Sites in or adjacent to the Danube basin including Vienna Historic Centre; Budapest; Wachau; Fertő-Neusiedlersee; Roman Danube Limes; Aggtelek Karst; Belgrade Fortress tentative
2,0,UNESCO World Heritage Centre,Austria/Slovakia/Hungary,2021-07-27,roman_danube_limes_whs_inscription,2021,year,public,UNESCO WHC Decision 44 COM 8B.39,https://whc.unesco.org,Roman Danube Limes transboundary inscription covering ~600 km frontier infrastructure across 3 countries; inscribed 44th session Fuzhou 2021
3,0,Austrian Federal Monuments Office,Austria,2023-01-01,national_heritage_register_sites,64000,count,public,Bundesdenkmalamt Denkmalliste,https://www.bda.gv.at,Austria national heritage register; most comprehensive in basin; includes all UNESCO-inscribed components
4,0,Romanian National Heritage Institute,Romania,2022-01-01,national_heritage_register_sites_romania,30000,count,public,Lista Monumentelor Istorice 2022,https://www.cultura.ro,Romanian list of historic monuments 2022 (LMI); includes Danube Delta traditional settlements and fortresses
5,0,ICOMOS,Danube Basin,2023-01-01,heritage_sites_inadequate_documentation_pct,28,percent,public,ICOMOS European Quality Principles for Heritage-led Projects,https://www.icomos.org,Estimated 28% of registered Danube sites have incomplete or outdated documentation; concentrated in non-EU countries
6,0,Various,Iron Gate (Romania/Serbia),1969-01-01,iron_gate_submerged_archaeological_sites,approximately 60,count,public,Archaeological rescue operations 1965-1970 (partial),https://www.icpdr.org,Emergency excavations 1965-1970 before Iron Gate I impoundment; significant sites including Lepenski Vir salvaged; others permanently lost under reservoir
7,1,ICOMOS,Danube Basin,2023-01-01,heritage_sites_in_poor_condition_pct,35,percent,public,ICOMOS State of Conservation Periodic Report Europe 2023,https://www.icomos.org,Approximately 35% of Danube corridor heritage sites assessed as in poor or critical condition; primary causes: deferred maintenance; flood damage; climate change
8,1,European Commission,EU Danube states,2021-01-01,erdf_cultural_heritage_allocation_2021_2027_eur_mn,420,EUR million,public,EU Cohesion Policy 2021-2027 Programme Monitoring,https://cohesiondata.ec.europa.eu,ERDF allocation for cultural heritage in Danube riparian EU member states 2021-2027; Austria; Slovakia; Hungary; Croatia; Romania; Bulgaria
9,1,ICOMOS,Danube Basin,2023-01-01,annual_conservation_funding_gap_eur_mn,180,EUR million/yr,public,ICOMOS European Heritage at Risk Report 2023,https://www.icomos.org,Estimated annual conservation funding gap between ERDF allocations and assessed need; EUR 420 million over 7 years = EUR 60M/yr vs EUR 240M/yr assessed need
10,1,ICPDR / EEA,Danube Basin,2021-01-01,heritage_sites_in_100yr_floodplain_count,340,count,inferred,EEA Flood hazard mapping; ICPDR Flood Risk Management Plans 2021,https://www.eea.europa.eu,Estimated 340 heritage sites within 100-year floodplain; risk increases under RCP 4.5-8.5 scenarios (20-30% increase in peak flows by 2050)
11,2,Danube Tourist Commission,Danube Basin,2023-01-01,danube_cruise_passengers_yr,250000,passengers/yr,public,Danube Tourist Commission Annual Report 2023,https://www.danube-tourist-commission.org,Danube river cruise passengers per year; approximately 15% below 2019 peak (295000) due to ongoing cruise fleet reconfiguration
