record_id,phase_id,entity,country,date,metric_type,metric_category,d_value,c_value,n_value,balance_score,sustainability_index,unit,source_type,source_name,url,notes
1,0,Geological Prospecting_Entity,USA,2025-01-01,daily_state,ndc_balance,245.36,248.46,240.82,97.54,5.1015,index,simulated,Synthetic Generator - Shock,,Supply shock at Phase 2 on day 40 - cascade propagation
2,1,Mine Extraction_Entity,USA,2025-01-01,daily_state,ndc_balance,254.16,250.76,245.79,97.36,4.6392,index,simulated,Synthetic Generator - Shock,,Supply shock at Phase 2 on day 40 - cascade propagation
3,2,Ore Processing_Entity,USA,2025-01-01,daily_state,ndc_balance,247.92,238.21,224.69,92.46,0.9574,index,simulated,Synthetic Generator - Shock,,Supply shock at Phase 2 on day 40 - cascade propagation
4,3,Doré Production_Entity,USA,2025-01-01,daily_state,ndc_balance,297.37,261.32,218.75,78.47,0.0764,index,simulated,Synthetic Generator - Shock,,Supply shock at Phase 2 on day 40 - cascade propagation
5,4,Refining_Entity,USA,2025-01-01,daily_state,ndc_balance,256.2,240.8,220.25,88.68,0.4049,index,simulated,Synthetic Generator - Shock,,Supply shock at Phase 2 on day 40 - cascade propagation
6,5,Bar Casting & Assay_Entity,USA,2025-01-01,daily_state,ndc_balance,243.23,242.65,241.77,99.52,9.6679,index,simulated,Synthetic Generator - Shock,,Supply shock at Phase 2 on day 40 - cascade propagation
7,6,Logistics & Vaulting_Entity,USA,2025-01-01,daily_state,ndc_balance,254.39,211.15,164.97,71.18,0.0532,index,simulated,Synthetic Generator - Shock,,Supply shock at Phase 2 on day 40 - cascade propagation
8,7,Exchange Registration_Entity,USA,2025-01-01,daily_state,ndc_balance,226.46,233.54,216.45,94.12,1.6644,index,simulated,Synthetic Generator - Shock,,Supply shock at Phase 2 on day 40 - cascade propagation
9,0,Geological Prospecting_Entity,USA,2025-01-02,daily_state,ndc_balance,253.11,240.69,223.76,90.66,0.6094,index,simulated,Synthetic Generator - Shock,,Supply shock at Phase 2 on day 40 - cascade propagation
10,1,Mine Extraction_Entity,USA,2025-01-02,daily_state,ndc_balance,272.17,218.32,164.1,67.32,0.0344,index,simulated,Synthetic Generator - Shock,,Supply shock at Phase 2 on day 40 - cascade propagation
11,2,Ore Processing_Entity,USA,2025-01-02,daily_state,ndc_balance,238.73,272.36,199.19,78.12,0.0876,index,simulated,Synthetic Generator - Shock,,Supply shock at Phase 2 on day 40 - cascade propagation
12,3,Doré Production_Entity,USA,2025-01-02,daily_state,ndc_balance,251.97,260.93,239.39,93.36,1.1076,index,simulated,Synthetic Generator - Shock,,Supply shock at Phase 2 on day 40 - cascade propagation
13,4,Refining_Entity,USA,2025-01-02,daily_state,ndc_balance,280.77,232.51,181.18,70.91,0.0428,index,simulated,Synthetic Generator - Shock,,Supply shock at Phase 2 on day 40 - cascade propagation
14,5,Bar Casting & Assay_Entity,USA,2025-01-02,daily_state,ndc_balance,248.51,240.1,228.27,93.45,1.2377,index,simulated,Synthetic Generator - Shock,,Supply shock at Phase 2 on day 40 - cascade propagation
15,6,Logistics & Vaulting_Entity,USA,2025-01-02,daily_state,ndc_balance,220.68,239.41,196.56,85.51,0.2771,index,simulated,Synthetic Generator - Shock,,Supply shock at Phase 2 on day 40 - cascade propagation
16,7,Exchange Registration_Entity,USA,2025-01-02,daily_state,ndc_balance,263.22,254.73,242.77,93.76,1.2195,index,simulated,Synthetic Generator - Shock,,Supply shock at Phase 2 on day 40 - cascade propagation
17,0,Geological Prospecting_Entity,USA,2025-01-03,daily_state,ndc_balance,259.29,238.24,211.3,85.02,0.2208,index,simulated,Synthetic Generator - Shock,,Supply shock at Phase 2 on day 40 - cascade propagation
18,1,Mine Extraction_Entity,USA,2025-01-03,daily_state,ndc_balance,240.16,267.85,206.25,81.32,0.1288,index,simulated,Synthetic Generator - Shock,,Supply shock at Phase 2 on day 40 - cascade propagation
19,2,Ore Processing_Entity,USA,2025-01-03,daily_state,ndc_balance,242.54,250.29,231.59,93.99,1.4263,index,simulated,Synthetic Generator - Shock,,Supply shock at Phase 2 on day 40 - cascade propagation
20,3,Doré Production_Entity,USA,2025-01-03,daily_state,ndc_balance,252.45,271.31,227.74,87.02,0.2734,index,simulated,Synthetic Generator - Shock,,Supply shock at Phase 2 on day 40 - cascade propagation
21,4,Refining_Entity,USA,2025-01-03,daily_state,ndc_balance,264.57,221.69,175.12,72.31,0.0541,index,simulated,Synthetic Generator - Shock,,Supply shock at Phase 2 on day 40 - cascade propagation
22,5,Bar Casting & Assay_Entity,USA,2025-01-03,daily_state,ndc_balance,232.19,255.42,203.02,83.37,0.1819,index,simulated,Synthetic Generator - Shock,,Supply shock at Phase 2 on day 40 - cascade propagation
23,6,Logistics & Vaulting_Entity,USA,2025-01-03,daily_state,ndc_balance,249.03,236.81,220.13,90.65,0.6269,index,simulated,Synthetic Generator - Shock,,Supply shock at Phase 2 on day 40 - cascade propagation
24,7,Exchange Registration_Entity,USA,2025-01-03,daily_state,ndc_balance,265.23,248.37,226.02,88.06,0.3398,index,simulated,Synthetic Generator - Shock,,Supply shock at Phase 2 on day 40 - cascade propagation
25,0,Geological Prospecting_Entity,USA,2025-01-04,daily_state,ndc_balance,250.79,259.04,239.15,93.83,1.281,index,simulated,Synthetic Generator - Shock,,Supply shock at Phase 2 on day 40 - cascade propagation
26,1,Mine Extraction_Entity,USA,2025-01-04,daily_state,ndc_balance,244.37,273.23,209.19,80.96,0.1186,index,simulated,Synthetic Generator - Shock,,Supply shock at Phase 2 on day 40 - cascade propagation
27,2,Ore Processing_Entity,USA,2025-01-04,daily_state,ndc_balance,238.18,256.82,213.9,86.48,0.2796,index,simulated,Synthetic Generator - Shock,,Supply shock at Phase 2 on day 40 - cascade propagation
28,3,Doré Production_Entity,USA,2025-01-04,daily_state,ndc_balance,271.51,220.21,167.57,68.53,0.0379,index,simulated,Synthetic Generator - Shock,,Supply shock at Phase 2 on day 40 - cascade propagation
29,4,Refining_Entity,USA,2025-01-04,daily_state,ndc_balance,244.85,265.56,218.17,85.56,0.2278,index,simulated,Synthetic Generator - Shock,,Supply shock at Phase 2 on day 40 - cascade propagation
30,5,Bar Casting & Assay_Entity,USA,2025-01-04,daily_state,ndc_balance,267.36,241.91,210.24,82.67,0.1521,index,simulated,Synthetic Generator - Shock,,Supply shock at Phase 2 on day 40 - cascade propagation
31,6,Logistics & Vaulting_Entity,USA,2025-01-04,daily_state,ndc_balance,238.98,262.21,209.68,83.76,0.182,index,simulated,Synthetic Generator - Shock,,Supply shock at Phase 2 on day 40 - cascade propagation
32,7,Exchange Registration_Entity,USA,2025-01-04,daily_state,ndc_balance,267.75,224.04,176.69,72.14,0.0521,index,simulated,Synthetic Generator - Shock,,Supply shock at Phase 2 on day 40 - cascade propagation
33,0,Geological Prospecting_Entity,USA,2025-01-05,daily_state,ndc_balance,231.94,249.05,209.48,87.16,0.3302,index,simulated,Synthetic Generator - Shock,,Supply shock at Phase 2 on day 40 - cascade propagation
34,1,Mine Extraction_Entity,USA,2025-01-05,daily_state,ndc_balance,259.44,239.62,214.0,85.83,0.2482,index,simulated,Synthetic Generator - Shock,,Supply shock at Phase 2 on day 40 - cascade propagation
35,2,Ore Processing_Entity,USA,2025-01-05,daily_state,ndc_balance,260.19,232.22,198.25,80.65,0.1262,index,simulated,Synthetic Generator - Shock,,Supply shock at Phase 2 on day 40 - cascade propagation
