record_id,phase_id,metric_name,metric_value,unit,source_type,source_name,custodian,data_status,notes
1,0,employment_burkina_faso,3000000,persons,public,FAO 2017 Chen,,POPULATED,"Shea industry; full sector."
2,0,share_women_collection_only,0.94,ratio,public,FAO 2017 Chen,,POPULATED,"94% women in collection only."
3,0,season_start,,,public,,,OPAQUE,"Month/week; not specified."
4,0,season_end,,,public,,,OPAQUE,"Month/week; not specified."
5,0,season_duration_months,5,months,public,US AID 2013 Lovett,,POPULATED,"May to October."
6,0,volume_collected_per_actor,,MT or kg,public,,,OPAQUE,"Per collector per season: not in source."
39,0,pilot_farmers_koul_senegal,50,persons,confidential,Acorn Project Summary 080523,,POPULATED,"Existing farmer participants in Koul pilot (Senegal)."
40,0,potential_participants_senegal_10y,100000,persons,confidential,Acorn Project Summary 080523,,POPULATED,"Potential additional participants in next 10 years (Senegal)."
41,0,additionality_barrier_finance,,,confidential,Serious Shea Additionality Assessment,,POPULATED,"Barrier: limited access to financial resources (phase 0/1)."
42,0,additionality_barrier_expertise,,,confidential,Serious Shea Additionality Assessment,,POPULATED,"Barrier: limited technical expertise for agroforestry."
43,0,additionality_barrier_land,,,confidential,Serious Shea Additionality Assessment,,POPULATED,"Barrier: degraded soils, erosion, land tenure."
44,0,additionality_barrier_markets,,,confidential,Serious Shea Additionality Assessment,,POPULATED,"Barrier: lack of market opportunities."
7,1,income_sellers_per_MT_dry_kernel,150,US$/MT,public,US AID 2013 Lovett,sellers,POPULATED,"Dry kernel equivalent."
8,1,price_nuts_per_MT,425,US$/MT,public,Rousseau et al. 2015,,POPULATED,"250 CFA/kg; 0.0017 CFA:1 US$; 2013."
9,1,price_nuts_per_kg,250,CFA/kg,public,Rousseau et al. 2015,,POPULATED,"End 2013."
10,2,income_traders_per_MT,250,US$/MT,public,US AID 2013 Lovett,traders,POPULATED,"Dry kernel equivalent."
11,2,income_large_exporters_per_MT_min,250,US$/MT,public,US AID 2013 Lovett,large_exporters,POPULATED,"Range 250-800."
12,2,income_large_exporters_per_MT_max,800,US$/MT,public,US AID 2013 Lovett,large_exporters,POPULATED,"Range 250-800."
13,3,conversion_bags_per_MT,12,bags/MT,public,US AID 2013 Lovett,,POPULATED,"Whole fruits or kernels; ambiguity in source."
14,3,processing_bags_per_woman_per_month,7,bags/month,public,US AID 2013 Lovett,women_processors,POPULATED,
15,3,processing_MT_butter_per_woman_per_month,0.53,MT/month,public,US AID 2013 Lovett,women_processors,POPULATED,"From 7 bags."
16,3,butter_from_7_bags_kg,187,kg,public,US AID 2013 Lovett,women_processors,POPULATED,
17,3,butter_per_woman_per_season_kg,925,kg/season,public,US AID 2013 Lovett,women_processors,POPULATED,"5 months x 187 kg."
18,3,energy_source_BAU,,,public,,,OPAQUE,"Firewood implied; not quantified."
37,3,firewood_kg_per_kg_butter_BAU,20,kg wood/kg butter,confidential,Serious Shea BPlan V8 2023,,POPULATED,"BAU: 20 kg firewood per 1 kg shea butter (driving deforestation)."
19,3,energy_source_Serious_Shea,100% renewable,,public,Clarity/Cleo outline,women_groups,POPULATED,"No firewood."
20,3,CO2e_per_kg_butter_BAU,10.374,kg CO2e/kg,public,Clarity/Cleo outline,,POPULATED,"Formation and transport."
21,3,CO2e_per_kg_butter_Serious_Shea_max,0.5187,kg CO2e/kg,public,Clarity/Cleo outline,,POPULATED,"<5% of BAU."
22,4,export_volume_region_tonnes_min,265000,t/year,public,Yinug & Fetzer 2008,,POPULATED,"West Africa total."
23,4,export_volume_region_tonnes_max,445000,t/year,public,Yinug & Fetzer 2008,,POPULATED,"West Africa total."
24,4,export_value_burkina_faso_min,90000000,US$/annum,public,FAO 2017 Chen,,POPULATED,"90-200M range."
25,4,export_value_burkina_faso_max,200000000,US$/annum,public,FAO 2017 Chen,,POPULATED,"90-200M range."
