source_id,source_name,source_type,phase_coverage,update_frequency,url,access_method,cost,reliability_score,data_status,notes
1,FAO 2017 Chen – Shea women empowerment Burkina Faso,public,"0,1,4",point-in-time,http://www.fao.org/3/a-i8062e.pdf,download,free,,POPULATED,"Social Protection and Forestry WP3. Employment, export value, 94% women, income p.24."
2,US AID 2013 Lovett – Global Shea NYC conference,public,"1,2,3",point-in-time,https://globalshea.com/uploads/files/nyc_shea_trade_and_industry_conference_presentations/lovett_nyc_global_shea_may_2013_75.pdf,download,free,,POPULATED,"Income per MT by actor; processing 7 bags->187kg; 12 bags/MT; 5 months."
3,Agritech Group 2016 – Serious Shea scoping BAU,public,"0,1,2,3,4",point-in-time,,,free,,OPAQUE,"West Africa BAU; no quantitative data extracted on page."
4,Rousseau et al. 2015 – Shea nut price,public,1,point-in-time,,,free,,POPULATED,"250 CFA/kg end 2013."
5,Yinug & Fetzer 2008 – West Africa exports,public,4,point-in-time,,,free,,POPULATED,"265k-445k t/year region."
6,Lovett 2004b – Share consumed in region,public,4,point-in-time,,,free,,POPULATED,"57% consumed (one bound)."
7,US Aid 2010 – Share consumed in region,public,4,point-in-time,,,free,,POPULATED,"41% (one bound)."
8,Clarity Coalition – Cleo Shea True Value page,public,"3,5,6",point-in-time,https://claritycoalition.net/?epkb_post_type_1=true-value-chain-cleo-shea-carbon&seq_no=2,web,free,,POPULATED,"CO2e BAU vs Serious Shea; Cleo product; 95% shea; 100% renewable; prices; income uplift."
9,Clarity Coalition – Serious Shea Senegal (BF adapted),internal,"0,1,2,3,4",point-in-time,https://claritycoalition.net/clarity-true-value-projects/truevalue-africa/serious-shea-burkina-faso-adapted-to-senegal/,web,password,,METADATA_ONLY,"Password-protected. Extracted from nav/title: Senegal Carbon Equity/Debt Fund 2023 – EUR 0.5B by 2053; BF 2021 – US$10M, US$2M profit Year 3."
10,Mirova Shea Senegal Feasibility Report v1.1,confidential,"0,1,2,3,4",point-in-time,frontend/project/west_african_shea/data/Mirova-Shea-Senegal-Feasibility-Report-v1.1.pdf,local_file,,,PARTIAL,"102 pages. Land-use table extracted (Shea site: 19.16% shrubs, 56.84% open forest, etc.). Main body text not machine-extracted (PDF layout)."
11,Serious Shea Senegal Business Plan V8 April 2023,confidential,"0,1,2,3,4,5,6",point-in-time,frontend/project/west_african_shea/data/230424-ShortSeriousShea.BPlan_.Pres_.-V8Draft-SNJ.pdf,local_file,,,POPULATED,"27 slides. Senegal GGW; €25M invest; €50M gross profit Y10; 3774 T p.a. agro-food; 20 kg wood/kg butter BAU; 35M trees; 26 facilities; 40% Mirova / 60% debt; Agritech 5-10k T/year shea nuts."
12,Acorn (Rabobank) Local Partner Onboarding Process,public,"0,1",point-in-time,v2/data/Acorn-Local-Partner-Onboarding-Process.pdf,local_file,free,,REFERENCE_ONLY,"6 slides. Generic agroforestry/carbon project onboarding (eligibility, ground truth, farmer data). No shea-specific metrics; useful as process reference."
13,Acorn Project Summary Completed 080523,confidential,"0,1",point-in-time,v2/data/080523-Acorn-Project-Summary-Completed.docx,local_file,,,POPULATED,"Senegal Thies/Fatick/Diourbel; 50 pilot farmers Koul; 100k potential participants 10y; 1 ha/farmer; PAPSEN 400 ha irrigated; partner since 2007 (BF, Benin, Togo, CIV, Nigeria, Cameroon)."
14,George Comments SS Senegal BP April 2023,confidential,"0,4",point-in-time,frontend/project/west_african_shea/data/230401-George-Commnts-SS-Senegal-BP-.docx,local_file,,,POPULATED,"Senegal 196,712 km², 17M pop; GGW priority 116,000 km² (11.6M ha); 1M ha starts Senegal; branding/ChainZy."
15,EP Carbon new Requirements (plantation sites),confidential,"0,1",point-in-time,v2/data/Ep-Carbon-new-Requirements.xlsx,local_file,,,POPULATED,"Plantation site list: PAPSEN, Ndiakhate Saer, Nghass, Darou Salam, Tambacounda, Belle, GGW Senegal, etc.; Primary/Secondary Area (Ha); Fatick, Diourbel, Shea Plantation Zone."
16,Serious Shea Additionality Assessment Acorn,confidential,"0,1",point-in-time,frontend/project/west_african_shea/data/Serious-Shea-Additionality-Assessment1.docx,local_file,,,POPULATED,"Barriers: no agroforestry knowledge, finance, expertise, land, markets. Planting: all trees in one year. Senegal Thies/Fatick/Diourbel."
17,Serious Shea Global Indicator Framework SDG 2023 refinement,confidential,"0,1,2,3,4,5,6",point-in-time,frontend/project/west_african_shea/data/Serious-Shea-Global-Indicator-Framework-after-2023-refinement.English.xlsx,local_file,,,POPULATED,"SDG framework; baseline 100,000 workers / 1M people; Serious Shea 2030 target Zero (poverty); UNSD codes; Cooperatives MoV."
18,Serious Shea Financial Model v1.1,confidential,"0,1,2,3,4,5,6",point-in-time,frontend/project/west_african_shea/data/230428-Serious-Shea-Financial-Model-v1.1.xlsx,local_file,,,REFERENCE_ONLY,"31-year Senegal ARR forecast; NPV, VCU, costs; structure aligns with BPlan. Numeric extraction not done."
19,Clarity Coalition – Serious Shea True Value Leads African Private Sector in Europe (EP 2023),public,"3,4,5",point-in-time,https://claritycoalition.net/news/serious-shea-true-value-leads-african-private-sector-in-europe/,web,free,0.80,POPULATED,"European Parliament event coverage. Key data: 90% exported shea used in chocolate; €50B Sahel ingredients potential by 2030; EU import standards requiring clean-energy processing (D-institutional barrier Phase 4); AfDB and World Bank involvement confirmed."
