record_id,phase_id,entity,country,date,metric_name,metric_value,unit,source_type,source_name,url,notes
1,1,Australian Gold and Lead Sector,Australia,2003-06-30,production_tonnes_year,260,t/year,public,Foran et al. 2005 Balancing Act Vol 2,https://www.environment.gov.au/,Sectors 13140010+13170010. Annual gold production as of 2002-2003 reporting year.
2,1,Australian Gold and Lead Sector,Australia,2003-06-30,economic_demonstrated_reserves_tonnes,5165,t,public,Foran et al. 2005 Balancing Act Vol 2,https://www.environment.gov.au/,Economic demonstrated reserves as of 2003.
3,1,Australian Gold and Lead Sector,Australia,2003-06-30,economic_life_years,19,years,public,Foran et al. 2005 Balancing Act Vol 2,https://www.environment.gov.au/,18-20 year midpoint estimate.
4,1,Australian Gold and Lead Sector,Australia,2003-06-30,gdp_contribution_pct,0.49,percent,public,Foran et al. 2005 Balancing Act Vol 2,https://www.environment.gov.au/,Ranked 40th of 135 sectors.
5,1,Australian Gold and Lead Sector,Australia,2003-06-30,sector_turnover_aud_billion,6,AUD billion,public,Foran et al. 2005 Balancing Act Vol 2,https://www.environment.gov.au/,90 enterprises.
6,1,Australian Gold and Lead Sector,Australia,2003-06-30,employment_total_years,27000,employment-years,public,Foran et al. 2005 Balancing Act Vol 2,https://www.environment.gov.au/,11000 direct + 16000 in upstream suppliers.
7,1,Australian Gold and Lead Sector,Australia,2003-06-30,tbl_ghg_intensity_vs_avg,-0.35,ratio_vs_economy_avg,public,Foran et al. 2005 Balancing Act Vol 2,https://www.environment.gov.au/,GHG emissions 35% below economy-wide average per $1 final demand.
8,1,Australian Gold and Lead Sector,Australia,2003-06-30,tbl_water_intensity_vs_avg,-0.85,ratio_vs_economy_avg,public,Foran et al. 2005 Balancing Act Vol 2,https://www.environment.gov.au/,Water use 85% below economy-wide average per $1 final demand.
9,1,Australian Gold and Lead Sector,Australia,2003-06-30,tbl_land_disturbance_vs_avg,-0.95,ratio_vs_economy_avg,public,Foran et al. 2005 Balancing Act Vol 2,https://www.environment.gov.au/,Land disturbance 95% below economy-wide average per $1 final demand.
10,1,Australian Gold and Lead Sector,Australia,2003-06-30,tbl_employment_generation_vs_avg,-0.60,ratio_vs_economy_avg,public,Foran et al. 2005 Balancing Act Vol 2,https://www.environment.gov.au/,Employment generation 60% below economy-wide average per $1 final demand.
11,1,Australian Gold and Lead Sector,Australia,2003-06-30,tbl_income_vs_avg,-0.50,ratio_vs_economy_avg,public,Foran et al. 2005 Balancing Act Vol 2,https://www.environment.gov.au/,Income indicator 50% below economy-wide average per $1 final demand.
12,1,Australian Gold and Lead Sector,Australia,2003-06-30,tbl_govt_revenue_vs_avg,-0.50,ratio_vs_economy_avg,public,Foran et al. 2005 Balancing Act Vol 2,https://www.environment.gov.au/,Government revenue 50% below economy-wide average per $1 final demand.
13,1,Australian Gold and Lead Sector,Australia,2003-06-30,tbl_operating_surplus_vs_avg,0.10,ratio_vs_economy_avg,public,Foran et al. 2005 Balancing Act Vol 2,https://www.environment.gov.au/,Operating surplus 10% above economy-wide average per $1 final demand.
14,1,Australian Gold and Lead Sector,Australia,2003-06-30,tbl_export_propensity_vs_avg,6.0,ratio_vs_economy_avg,public,Foran et al. 2005 Balancing Act Vol 2,https://www.environment.gov.au/,Export propensity ~6x economy-wide average. Exports = 12x imports.
15,1,Australian Gold and Lead Sector,Australia,2003-06-30,ghg_source_split_direct_pct,13,percent,public,Foran et al. 2005 Balancing Act Vol 2,https://www.environment.gov.au/,Direct mining operations share of total sector GHG emissions.
16,1,Australian Gold and Lead Sector,Australia,2003-06-30,ghg_source_split_electricity_pct,44,percent,public,Foran et al. 2005 Balancing Act Vol 2,https://www.environment.gov.au/,Grid electricity share of total sector GHG emissions. Largest single source.
