metric_name,display_name,description,unit,allowed_value_phase_ids,source_priority,opacity_expected,notes
revenue_usd,Revenue (USD),Gross revenue for the period (entity-level),USD,"0,1,2,3,4,5,6,7,8","public>paid>private",Medium,"Value-chain layer only. Do not mix with physical layer outputs."
opex_usd,Operating Expenditure (USD),Operating costs for the period (entity-level),USD,"0,1,2,3,4,5,6,7,8","public>paid>private",Medium,"Often only available in aggregate financial statements."
capex_usd,Capital Expenditure (USD),Capital spend for the period (entity-level),USD,"0,1,2,3,4,5,6,7,8","public>paid>private",Medium,"May be disclosed by project/segment."
margin_gross_pct,Gross Margin (%),Gross margin as percentage of revenue,percent,"0,1,2,3,4,5,6,7,8","public>paid>private",Medium,"Derived field if revenue + COGS available."
refining_fee_usd_per_oz,Refining Fee (USD/oz),Fee charged for refining per ounce processed,USD/oz,"4,8","paid>private>public",High,"Often commercially confidential."
treatment_charge_usd_per_tonne,Treatment Charge (USD/t),Charge for processing ore/concentrate,USD/tonne,"2","paid>private>public",High,"Commercial contract term."
transport_cost_usd_per_kg,Transport Cost (USD/kg),Transport cost per kg along logistics phases,USD/kg,"6,7","paid>private>public",High,"Highly variable by route/security."
insurance_cost_usd,Insurance Cost (USD),Insurance expense associated with custody/logistics,USD,"6,7","paid>private>public",High,"Often opaque."
royalty_rate_pct,Royalty Rate (%),Effective royalty rate applied,percent,"1,2,3,4,5","public>paid>private",Medium,"Depends on jurisdiction and contract."
tax_rate_effective_pct,Effective Tax Rate (%),Effective tax rate applied,percent,"1,2,3,4,5,6,7,8","public>paid>private",Medium,"Entity-level typically available; site-level opaque."
realized_price_usd_per_oz,Realized Price (USD/oz),Average realized gold price for the period,USD/oz,"7","public>paid>private",Low,"Allowed in value chain; keep separate from supply-chain analysis."
aisc_usd_per_oz,AISC (USD/oz),All-in sustaining cost for mining operations,USD/oz,"1","public>paid>private",Low,"Common in miner disclosures; definitions vary."
cash_cost_usd_per_oz,Cash Cost (USD/oz),Cash cost for mining operations,USD/oz,"1","public>paid>private",Low,"Common but inconsistent; document methodology per entity."
