record_id,phase_id,entity,country,date,metric_name,metric_value,unit,source_type,source_name,url,notes
CN-001,0,Port of Rotterdam Authority,Netherlands,2024,rotterdam_amsterdam_cocoa_throughput_mt,1200000,metric tonnes per year,public,Port of Rotterdam Authority commodity flows 2024,https://www.portofrotterdam.com/en/news-and-press-releases/commodities-handled,Combined Rotterdam + Amsterdam; beans and semi-finished products
CN-002,0,EU Commission,EU,2023,eudr_compliance_deadline_large_operators,2025-12-30,date,public,EU Regulation 2023/1115 (EUDR),https://environment.ec.europa.eu/topics/forests/deforestation/regulation-deforestation-free-products_en,Deadline for EUDR compliance for large operators importing cocoa to EU
CN-003,0,NVWA,Netherlands,2024,nvwa_inspection_categories,3,inspection types,public,NVWA Netherlands Food and Consumer Product Safety Authority,https://www.nvwa.nl/,Phytosanitary certificate + cadmium/lead screening + documentary EUDR check
CN-004,0,Shipping industry,Global,2024,abidjan_to_rotterdam_days_standard,12,days,public,Port of Rotterdam Authority,https://www.portofrotterdam.com/,Standard routing; 22-26 days via Cape of Good Hope (Red Sea avoidance 2024)
CN-005,1,ECA,EU,2024,eca_cut_test_sample_size_beans,300,beans per sample,public,European Cocoa Association grading and sampling standards,https://www.eurococoa.com/,Standard 300-bean cut test for ECA Fair Average Quality grading
CN-006,1,EU Commission,EU,2021,eu_cadmium_limit_cocoa_beans_mg_per_kg,0.8,mg/kg dry weight,public,EU Regulation EC 1881/2006 as amended by Commission Regulation 2021/1399,https://eur-lex.europa.eu/,Limit for raw cocoa beans; cocoa powder limit is 0.3 mg/kg (stricter)
CN-007,1,ICE Futures Europe,UK/NL,2024,liffe_cocoa_contract_size_tonnes,10,metric tonnes per lot,public,ICE Futures Europe LIFFE cocoa futures specification,https://www.theice.com/,Amsterdam/London LIFFE cocoa futures; USD/tonne denomination
CN-008,2,ICCO,Netherlands,2024,amsterdam_grinding_mt_year,600000,metric tonnes per year,public,ICCO Grinding Data by Country,https://www.icco.org/statistics/,Amsterdam is world's largest single cocoa grinding location
CN-009,2,EU Commission,EU,2021,eu_cadmium_limit_cocoa_powder_mg_per_kg,0.3,mg/kg,public,Commission Regulation 2021/1399 amending EC 1881/2006,https://eur-lex.europa.eu/,Stricter limit for cocoa powder; drives origin blending decisions by grinders
CN-010,2,Barry Callebaut,Global,2024,barry_callebaut_global_volume_mt,2200000,metric tonnes,public,Barry Callebaut Annual Report FY2023/24,https://www.barry-callebaut.com/en/investors/annual-report,Total cocoa and chocolate volumes processed globally including NL operations
