record_id,phase_id,entity,country,date,metric_name,metric_value,unit,source_type,source_name,url,notes
1,0,National Fisheries Authorities,Danube Basin,2022-01-01,commercial_fishing_licences_basin,18500,licences,public,National fisheries authorities Romania ANPA + Hungary MOHOSZ + Serbia + others 2022,https://www.icpdr.org,Total active commercial fishing licences across 10 mainstream Danube countries; Romania and Ukraine highest share
2,0,ICPDR,Danube Basin,2022-01-01,quota_coordination_index,0.42,index 0-1,inferred,ICPDR Danube Fisheries Working Group coordination assessment 2022,https://www.icpdr.org,Basin-wide quota coordination index; 0.42 reflects significant fragmentation between 10 separate national frameworks
3,0,National Authorities,Danube Basin,2022-01-01,countries_using_stock_based_quotas,5,count,public,ICPDR Danube Fisheries Working Group country report 2022,https://www.icpdr.org,Only 5 of 10 mainstream countries set quotas based on independent stock assessments; 5 use effort-based controls
4,0,Eurostat,Danube Basin,2022-01-01,recreational_fishing_licences,480000,licences,public,Eurostat Fishery Statistics FISH : Recreational fishing 2022,https://ec.europa.eu/eurostat,Recreational fishing licence holders; significant economic importance for rural communities; generates EUR 28M/yr in licence revenue
5,1,Eurostat,Danube Basin,2022-01-01,annual_legal_commercial_catch_tonnes,22000,tonnes/yr,public,Eurostat Fishery Statistics FISH : Inland waters 2022,https://ec.europa.eu/eurostat,Annual legal commercial catch across 10 mainstream countries; 35% decline vs 20 years ago reflecting stock depletion and tighter regulation
6,1,FAO,Romania,2022-01-01,romania_annual_catch_tonnes,7800,tonnes/yr,public,FAO FishStatJ Inland Capture Fisheries Romania 2022,https://www.fao.org/fishery/en/statistics/software/fishstatj,Romania largest catch country; includes Danube Delta and lower Danube floodplain; common carp and pike-perch dominant
7,1,FAO,Hungary,2022-01-01,hungary_annual_catch_tonnes,3200,tonnes/yr,public,FAO FishStatJ Inland Capture Fisheries Hungary 2022,https://www.fao.org/fishery/en/statistics/software/fishstatj,Hungary second largest catch; includes Tisza tributary and middle Danube; significant aquaculture complement
8,1,TRAFFIC,Danube Basin,2022-01-01,illegal_catch_estimated_tonnes_yr,4600,tonnes/yr,public,TRAFFIC Sturgeon and Freshwater Fish Trade Report Danube Basin 2022,https://www.traffic.org,Estimated illegal catch at 21% of legal volume; concentrated in lower Danube (Romania; Serbia; Ukraine; Moldova)
9,1,ICPDR,Danube Basin,2022-01-01,gear_compliance_mesh_size_pct,71,percent,public,ICPDR enforcement assessment 2022,https://www.icpdr.org,Gear compliance with minimum mesh size regulations protecting juvenile fish; higher in EU states
10,2,World Bank,Danube Basin,2022-01-01,cold_chain_coverage_pct,58,percent,public,World Bank Post-Harvest Loss Assessment Eastern Europe 2022,https://www.worldbank.org,Share of commercial catch transported and stored with refrigeration; 42% of catch moves without cold chain generating 21% post-catch losses
