record_id,phase_id,entity,country,date,metric_name,metric_value,unit,source_type,source_name,url,notes
1,0,DDBRA,Romania,2022-01-01,annual_harvest_permits_issued_ha,42000,ha,public,DDBRA Annual Harvest Permit Database 2022,https://www.ddbra.ro,Annual area licensed for commercial reed harvest across DDBRA sustainable use and buffer zones; most transparent element of the chain
2,0,DDBRA,Romania,2022-01-01,annual_harvest_quota_allocated_kt,200,kt,public,DDBRA Management Plan Quota Setting 2022,https://www.ddbra.ro,Total harvest quota allocated across all permit zones; 560 kt sustainable yield but only 200 kt commercially achievable given market constraints
3,0,DDBRA,Romania,2022-01-01,permit_compliance_rate_pct,88,percent,public,DDBRA Annual Enforcement Report 2022,https://www.ddbra.ro,Share of licensed operations compliant with permit conditions; 88% well above fisheries 72% due to DDBRA enforcement visibility
4,0,DDBRA,Romania,2022-01-01,core_zone_protected_ha,87500,ha,public,DDBRA Zoning Management Plan 2022,https://www.ddbra.ro,Permanently protected core zone area; commercial harvest strictly prohibited; primary biodiversity refuge for 320+ dependent species
5,1,DDBRA,Romania,2022-01-01,annual_harvest_actual_kt,140,kt/yr,public,DDBRA Annual Production Report 2022,https://www.ddbra.ro,Actual annual harvest; 70% of allocated quota of 200 kt and only 25% of 560 kt sustainable yield; constrained by market demand not ecology
6,1,DDBRA,Romania,2022-01-01,harvesting_machines_active,65,count,public,DDBRA Equipment Registration 2022,https://www.ddbra.ro,Active mechanical harvesters (Ladog cutters and amphibious machines) permitted in DDBRA zone; predominantly SC Deltaprod fleet
7,1,DDBRA,Romania,2022-01-01,avg_harvest_efficiency_t_machine_day,12,t/machine-day,public,SC Deltaprod operational data cited in DDBRA Annual Report 2022,https://www.ddbra.ro,Mean mechanical harvest throughput per machine per operating day; constrained by terrain and ice conditions
8,1,DDBRA,Romania,2022-01-01,winter_ice_access_days_current,38,days,public,DDBRA Climatological Record 2022,https://www.ddbra.ro,Mean annual days with sufficient ice cover for machinery access; down from 52 days in 1990 at 1.8 days/yr reduction due to climate warming
9,1,DDBRA,Romania,2023-01-01,winter_ice_access_trend_days_per_yr,1.8,days/yr reduction,public,DDBRA Climate Impact Assessment 2023,https://www.ddbra.ro,Rate of decline in winter ice access days per year; at current rate ice access will fall below 20 days/yr by 2040 unless alternative access developed
10,2,DDBRA,Romania,2022-01-01,thatching_grade_share_pct,35,percent,public,DDBRA Value Chain Assessment 2022,https://www.ddbra.ro,Share of total harvest volume meeting thatching quality standards; 65% downgraded to bulk biomass due to mixed-quality harvesting
11,2,DDBRA,Romania,2022-01-01,thatching_equivalent_price_eur_per_tonne,285,EUR/tonne,public,European Thatching Federation price survey 2022,https://www.thatch.org,Effective price per tonne for thatching-quality reed when sold as bundled product; 6.8x premium over bulk biomass price
12,2,DDBRA,Romania,2022-01-01,bulk_biomass_price_eur_per_tonne,42,EUR/tonne,public,DDBRA market price data 2022,https://www.ddbra.ro,Price per tonne for bulk reed sold as biomass energy substrate; mulch; or reed board raw material; low value captures most of harvest
13,2,DDBRA,Romania,2022-01-01,processing_facilities_count,8,count,public,DDBRA Concession Register 2022,https://www.ddbra.ro,Number of active processing and bundling facilities for Danube Delta reed; predominantly operated by SC Deltaprod and 3 private operators
14,3,European Thatching Federation,EU,2022-01-01,thatching_reed_export_kt_yr,49,kt/yr,public,European Thatching Federation Trade Statistics 2022,https://www.thatch.org,Annual Danube Delta thatching-quality reed export volume to European and UK markets; largest single source globally
15,3,UK Thatch Advisors Committee,UK,2022-01-01,uk_market_share_of_danube_exports_pct,42,percent,public,UK Thatch Advisors Committee Import Statistics 2022,https://www.thatch.org,UK share of Danube Delta thatching reed exports; UK has strictest sustainability requirements; 42% of export value
16,3,European Thatching Federation,EU,2022-01-01,certification_standard_exists,0,binary 0/1,public,European Thatching Federation certification review 2022,https://www.thatch.org,No reed-specific sustainability certification standard exists anywhere in the world; ad hoc buyer audits only; limits premium market access
17,3,Market Survey,EU/UK,2022-01-01,price_premium_certified_vs_uncertified_est_pct,25,percent,inferred,Buyer survey data from European Thatching Federation 2022,https://www.thatch.org,Estimated price premium that certified sustainable reed would command vs uncertified; based on buyer willingness-to-pay survey
18,3,Market Survey,EU/UK,2022-01-01,forgone_revenue_from_certification_gap_eur_mn_yr,12,EUR million/yr,inferred,DDBRA value chain analysis 2022; thatching export value x 25% premium,https://www.ddbra.ro,Revenue forgone annually due to absence of certification standard; could be captured immediately once standard established and first audits complete
19,4,World Bank,Romania,2022-01-01,seasonal_worker_income_eur_per_season,1850,EUR/season,public,World Bank Romania Rural Livelihoods Assessment 2022,https://www.worldbank.org,Average seasonal income per worker from 8-week reed harvest season; important supplement for Tulcea/Constanta rural households
20,4,DDBRA,Romania,2022-01-01,ddbra_concession_revenue_eur_mn_yr,3.2,EUR million/yr,public,DDBRA Annual Financial Statement 2022,https://www.ddbra.ro,Revenue from reed harvest concession fees; funds approximately 18% of DDBRA annual operating budget
21,4,DDBRA,Romania,2022-01-01,conservation_reinvestment_ratio_pct,18,percent,public,DDBRA Annual Report 2022,https://www.ddbra.ro,Share of harvest sector revenue reinvested in habitat management and monitoring; above fisheries (8%) but below 25% benchmark
22,4,DDBRA,Romania,2022-01-01,total_sector_revenue_eur_mn_yr,38,EUR million/yr,public,DDBRA Economic Assessment 2022,https://www.ddbra.ro,Total reed industry revenues including thatching; bulk biomass; reed board; and mulch; at current 140 kt harvest and 35% thatching grade
23,1,DDBRA,Romania,2022-01-01,harvest_labour_seasonal_workers,820,persons/season,public,DDBRA Labour Registration 2022,https://www.ddbra.ro,Registered seasonal harvest workers; plus 3680 in processing and transport giving total 4500 FTE equivalent per season
24,0,DDBRA,Romania,2022-01-01,actual_harvest_as_pct_sustainable_quota,25,percent,public,DDBRA Harvest Utilisation Report 2022,https://www.ddbra.ro,Current harvest (140 kt) as share of maximum sustainable yield (560 kt); demonstrates market and logistics constraint rather than ecological limit
25,3,DDBRA,Romania,2022-01-01,market_access_score,0.42,index 0-1,inferred,DDBRA market access assessment; European Thatching Federation data 2022,https://www.ddbra.ro,Index measuring effective access to premium thatching markets; 0.42 reflects friction from absence of certification; fragmented buyer relationships
