site_id,site_name,region,primary_area_ha,secondary_area_ha,source_file,notes
1,PAPSEN,,,,"v2/data/Ep-Carbon-new-Requirements.xlsx",Programme/site.
2,Ndiakhate Saer,,,,"v2/data/Ep-Carbon-new-Requirements.xlsx",
3,Nghass,,,,"v2/data/Ep-Carbon-new-Requirements.xlsx",
4,Darou Salam,,,,"v2/data/Ep-Carbon-new-Requirements.xlsx",
5,Mbodiene Ndiaye,,,,"v2/data/Ep-Carbon-new-Requirements.xlsx",
6,Darou Gaye,,,,"v2/data/Ep-Carbon-new-Requirements.xlsx",
7,Lamsing,,,,"v2/data/Ep-Carbon-new-Requirements.xlsx",
8,Keur Abdou Ndiaye,,,,"v2/data/Ep-Carbon-new-Requirements.xlsx",
9,Batal,,,,"v2/data/Ep-Carbon-new-Requirements.xlsx",
10,Sine Macoumba,,,,"v2/data/Ep-Carbon-new-Requirements.xlsx",
11,Bousra Leye,,,,"v2/data/Ep-Carbon-new-Requirements.xlsx",
12,Sao,,,,"v2/data/Ep-Carbon-new-Requirements.xlsx",
13,Nder Nar,,,,"v2/data/Ep-Carbon-new-Requirements.xlsx",
14,Goly,,,,"v2/data/Ep-Carbon-new-Requirements.xlsx",
15,Gade Niandoul,,,,"v2/data/Ep-Carbon-new-Requirements.xlsx",
16,Tieye Tieye,,,,"v2/data/Ep-Carbon-new-Requirements.xlsx",
17,Ndiarga,,,,"v2/data/Ep-Carbon-new-Requirements.xlsx",
18,Mbalene,,,,"v2/data/Ep-Carbon-new-Requirements.xlsx",
19,Tambacounda 1,Tambacounda,,,"v2/data/Ep-Carbon-new-Requirements.xlsx",
20,Tambacounda 2,Tambacounda,,,"v2/data/Ep-Carbon-new-Requirements.xlsx",
21,Belle,,,,"v2/data/Ep-Carbon-new-Requirements.xlsx",
22,Belle Nursery Zone,,,,"v2/data/Ep-Carbon-new-Requirements.xlsx",
23,Dialiguel,,,,"v2/data/Ep-Carbon-new-Requirements.xlsx",
24,Sarre,,,,"v2/data/Ep-Carbon-new-Requirements.xlsx",
25,Bema/Gouniag,,,,"v2/data/Ep-Carbon-new-Requirements.xlsx",
26,Bakel Nursery,,,,"v2/data/Ep-Carbon-new-Requirements.xlsx",
27,Fenaye Dieri,,,,"v2/data/Ep-Carbon-new-Requirements.xlsx",
28,Fenaye Dieri 2,,,,"v2/data/Ep-Carbon-new-Requirements.xlsx",
29,Loumbol,,,,"v2/data/Ep-Carbon-new-Requirements.xlsx",
30,Eco Village Makoumbel,,,,"v2/data/Ep-Carbon-new-Requirements.xlsx",
31,GGW Senegal,,,,"v2/data/Ep-Carbon-new-Requirements.xlsx",Great Green Wall Senegal.
32,Fatick (region),Fatick,,,,"v2/data/Ep-Carbon-new-Requirements.xlsx",Region.
33,Diourbel (region),Diourbel,,,,"v2/data/Ep-Carbon-new-Requirements.xlsx",Region.
34,Merina Dakhar,Merina Dakhar,,,,"v2/data/Ep-Carbon-new-Requirements.xlsx",Region.
35,Niakhane-Merina Dakhar,Niakhane-Merina Dakhar,,,,"v2/data/Ep-Carbon-new-Requirements.xlsx",Region.
36,Shea Plantation Zone,Shea Plantation Zone,,,,"v2/data/Ep-Carbon-new-Requirements.xlsx",Community Land/Private Land Protected by Ministry of Environment and Forestry.
