record_id,phase_id,entity,country,date,metric_name,metric_value,unit,source_type,source_name,url,notes
1,0,DDBRA,Romania,2022-01-01,seasonal_water_level_amplitude_cm,145,cm,public,DDBRA Hydrological Monitoring Annual Report 2022,https://www.ddbra.ro,Current seasonal water level amplitude in the Danube Delta; down from 210 cm pre-regulation; 31% reduction reduces spring inundation extent
2,0,ICPDR,Danube Basin,2022-01-01,sediment_delivery_to_delta_mt_yr,17,Mt/yr,public,ICPDR Danube Sediment Budget Assessment 2022,https://www.icpdr.org,Annual sediment delivery from Danube to delta; 57% reduction from pre-regulation 40 Mt/yr; Iron Gate I and II primary trapping source
3,0,ICPDR,Danube Basin,2022-01-01,annual_nitrogen_load_to_delta_kt_yr,380,kt N/yr,public,ICPDR Danube Watch Nutrient Report 2022,https://www.icpdr.org,Nitrogen load reaching the Danube Delta; drives eutrophication in canal-connected water bodies; secondary reed bed fertilisation
4,0,ICPDR,Danube Basin,2022-01-01,annual_phosphorus_load_to_delta_kt_yr,12,kt P/yr,public,ICPDR Danube Watch Nutrient Report 2022,https://www.icpdr.org,Phosphorus load reaching delta; combined with nitrogen causes eutrophication in stagnant canal segments
5,1,DDBRA,Romania,2022-01-01,annual_net_reed_expansion_ha_yr,850,ha/yr,public,DDBRA Annual Reed Bed Mapping Survey 2022,https://www.ddbra.ro,Annual reed bed expansion by rhizome spread onto suitable wet substrate; partially colonising productive open water habitat
6,1,Copernicus,Danube Basin,2022-01-01,reed_bed_loss_subsidence_ha_yr,320,ha/yr,public,Copernicus Land Service Wetlands Layer 2022,https://land.copernicus.eu,Annual reed bed loss to open water conversion from sediment deficit subsidence; older stands subsiding below water table
7,1,DDBRA,Romania,2022-01-01,rhizome_biomass_density_g_m2,4200,g/m2,public,DDBRA Biomass Survey 2022,https://www.ddbra.ro,Mean rhizome biomass density in established delta reed stands; high density indicates strong vegetative vigour
8,2,DDBRA,Romania,2022-01-01,mean_standing_biomass_t_ha,9.8,t/ha dry weight,public,DDBRA Annual Biomass Survey 2022,https://www.ddbra.ro,Mean above-ground dry biomass per hectare in Danube Delta reed beds; consistent with productive temperate Phragmites stands
9,2,DDBRA,Romania,2022-01-01,mean_culm_height_m,3.2,m,public,DDBRA Quality Assessment Survey 2022,https://www.ddbra.ro,Mean culm height at harvest; minimum 2.8 m required for thatching quality; 3.2 m mean provides adequate margin
10,2,DDBRA,Romania,2022-01-01,mean_culm_diameter_mm,8.4,mm,public,DDBRA Quality Assessment Survey 2022,https://www.ddbra.ro,Mean culm diameter; minimum 7 mm required for thatching; 8.4 mm mean indicates adequate quality
11,2,DDBRA,Romania,2022-01-01,thatching_quality_culm_pct,62,percent,public,DDBRA Quality Assessment Survey 2022,https://www.ddbra.ro,Share of culms meeting minimum thatching quality thresholds (height; diameter; straightness); 38% suitable only for bulk biomass
12,2,DDBRA,Romania,2022-01-01,total_delta_standing_biomass_mt,17.2,Mt dry weight,public,DDBRA Annual Biomass Survey 2022,https://www.ddbra.ro,Total annual above-ground biomass production across 1750 km2 of delta reed beds; only 32% accessible given zoning
