phase_id,phase_name,physical_state_in,physical_state_out,custodian_class,transparency_level,opacity_score,child_n_output
0,"Water rights, basin management, and abstraction permitting",Natural surface water and groundwater (unassigned),Licensed water rights assigned to OCWD and municipal agencies,OCWD (basin manager); SWRCB (rights regulator); multiple overlying rights holders,high,4,"~280,000 AF/year permitted groundwater extraction rights; OCWD basin management authority"
1,Raw water abstraction,Raw groundwater and Santa Ana River surface water,Raw water in ~30 municipal agency intake systems,Multiple municipal water agencies (~30),medium,2,ML/day raw water at municipal intake meters; ~945 ML/day total basin production
2,Drinking water treatment,Raw groundwater,Treated potable water meeting California Drinking Water Standards,Multiple municipal water agencies (~30),high,4,ML/day potable water at treatment plant outlets; multiple plants across ~30 agencies
3,Service reservoir and pressurised storage,Treated potable water,Pressurised potable water in agency storage infrastructure,Multiple municipal water agencies (~30) — fragmented storage infrastructure,low,1,ML in storage and ML/day distribution input (aggregate across ~30 agencies)
4,Consumer delivery and use,Pressurised potable water in distribution,Used water at consumer premises,Multiple municipal agencies → Consumers,medium,3,m³ metered to consumer; ~710 ML/day aggregate consumption (~75 gallons/day/person)
5,Wastewater collection and conveyance,Post-consumer wastewater,Wastewater in OC San regional sewer system,OC San — Orange County Sanitation District,medium,3,~185 MGD (~700 ML/day) wastewater at OC San plant headwork meters
6,Primary wastewater treatment,Raw wastewater,Primary effluent (BOD ~35% reduced),OC San,high,4,~183 MGD primary effluent at OC San primary clarifier outlet; BOD ~35% reduced
7,Secondary biological treatment,Primary effluent,Secondary effluent (BOD <25 mg/L) — GWRS feed,OC San (with OCWD supply agreement governing feed quality),high,4,~130 MGD secondary effluent at OC San secondary clarifier outlet; destined for GWRS
8,Advanced tertiary treatment — GWRS (OC San → OCWD handoff),Secondary effluent (OC San custody),Advanced purified recycled water exceeding California primary drinking water standards (OCWD custody),OCWD (received from OC San — largest institutional handoff in chain),high,4,~130 MGD (~492 ML/day) advanced purified water at GWRS outlet; TOC <0.5 mg/L; exceeds California primary drinking water standards
9,Title 22 quality certification and California DDW regulatory approval,Advanced purified water (uncertified),Title 22 certified advanced purified recycled water,OCWD; California DDW (regulatory),high,4,~130 MGD Title 22 certified advanced purified recycled water; OCWD Annual Report monthly quality data
10,Recycled water distribution — injection wells and spreading basins,Certified water at GWRS injection pumps,Water injected into Orange County Groundwater Basin,OCWD (injects into shared groundwater commons),medium,3,~130 MGD (~492 ML/day) injected at Talbert Barrier and Alamitos Barrier; ML/day spreading basin percolation
11,End-use delivery and groundwater basin replenishment,GWRS water blended in Orange County Groundwater Basin,Groundwater pumped by municipal agencies; treated and delivered to consumers; partial loop closure to Phase 0/1 via shared commons,Multiple municipal water agencies pumping from shared basin (~30 entities),medium,2,"~280,000 AF/year (~945 ML/day) basin groundwater pumped by municipal agencies; GWRS contributes ~35% of total replenishment"
