record_id,phase_id,entity,country,date,metric_name,metric_value,unit,source_type,source_name,url,notes
1,0,GRDC,Romania,2019-01-01,sediment_load_historical_mt_yr,80,Mt/yr,public,Gâstescu and Stiuca (eds.) The Danube Delta (2012),https://www.ddbra.ro,Historical suspended sediment load before Iron Gate dam construction (pre-1972 baseline)
2,0,ICPDR/DDBRA,Romania/Ukraine,2019-01-01,sediment_load_current_mt_yr,34,Mt/yr,public,ICPDR Joint Danube Survey 4 (JDS4 2019),https://www.icpdr.org,Current suspended sediment load at delta apex Ceatal Izmail; ~57% reduction from historical
3,0,Calculated,Danube Basin,2019-01-01,iron_gate_sediment_trap_efficiency_pct,57,percent,inferred,Ivanov et al. (2012); ICPDR JDS4,https://www.icpdr.org,Proportion of upstream sediment trapped by Iron Gate I (1972) and Iron Gate II (1984) dam cascade
4,0,ICPDR,Danube Basin,2019-01-01,total_nitrogen_load_t_yr,360000,t/yr,public,ICPDR JDS4 nutrient load assessment,https://www.icpdr.org,Total dissolved inorganic nitrogen entering delta; elevated from agricultural runoff
5,0,ICPDR,Danube Basin,2019-01-01,total_phosphorus_load_t_yr,62000,t/yr,public,ICPDR JDS4 nutrient load assessment,https://www.icpdr.org,Total phosphorus entering delta; primary eutrophication driver in shallow lakes
6,1,GRDC,Romania,2024-01-01,mean_annual_discharge_m3s,6500,m³/s,public,GRDC Ceatal Izmail gauge station,https://www.bafg.de/GRDC,Long-term mean annual discharge of Danube at delta apex
7,1,GRDC,Romania,2006-01-01,flood_pulse_peak_m3s,15800,m³/s,public,GRDC historical maximum discharge records,https://www.bafg.de/GRDC,Record spring flood peak (2006 event); typical spring peaks 10000-13000 m³/s
8,1,DDBRA,Romania,2024-01-01,inundation_area_flood_year_km2,3100,km²,public,Danube Delta Biosphere Reserve Authority annual monitoring,https://www.ddbra.ro,Maximum inundated area in high-water year; approximately 53% of total delta area
9,1,DDBRA,Romania,2022-01-01,inundation_area_dry_year_km2,800,km²,public,Danube Delta Biosphere Reserve Authority annual monitoring,https://www.ddbra.ro,Minimum inundated area in dry year; reed beds and plaur islands remain
10,1,DDBRA,Romania,2024-01-01,monitoring_stations_count,22,count,public,DDBRA water level monitoring network,https://www.ddbra.ro,Number of active water level monitoring stations across Romanian delta sector
11,2,Copernicus,Romania/Ukraine,2021-01-01,reed_bed_area_ha,178000,ha,public,Copernicus Land Service CORINE Land Cover; ESA WorldCover 10m (2021),https://land.copernicus.eu,Largest continuous Phragmites australis reed bed in Europe; primary bird nesting habitat
12,2,DDBRA,Romania,2020-01-01,shallow_lake_area_ha,83500,ha,public,DDBRA Habitat Mapping Programme (2020),https://www.ddbra.ro,Total area of shallow lakes (grinds) — key feeding habitat for colonial waterbirds
13,2,DDBRA,Romania,2020-01-01,floating_island_area_ha,28000,ha,public,DDBRA Habitat Mapping Programme (2020),https://www.ddbra.ro,Plaur (floating reed island) area; unique formation providing inaccessible nesting sites
14,2,Copernicus,Romania/Ukraine,2021-01-01,habitat_diversity_shannon_h,2.31,dimensionless,public,ESA WorldCover classification — habitat diversity calculation,https://land.copernicus.eu,Shannon entropy of habitat type distribution; higher values indicate greater biodiversity support
15,2,Historical/DDBRA,Romania,2020-01-01,historical_drainage_loss_ha,95000,ha,inferred,DDBRA historical land use records; Gâstescu (2012),https://www.ddbra.ro,Area converted to agriculture under Soviet-era drainage programmes (1960s-1990s); partial restoration ongoing
16,3,SOR,Romania,2023-01-01,dalmatian_pelican_breeding_pairs,3700,pairs,public,Romanian Ornithological Society annual waterbird census,https://www.sor.ro,World's largest Dalmatian pelican (Pelecanus crispus) colony; population recovering from 1990s low
17,3,SOR,Romania,2023-01-01,white_pelican_breeding_pairs,4200,pairs,public,Romanian Ornithological Society annual waterbird census,https://www.sor.ro,White pelican (Pelecanus onocrotalus) breeding colony; large but not the largest globally
18,3,SOR,Romania,2023-01-01,pygmy_cormorant_breeding_pairs,12000,pairs,public,Romanian Ornithological Society annual waterbird census,https://www.sor.ro,Pygmy cormorant (Microcarbo pygmaeus) — one of Europe's largest colonies
19,3,ICPDR/DDBRA,Romania/Ukraine,2019-01-01,fish_species_richness,45,species,public,ICPDR JDS4 fish sampling protocol,https://www.icpdr.org,Total freshwater and migratory fish species recorded in the delta; down from 55 historically
20,3,WWF/DDBRA,Romania/Ukraine,2020-01-01,sturgeon_commercial_catch_kg_yr,180,kg/yr,public,WWF Danube-Carpathian sturgeon monitoring programme,https://www.wwf.ro,Current annual wild sturgeon catch (all 6 species); vs. historical ~100000 kg/yr before Iron Gate construction
21,3,WWF,Romania/Ukraine,2019-01-01,sturgeon_historical_catch_kg_yr,100000,kg/yr,public,WWF Danube Sturgeon Task Force (2019),https://www.wwf.ro,Historical (pre-1970s) commercial sturgeon catch in Romanian Danube; near-zero since dam construction
22,3,DDBRA,Romania,2023-01-01,invasive_species_count,14,count,public,DDBRA invasive species monitoring report,https://www.ddbra.ro,Number of established invasive species; includes Perccottus glenii (Chinese sleeper) and Neogobius spp.
23,4,DDBRA,Romania,2023-01-01,ecotourism_visitors_yr,80000,visitor-days/yr,public,DDBRA annual ecotourism statistics,https://www.ddbra.ro,Total annual ecotourism visitors to Danube Delta Biosphere Reserve; primarily birdwatching and boat tours
24,4,DDBRA,Romania,2023-01-01,ecotourism_revenue_eur_yr,28000000,EUR/yr,public,DDBRA annual ecotourism statistics,https://www.ddbra.ro,Total revenue from ecotourism in the Romanian delta sector; approximately €350 per visitor-day
25,4,Calculated,Romania,2024-01-01,reed_bed_carbon_stock_t_co2_ha,62,t CO2/ha,inferred,IPCC Wetlands Supplement (2013); European reed bed carbon density studies,https://www.ipcc.ch,Average above- and below-ground carbon density in Phragmites australis dominated wetland
26,4,Calculated,Romania,2024-01-01,total_reed_carbon_stock_mt_co2,11.0,Mt CO2,inferred,Calculated from 178000 ha × 62 t CO2/ha,https://www.ddbra.ro,Total carbon stock in Danube Delta reed beds; potential blue/wetland carbon credit asset
27,4,EC,Romania,2019-01-01,habitats_directive_favourable_status_pct,28,percent,public,EU Habitats Directive Article 17 reporting cycle 2013-2018 (published 2019),https://ec.europa.eu/environment/nature,Share of Habitats Directive Annex I habitat types in the Danube Delta in favourable conservation status; 72% unfavourable
28,4,ICPDR,Romania/Ukraine,2021-01-01,wfd_good_ecological_status_pct,40,percent,public,ICPDR WFD Implementation Report (2021),https://www.icpdr.org,Consistent with basin average; delta water bodies affected by eutrophication and invasive species
