record_id,phase_id,epoch,metric_name,metric_value,unit,source_type,source_name,url,notes
1,0,3000 BCE,earliest_written_accounts_count,5000,clay tablets,public,British Museum Mesopotamian Collection,https://www.britishmuseum.org/,Approximate count of surviving administrative tablets from Uruk period
2,0,3000 BCE,commodity_types_in_exchange,12,types,inferred,Pollanyi Trade and Market in Early Empires 1957,,Grain barley silver and livestock documented in Mesopotamian tablets
3,1,400 BCE,coin_minting_states_count,30,city-states,public,Kraay Archaic and Classical Greek Coins 1976,,Approximate number of Greek city-states with independent coinage
4,1,100 CE,roman_trade_routes_documented,50,routes,public,Miller The Spice Trade of the Roman Empire 1969,,Overland and maritime routes documented in Roman sources
5,1,350 BCE,economic_philosophy_texts,3,major texts,public,Stanford Encyclopedia of Philosophy - Ancient Economic Thought,https://plato.stanford.edu/,Aristotle Politics Oikonomika and Xenophon Oeconomicus
6,2,1397,deposit_banking_institutions_florence,8,institutions,public,de Roover The Rise and Decline of the Medici Bank 1963,,Major Florentine banking houses operating c. 1400
7,2,1494,accounting_treatise_publication,1,foundational text,public,Pacioli Summa de Arithmetica 1494,,Luca Pacioli's double-entry bookkeeping codification
8,2,1300,champagne_fair_annual_attendance,tens of thousands,merchants,secondary,Moore The Fairs of Medieval England 1985,,Peak period of Champagne fair circuit c. 1250-1320
9,3,1602,voc_capital_raised_guilders,6400000,guilders,public,Gelderblom de Jong Jonker 2013 VOC share capital,https://dx.doi.org/10.1017/S002205071200065X,Initial share capital of VOC 1602 as first publicly traded joint-stock company
10,3,1694,bank_of_england_initial_capital,1200000,GBP,public,Bank of England History,https://www.bankofengland.co.uk/,Founding capital of Bank of England 1694
11,3,1700,mercantilist_treatises_published,40,texts,secondary,Magnusson Mercantilism The Shaping of an Economic Language 1994,,Approximate number of major mercantilist texts published 1500-1776
12,4,1776,wealth_of_nations_editions_by_1800,9,editions,public,Glasgow Edition of Works of Adam Smith 1976,,Number of editions of Wealth of Nations published by 1800 indicating diffusion
13,4,1848,political_economy_chairs_uk,6,university chairs,secondary,Kadish The Oxford Economists in the Late Nineteenth Century 1982,,Approximate number of political economy chairs at UK universities by 1850
14,4,1817,ricardian_comparative_advantage_countries_cited,2,countries,public,Ricardo Principles of Political Economy 1817,,England and Portugal as original illustration of comparative advantage
15,5,1890,economics_phd_programs_usa,8,programs,secondary,Coats The American Economics Association 1985,,Approximate number of PhD programs in economics in the USA by 1900
16,5,1895,economic_journal_founding,1,journal,public,Royal Economic Society,https://www.res.org.uk/,Economic Journal founded 1891 as first English-language professional economics journal
17,5,1920,economics_departments_us_universities,50,departments,secondary,Barber A History of Economic Thought 1967,,Approximate count of autonomous economics departments in US universities by 1920
18,6,1936,general_theory_translations,15,languages,public,Cambridge University Press General Theory editions,,Number of language translations of Keynes General Theory by 1960
19,6,1944,bretton_woods_attending_nations,44,nations,public,IMF History of the IMF,https://www.imf.org/,Delegates at Bretton Woods Conference July 1944
20,6,1953,national_accounts_adopting_countries,20,countries,public,UN System of National Accounts 1953,,Countries adopting UN System of National Accounts by 1953
21,7,1979,us_federal_funds_rate_peak,20.0,percent,public,Federal Reserve Historical Data,https://www.federalreserve.gov/,Federal funds rate peak during Volcker disinflation June 1981
22,7,1980,inflation_rate_usa,13.5,percent,public,US Bureau of Labor Statistics,https://www.bls.gov/,US CPI inflation rate 1980 motivating monetarist policy shift
23,7,1976,lucas_critique_citations_by_2000,5000,academic citations,public,Google Scholar Lucas 1976 Econometrica,,Approximate citation count of Lucas (1976) indicating paradigm impact
24,8,1989,washington_consensus_policy_conditions,10,conditions,public,Williamson What Washington Means by Policy Reform 1989,,Original ten policy prescriptions of Washington Consensus
25,8,1995,wto_member_nations,128,nations,public,WTO History,https://www.wto.org/,WTO founding members 1995
26,8,2007,global_derivatives_notional_value,683000000000000,USD,public,BIS OTC Derivatives Statistics,https://www.bis.org/statistics/derstats.htm,Global OTC derivatives notional outstanding June 2007 pre-crisis peak
27,9,2008,financial_crisis_gdp_loss_pct,4.0,percent of world GDP,public,IMF World Economic Outlook 2009,https://www.imf.org/,Estimated output loss from 2008-09 global financial crisis
28,9,2014,piketty_capital_copies_sold,2500000,copies,public,Harvard University Press Piketty sales data,,Approximate sales of Capital in the Twenty-First Century by end of 2014
29,9,2020,covid_fiscal_stimulus_pct_gdp,16.0,percent of world GDP,public,IMF Fiscal Monitor April 2020,https://www.imf.org/,IMF estimate of total fiscal support measures in response to COVID-19
30,9,2024,active_economic_research_schools,8,distinct schools,inferred,Survey of heterodox economics literature,,MMT post-Keynesian complexity behavioral degrowth pluralist mainstream neoclassical coexisting
