record_id,phase_id,entity,country,date,metric_type,metric_category,d_value,c_value,n_value,balance_score,sustainability_index,unit,source_type,source_name,url,notes
1,0,Geological Prospecting_Entity,USA,2025-01-01,daily_state,ndc_balance,227.45,207.51,182.31,83.92,0.2453,index,simulated,Synthetic Generator - Baseline,,Baseline balanced scenario - healthy supply chain
2,1,Mine Extraction_Entity,USA,2025-01-01,daily_state,ndc_balance,269.72,277.41,258.77,94.6,1.4435,index,simulated,Synthetic Generator - Baseline,,Baseline balanced scenario - healthy supply chain
3,2,Ore Processing_Entity,USA,2025-01-01,daily_state,ndc_balance,276.49,270.79,262.57,95.96,2.3521,index,simulated,Synthetic Generator - Baseline,,Baseline balanced scenario - healthy supply chain
4,3,Doré Production_Entity,USA,2025-01-01,daily_state,ndc_balance,263.69,248.81,228.82,89.33,0.4324,index,simulated,Synthetic Generator - Baseline,,Baseline balanced scenario - healthy supply chain
5,4,Refining_Entity,USA,2025-01-01,daily_state,ndc_balance,262.96,269.77,253.23,95.08,1.7746,index,simulated,Synthetic Generator - Baseline,,Baseline balanced scenario - healthy supply chain
6,5,Bar Casting & Assay_Entity,USA,2025-01-01,daily_state,ndc_balance,253.05,246.62,237.43,95.04,1.9467,index,simulated,Synthetic Generator - Baseline,,Baseline balanced scenario - healthy supply chain
7,6,Logistics & Vaulting_Entity,USA,2025-01-01,daily_state,ndc_balance,203.63,160.56,118.45,65.51,0.0536,index,simulated,Synthetic Generator - Baseline,,Baseline balanced scenario - healthy supply chain
8,7,Exchange Registration_Entity,USA,2025-01-01,daily_state,ndc_balance,254.13,264.88,239.22,92.2,0.7961,index,simulated,Synthetic Generator - Baseline,,Baseline balanced scenario - healthy supply chain
9,0,Geological Prospecting_Entity,USA,2025-01-02,daily_state,ndc_balance,205.51,216.21,190.91,90.57,0.802,index,simulated,Synthetic Generator - Baseline,,Baseline balanced scenario - healthy supply chain
10,1,Mine Extraction_Entity,USA,2025-01-02,daily_state,ndc_balance,247.08,225.14,197.47,83.73,0.2035,index,simulated,Synthetic Generator - Baseline,,Baseline balanced scenario - healthy supply chain
11,2,Ore Processing_Entity,USA,2025-01-02,daily_state,ndc_balance,302.68,271.49,233.28,81.38,0.1018,index,simulated,Synthetic Generator - Baseline,,Baseline balanced scenario - healthy supply chain
12,3,Doré Production_Entity,USA,2025-01-02,daily_state,ndc_balance,241.71,209.91,173.14,76.87,0.0979,index,simulated,Synthetic Generator - Baseline,,Baseline balanced scenario - healthy supply chain
13,4,Refining_Entity,USA,2025-01-02,daily_state,ndc_balance,262.53,262.55,262.5,99.98,9.9995,index,simulated,Synthetic Generator - Baseline,,Baseline balanced scenario - healthy supply chain
14,5,Bar Casting & Assay_Entity,USA,2025-01-02,daily_state,ndc_balance,243.43,262.32,218.81,86.59,0.2727,index,simulated,Synthetic Generator - Baseline,,Baseline balanced scenario - healthy supply chain
15,6,Logistics & Vaulting_Entity,USA,2025-01-02,daily_state,ndc_balance,191.69,190.31,188.27,98.57,8.3994,index,simulated,Synthetic Generator - Baseline,,Baseline balanced scenario - healthy supply chain
16,7,Exchange Registration_Entity,USA,2025-01-02,daily_state,ndc_balance,271.67,308.9,227.64,78.58,0.0716,index,simulated,Synthetic Generator - Baseline,,Baseline balanced scenario - healthy supply chain
17,0,Geological Prospecting_Entity,USA,2025-01-03,daily_state,ndc_balance,221.19,192.07,158.41,76.85,0.1166,index,simulated,Synthetic Generator - Baseline,,Baseline balanced scenario - healthy supply chain
18,1,Mine Extraction_Entity,USA,2025-01-03,daily_state,ndc_balance,273.73,229.14,180.81,72.19,0.05,index,simulated,Synthetic Generator - Baseline,,Baseline balanced scenario - healthy supply chain
19,2,Ore Processing_Entity,USA,2025-01-03,daily_state,ndc_balance,284.52,240.84,192.56,73.56,0.0521,index,simulated,Synthetic Generator - Baseline,,Baseline balanced scenario - healthy supply chain
20,3,Doré Production_Entity,USA,2025-01-03,daily_state,ndc_balance,221.47,239.66,197.94,85.92,0.2934,index,simulated,Synthetic Generator - Baseline,,Baseline balanced scenario - healthy supply chain
21,4,Refining_Entity,USA,2025-01-03,daily_state,ndc_balance,282.47,264.2,240.03,87.87,0.2909,index,simulated,Synthetic Generator - Baseline,,Baseline balanced scenario - healthy supply chain
22,5,Bar Casting & Assay_Entity,USA,2025-01-03,daily_state,ndc_balance,259.66,250.69,238.12,93.33,1.1069,index,simulated,Synthetic Generator - Baseline,,Baseline balanced scenario - healthy supply chain
23,6,Logistics & Vaulting_Entity,USA,2025-01-03,daily_state,ndc_balance,179.21,183.16,173.54,95.79,3.9152,index,simulated,Synthetic Generator - Baseline,,Baseline balanced scenario - healthy supply chain
24,7,Exchange Registration_Entity,USA,2025-01-03,daily_state,ndc_balance,274.48,295.14,247.44,86.94,0.2289,index,simulated,Synthetic Generator - Baseline,,Baseline balanced scenario - healthy supply chain
25,0,Geological Prospecting_Entity,USA,2025-01-04,daily_state,ndc_balance,227.23,179.93,133.34,65.94,0.0445,index,simulated,Synthetic Generator - Baseline,,Baseline balanced scenario - healthy supply chain
26,1,Mine Extraction_Entity,USA,2025-01-04,daily_state,ndc_balance,266.94,244.73,216.42,84.67,0.1987,index,simulated,Synthetic Generator - Baseline,,Baseline balanced scenario - healthy supply chain
27,2,Ore Processing_Entity,USA,2025-01-04,daily_state,ndc_balance,271.93,287.67,250.68,89.63,0.3876,index,simulated,Synthetic Generator - Baseline,,Baseline balanced scenario - healthy supply chain
28,3,Doré Production_Entity,USA,2025-01-04,daily_state,ndc_balance,257.54,253.43,247.44,96.85,3.7097,index,simulated,Synthetic Generator - Baseline,,Baseline balanced scenario - healthy supply chain
29,4,Refining_Entity,USA,2025-01-04,daily_state,ndc_balance,259.49,256.1,251.13,97.42,4.6479,index,simulated,Synthetic Generator - Baseline,,Baseline balanced scenario - healthy supply chain
