record_id,phase_id,entity,country,date,metric_type,metric_category,d_value,c_value,n_value,balance_score,sustainability_index,unit,source_type,source_name,url,notes
1,0,Geological Prospecting_Entity,USA,2025-01-01,daily_state,ndc_balance,257.17,210.09,161.17,69.34,0.0449,index,simulated,Synthetic Generator - Bottleneck,,Bottleneck at Phase 6 (Vaulting) - severe D-C imbalance
2,1,Mine Extraction_Entity,USA,2025-01-01,daily_state,ndc_balance,220.13,186.9,149.98,73.94,0.0898,index,simulated,Synthetic Generator - Bottleneck,,Bottleneck at Phase 6 (Vaulting) - severe D-C imbalance
3,2,Ore Processing_Entity,USA,2025-01-01,daily_state,ndc_balance,264.42,226.37,183.47,74.99,0.0686,index,simulated,Synthetic Generator - Bottleneck,,Bottleneck at Phase 6 (Vaulting) - severe D-C imbalance
4,3,Doré Production_Entity,USA,2025-01-01,daily_state,ndc_balance,308.55,215.14,140.63,54.58,0.0114,index,simulated,Synthetic Generator - Bottleneck,,Bottleneck at Phase 6 (Vaulting) - severe D-C imbalance
5,4,Refining_Entity,USA,2025-01-01,daily_state,ndc_balance,231.57,225.87,217.7,95.19,2.3498,index,simulated,Synthetic Generator - Bottleneck,,Bottleneck at Phase 6 (Vaulting) - severe D-C imbalance
6,5,Bar Casting & Assay_Entity,USA,2025-01-01,daily_state,ndc_balance,254.86,228.24,195.72,81.15,0.1392,index,simulated,Synthetic Generator - Bottleneck,,Bottleneck at Phase 6 (Vaulting) - severe D-C imbalance
7,6,Logistics & Vaulting_Entity,USA,2025-01-01,daily_state,ndc_balance,432.25,165.32,77.74,29.08,0.0014,index,simulated,Synthetic Generator - Bottleneck,,Bottleneck at Phase 6 (Vaulting) - severe D-C imbalance
8,7,Exchange Registration_Entity,USA,2025-01-01,daily_state,ndc_balance,222.37,195.04,162.88,78.21,0.1322,index,simulated,Synthetic Generator - Bottleneck,,Bottleneck at Phase 6 (Vaulting) - severe D-C imbalance
9,0,Geological Prospecting_Entity,USA,2025-01-02,daily_state,ndc_balance,205.53,227.05,178.72,82.73,0.2114,index,simulated,Synthetic Generator - Bottleneck,,Bottleneck at Phase 6 (Vaulting) - severe D-C imbalance
10,1,Mine Extraction_Entity,USA,2025-01-02,daily_state,ndc_balance,243.98,224.21,198.9,85.04,0.2496,index,simulated,Synthetic Generator - Bottleneck,,Bottleneck at Phase 6 (Vaulting) - severe D-C imbalance
11,2,Ore Processing_Entity,USA,2025-01-02,daily_state,ndc_balance,274.87,270.7,264.63,97.01,3.654,index,simulated,Synthetic Generator - Bottleneck,,Bottleneck at Phase 6 (Vaulting) - severe D-C imbalance
12,3,Doré Production_Entity,USA,2025-01-02,daily_state,ndc_balance,243.3,195.15,146.68,67.31,0.0429,index,simulated,Synthetic Generator - Bottleneck,,Bottleneck at Phase 6 (Vaulting) - severe D-C imbalance
13,4,Refining_Entity,USA,2025-01-02,daily_state,ndc_balance,238.67,225.0,206.67,89.18,0.5086,index,simulated,Synthetic Generator - Bottleneck,,Bottleneck at Phase 6 (Vaulting) - severe D-C imbalance
14,5,Bar Casting & Assay_Entity,USA,2025-01-02,daily_state,ndc_balance,238.35,221.66,199.81,86.93,0.3463,index,simulated,Synthetic Generator - Bottleneck,,Bottleneck at Phase 6 (Vaulting) - severe D-C imbalance
15,6,Logistics & Vaulting_Entity,USA,2025-01-02,daily_state,ndc_balance,406.93,174.2,84.83,31.86,0.0018,index,simulated,Synthetic Generator - Bottleneck,,Bottleneck at Phase 6 (Vaulting) - severe D-C imbalance
16,7,Exchange Registration_Entity,USA,2025-01-02,daily_state,ndc_balance,240.28,243.21,235.98,97.62,5.3775,index,simulated,Synthetic Generator - Bottleneck,,Bottleneck at Phase 6 (Vaulting) - severe D-C imbalance
17,0,Geological Prospecting_Entity,USA,2025-01-03,daily_state,ndc_balance,257.21,217.23,173.23,73.28,0.0622,index,simulated,Synthetic Generator - Bottleneck,,Bottleneck at Phase 6 (Vaulting) - severe D-C imbalance
18,1,Mine Extraction_Entity,USA,2025-01-03,daily_state,ndc_balance,275.42,215.5,157.67,64.72,0.0278,index,simulated,Synthetic Generator - Bottleneck,,Bottleneck at Phase 6 (Vaulting) - severe D-C imbalance
19,2,Ore Processing_Entity,USA,2025-01-03,daily_state,ndc_balance,217.64,249.52,180.5,77.45,0.0975,index,simulated,Synthetic Generator - Bottleneck,,Bottleneck at Phase 6 (Vaulting) - severe D-C imbalance
20,3,Doré Production_Entity,USA,2025-01-03,daily_state,ndc_balance,233.65,248.03,214.38,89.05,0.4613,index,simulated,Synthetic Generator - Bottleneck,,Bottleneck at Phase 6 (Vaulting) - severe D-C imbalance
21,4,Refining_Entity,USA,2025-01-03,daily_state,ndc_balance,201.93,274.81,138.6,58.83,0.0188,index,simulated,Synthetic Generator - Bottleneck,,Bottleneck at Phase 6 (Vaulting) - severe D-C imbalance
22,5,Bar Casting & Assay_Entity,USA,2025-01-03,daily_state,ndc_balance,266.43,200.7,141.18,61.06,0.0231,index,simulated,Synthetic Generator - Bottleneck,,Bottleneck at Phase 6 (Vaulting) - severe D-C imbalance
23,6,Logistics & Vaulting_Entity,USA,2025-01-03,daily_state,ndc_balance,390.42,205.08,109.5,38.7,0.0029,index,simulated,Synthetic Generator - Bottleneck,,Bottleneck at Phase 6 (Vaulting) - severe D-C imbalance
24,7,Exchange Registration_Entity,USA,2025-01-03,daily_state,ndc_balance,241.19,215.19,183.63,80.6,0.1457,index,simulated,Synthetic Generator - Bottleneck,,Bottleneck at Phase 6 (Vaulting) - severe D-C imbalance
25,0,Geological Prospecting_Entity,USA,2025-01-04,daily_state,ndc_balance,204.68,231.23,172.91,79.48,0.1399,index,simulated,Synthetic Generator - Bottleneck,,Bottleneck at Phase 6 (Vaulting) - severe D-C imbalance
26,1,Mine Extraction_Entity,USA,2025-01-04,daily_state,ndc_balance,245.45,257.89,228.45,90.8,0.6068,index,simulated,Synthetic Generator - Bottleneck,,Bottleneck at Phase 6 (Vaulting) - severe D-C imbalance
27,2,Ore Processing_Entity,USA,2025-01-04,daily_state,ndc_balance,222.02,201.99,176.81,83.49,0.2433,index,simulated,Synthetic Generator - Bottleneck,,Bottleneck at Phase 6 (Vaulting) - severe D-C imbalance
28,3,Doré Production_Entity,USA,2025-01-04,daily_state,ndc_balance,259.02,265.17,250.2,95.47,2.0916,index,simulated,Synthetic Generator - Bottleneck,,Bottleneck at Phase 6 (Vaulting) - severe D-C imbalance
29,4,Refining_Entity,USA,2025-01-04,daily_state,ndc_balance,218.58,267.04,168.06,69.56,0.0424,index,simulated,Synthetic Generator - Bottleneck,,Bottleneck at Phase 6 (Vaulting) - severe D-C imbalance
30,5,Bar Casting & Assay_Entity,USA,2025-01-04,daily_state,ndc_balance,255.18,264.64,241.95,93.11,1.0067,index,simulated,Synthetic Generator - Bottleneck,,Bottleneck at Phase 6 (Vaulting) - severe D-C imbalance
31,6,Logistics & Vaulting_Entity,USA,2025-01-04,daily_state,ndc_balance,418.6,142.17,65.12,26.69,0.0013,index,simulated,Synthetic Generator - Bottleneck,,Bottleneck at Phase 6 (Vaulting) - severe D-C imbalance
32,7,Exchange Registration_Entity,USA,2025-01-04,daily_state,ndc_balance,255.75,260.64,248.67,96.32,2.9471,index,simulated,Synthetic Generator - Bottleneck,,Bottleneck at Phase 6 (Vaulting) - severe D-C imbalance
33,0,Geological Prospecting_Entity,USA,2025-01-05,daily_state,ndc_balance,232.13,230.3,227.61,98.44,7.5032,index,simulated,Synthetic Generator - Bottleneck,,Bottleneck at Phase 6 (Vaulting) - severe D-C imbalance
34,1,Mine Extraction_Entity,USA,2025-01-05,daily_state,ndc_balance,246.48,167.51,107.06,52.69,0.016,index,simulated,Synthetic Generator - Bottleneck,,Bottleneck at Phase 6 (Vaulting) - severe D-C imbalance
35,2,Ore Processing_Entity,USA,2025-01-05,daily_state,ndc_balance,283.43,217.47,155.87,62.78,0.0229,index,simulated,Synthetic Generator - Bottleneck,,Bottleneck at Phase 6 (Vaulting) - severe D-C imbalance
36,3,Doré Production_Entity,USA,2025-01-05,daily_state,ndc_balance,260.11,237.83,209.56,84.25,0.1974,index,simulated,Synthetic Generator - Bottleneck,,Bottleneck at Phase 6 (Vaulting) - severe D-C imbalance
37,4,Refining_Entity,USA,2025-01-05,daily_state,ndc_balance,275.15,250.15,218.76,83.38,0.1575,index,simulated,Synthetic Generator - Bottleneck,,Bottleneck at Phase 6 (Vaulting) - severe D-C imbalance
38,5,Bar Casting & Assay_Entity,USA,2025-01-05,daily_state,ndc_balance,251.14,214.16,172.75,74.49,0.0726,index,simulated,Synthetic Generator - Bottleneck,,Bottleneck at Phase 6 (Vaulting) - severe D-C imbalance
39,6,Logistics & Vaulting_Entity,USA,2025-01-05,daily_state,ndc_balance,435.96,151.9,69.91,27.17,0.0012,index,simulated,Synthetic Generator - Bottleneck,,Bottleneck at Phase 6 (Vaulting) - severe D-C imbalance
40,7,Exchange Registration_Entity,USA,2025-01-05,daily_state,ndc_balance,274.42,204.85,142.8,60.23,0.0206,index,simulated,Synthetic Generator - Bottleneck,,Bottleneck at Phase 6 (Vaulting) - severe D-C imbalance
41,0,Geological Prospecting_Entity,USA,2025-01-06,daily_state,ndc_balance,275.05,244.03,206.77,79.81,0.1029,index,simulated,Synthetic Generator - Bottleneck,,Bottleneck at Phase 6 (Vaulting) - severe D-C imbalance
42,1,Mine Extraction_Entity,USA,2025-01-06,daily_state,ndc_balance,262.88,242.05,215.28,85.34,0.2252,index,simulated,Synthetic Generator - Bottleneck,,Bottleneck at Phase 6 (Vaulting) - severe D-C imbalance
43,2,Ore Processing_Entity,USA,2025-01-06,daily_state,ndc_balance,214.95,218.48,209.82,96.82,4.4531,index,simulated,Synthetic Generator - Bottleneck,,Bottleneck at Phase 6 (Vaulting) - severe D-C imbalance
44,3,Doré Production_Entity,USA,2025-01-06,daily_state,ndc_balance,263.45,244.17,219.09,86.38,0.2619,index,simulated,Synthetic Generator - Bottleneck,,Bottleneck at Phase 6 (Vaulting) - severe D-C imbalance
45,4,Refining_Entity,USA,2025-01-06,daily_state,ndc_balance,273.62,250.08,220.24,84.19,0.1773,index,simulated,Synthetic Generator - Bottleneck,,Bottleneck at Phase 6 (Vaulting) - severe D-C imbalance
