record_id,value_phase_id,entity_id,country,date,period_type,metric_name,metric_value,unit,source_type,source_name,url,notes
1,0,L001,Global,2024-12-31,annual,butane_spot_price_usd_per_kg,0.62,USD/kg,public,CME Group NYMEX butane (C4) futures,https://www.cmegroup.com,Mont Belvieu normal butane spot converted from USD/gallon (0.85 USD/gal / 1.37 kg per gal)
2,0,L001,Global,2024-12-31,annual,pp_resin_spot_price_usd_per_kg,0.90,USD/kg,public,ICIS Polyolefins Price Report,https://www.icis.com,Polypropylene homopolymer injection grade; Asia benchmark spot price
3,0,L001,Global,2024-12-31,annual,ferrocerium_cost_per_unit_usd,0.0015,USD/unit,estimated,Fastmarkets minor metals (estimated),,Ferrocerium flint rod cost per lighter unit at scale; estimated from kg price and unit weight (0.12g per rod)
4,0,L001,Global,2024-12-31,annual,steel_spring_cost_per_unit_usd,0.002,USD/unit,estimated,LME steel pricing + fabrication estimate,,Steel spring and valve component cost per unit at Wenzhou scale
5,1,L002,China,2024-12-31,annual,component_manufacturing_cost_per_unit_usd,0.04,USD/unit,inferred,Alibaba OEM listings; UN Comtrade declared values (inferred),,Total component piece-part cost per assembled lighter including body halves; valve; nozzle; spring; wheel; flint rod; O-ring
6,1,L002,China,2024-12-31,annual,labor_cost_per_unit_usd,0.005,USD/unit,estimated,China NBS Zhejiang minimum wage 2023 + throughput estimate,,Labor cost per unit at 400 units/worker/hour and $2.20/hour minimum wage; direct labor only
7,1,L002,China,2023-12-31,annual,wenzhou_lighter_industry_annual_output_usd,1200000000,USD/year,estimated,CLCA + China Customs export statistics (estimated),,Total factory gate value of Wenzhou lighter industry output; estimated from export volumes and average FOB price
8,2,L002,China,2024-12-31,annual,assembly_cost_per_unit_usd,0.015,USD/unit,estimated,CLCA industry data + NBS wage data (estimated),,Total assembly cost including direct labor; overhead; butane fill; QA in-line; estimated at scale
9,2,L002,China,2024-12-31,annual,factory_gate_fob_price_generic_usd,0.12,USD/unit,inferred,Alibaba / Global Sources / UN Comtrade (inferred),,FOB Wenzhou/Ningbo price for generic unbranded lighter; range $0.10-$0.15
10,2,L003,China,2024-12-31,annual,factory_gate_fob_price_branded_oem_usd,0.18,USD/unit,inferred,Panjiva US import manifests (estimated),,FOB price for branded-spec OEM lighter (BIC equivalent specification); includes quality premium
11,3,L004,Global,2023-12-31,annual,certification_cost_per_sku_usd,2500,USD/SKU,estimated,SGS / Bureau Veritas lab fee schedules (estimated),https://www.sgs.com,ISO 9994 + EN 13869 certification cost per lighter SKU; annualized across production run of 1M+ units = $0.0025/unit
12,4,L005,China,2024-12-31,annual,packaging_cost_per_unit_usd,0.008,USD/unit,estimated,ICIS corrugated paper + industry estimate,,Display box and carton packaging cost per unit at scale
13,4,L005,Global,2024-06-30,annual,container_freight_cost_per_unit_usd,0.0016,USD/unit,public,Drewry WCI + units per FEU calculation,https://www.drewry.co.uk,"Container freight cost per unit: $3,200 FEU / 2,000,000 units = $0.0016/unit"
14,5,L006,USA,2023-12-31,annual,cif_landed_cost_generic_usd,0.15,USD/unit,inferred,US Census Bureau / Panjiva import data,https://www.census.gov,CIF landed cost for generic lighter at US port; includes FOB + ocean freight + insurance; duty (3.9%) adds $0.006/unit
15,5,L006,USA,2023-12-31,annual,us_import_duty_per_unit_usd,0.006,USD/unit,public,US CBP HTS 9613.10 (3.9% MFN duty),https://hts.usitc.gov,US most-favoured nation duty at 3.9% of declared value ($0.15); China-origin lighters not subject to Section 301 additional tariffs under this HTS classification
16,5,L006,USA,2023-12-31,annual,us_lighter_imports_total_units,3000000000,units/year,public,UN Comtrade HS 9613,https://comtrade.un.org,US lighter imports approximately 3 billion units per year; majority from China
17,6,L007,USA,2023-12-31,annual,wholesale_price_generic_usd,0.45,USD/unit,estimated,NACS SOTI 2023 + retail price backsolve (estimated),https://www.nacsonline.com,Generic lighter wholesale price at US distributor to convenience store; derived from retail $0.89 at 49% gross margin
18,6,L007,USA,2023-12-31,annual,distributor_margin_pct,22,percent,public,NACS State of the Industry Report 2023,https://www.nacsonline.com,Distributor gross margin on lighter category in US convenience channel
19,7,L008,USA,2023-12-31,annual,retail_price_generic_usd,0.89,USD/unit,public,Direct observation / Amazon / Walmart,https://www.walmart.com,Generic lighter retail price at US mass-market
20,7,L008,USA,2023-12-31,annual,retail_price_bic_classic_usd,1.49,USD/unit,public,Direct observation / BIC Group Annual Report 2023,https://www.bic-group.com/investors,BIC Classic lighter retail price at US convenience store
21,7,L008,USA,2023-12-31,annual,retail_margin_generic_pct,38,percent,public,NACS State of the Industry Report 2023,https://www.nacsonline.com,Retailer gross margin on generic lighter in US convenience channel
22,7,L009,Global,2023-12-31,annual,bic_lighter_revenue_usd,2240000000,USD/year,public,BIC Group Annual Report 2023 (Lighters segment),https://www.bic-group.com/investors,BIC Group Lighters segment revenue 2023; includes all lighter product categories globally
23,7,L009,Global,2023-12-31,annual,bic_lighter_units_sold_billion,1.5,billion units/year,public,BIC Group Annual Report 2023,https://www.bic-group.com/investors,BIC branded lighter units sold globally
24,7,L009,Global,2023-12-31,annual,bic_brand_premium_usd_per_unit,0.60,USD/unit,inferred,BIC Annual Report 2023 vs UN Comtrade declared values,https://www.bic-group.com/investors,BIC retail price ($1.49) minus generic equivalent ($0.89); pure brand abstraction premium; PRIMARY E-LAYER FINDING
