country_id,country_name,country_type,position_in_basin,capital_or_major_city,basin_area_km2_approx,population_in_basin_approx,notes
DE,Germany,mainstream,Headwaters,Munich / Ulm,56000,10000000,Upper Danube headwaters; Bavaria; Bavarian Alps tributaries
AT,Austria,mainstream,Upper,Vienna,80000,8000000,Upper Danube corridor; Enns and Inn tributaries; Vienna on main channel
SK,Slovakia,mainstream,Upper-Middle,Bratislava,47000,4000000,Main channel; Bratislava at confluence with Morava
HU,Hungary,mainstream,Middle,Budapest,93000,9700000,Middle Danube; Budapest on main channel; Tisza confluence
HR,Croatia,mainstream,Middle,Osijek / Zagreb,35000,3800000,Drava and Sava confluences; Danube forms border with Serbia
RS,Serbia,mainstream,Middle-Lower,Belgrade,81000,7300000,Middle and lower Danube; Iron Gate gorge; Belgrade at Sava confluence
BG,Bulgaria,mainstream,Lower,Sofia / Ruse,49000,6900000,Lower Danube; right bank shared with Romania; Ruse on river
RO,Romania,mainstream,Lower-Delta,Bucharest,232000,10000000,Lower Danube; Danube Delta (UNESCO/Ramsar); largest basin area
MD,Moldova,mainstream,Lower,Chisinau,12000,3500000,Prut tributary confluence; lower basin margin
UA,Ukraine,mainstream,Delta-Upper tributaries,Odessa / Uzhhorod,35000,5000000,Danube Delta north; Prut and Tisza headwaters in Carpathians
CH,Switzerland,catchment,Headwaters tributaries,Basel / Zurich,1800,200000,Rhine-Danube watershed; Inn tributary headwaters; very small contribution
IT,Italy,catchment,Alpine tributaries,Bolzano,3000,300000,Adige and Piave headwaters in eastern Alps; marginal contribution
CZ,Czech Republic,catchment,Morava-Thaya tributaries,Brno,21000,1500000,Morava and Thaya (Dyje) tributaries; no main channel contact
SI,Slovenia,catchment,Sava headwaters,Ljubljana,16000,2000000,Sava tributary headwaters in Julian Alps; flows to Croatia
BA,Bosnia and Herzegovina,catchment,Sava-Neretva tributaries,Sarajevo,36000,3300000,Sava and Neretva (Adriatic) tributary basins; substantial contribution
ME,Montenegro,catchment,Drina headwaters,Podgorica,7000,600000,Drina tributary headwaters; modest contribution
MK,North Macedonia,catchment,Vardar-Morava tributaries,Skopje,15000,2100000,Vardar (flows to Aegean) and Morava tributary basins
PL,Poland,catchment,Vistula-San margin,Krakow,500,200000,Vistula-San watershed margin; very small Danube basin contribution
AL,Albania,catchment,Drin tributary,Tirana,700,100000,Drin tributary; marginal basin contribution
