record_id,value_phase_id,entity_id,country,date,period_type,metric_type,metric_category,d_value,c_value,n_value,balance_score,sustainability_index,unit,source_type,source_name,url,notes
1,1,E001,Multi,2024-03-31,quarterly,period_state,ndc_balance,330,315,294.4,91.31,0.4255,index,simulated,Educational Synthetic - Value NDC,,Synthetic NDC seed for value chain (not real data)
2,1,E001,Multi,2024-06-30,quarterly,period_state,ndc_balance,340,310,272.13,83.82,0.1099,index,simulated,Educational Synthetic - Value NDC,,Synthetic NDC seed for value chain (not real data)
3,1,E001,Multi,2024-09-30,quarterly,period_state,ndc_balance,325,320,312.72,96.97,2.8571,index,simulated,Educational Synthetic - Value NDC,,Synthetic NDC seed for value chain (not real data)
4,1,E001,Multi,2024-12-31,quarterly,period_state,ndc_balance,335,318,294.89,90.35,0.3344,index,simulated,Educational Synthetic - Value NDC,,Synthetic NDC seed for value chain (not real data)
5,1,E001,Multi,2024-12-31,annual,period_state,ndc_balance,333,316,292.9,90.29,0.3344,index,simulated,Educational Synthetic - Value NDC,,Annual rollup placeholder (not real data)
6,1,E002,Multi,2024-03-31,quarterly,period_state,ndc_balance,320,318,315.04,98.76,7.1429,index,simulated,Educational Synthetic - Value NDC,,Synthetic NDC seed for value chain (not real data)
7,1,E002,Multi,2024-06-30,quarterly,period_state,ndc_balance,330,320,305.85,94.12,0.9091,index,simulated,Educational Synthetic - Value NDC,,Synthetic NDC seed for value chain (not real data)
8,1,E002,Multi,2024-09-30,quarterly,period_state,ndc_balance,315,322,304.93,95.75,1.6949,index,simulated,Educational Synthetic - Value NDC,,Synthetic NDC seed for value chain (not real data)
9,1,E002,Multi,2024-12-31,quarterly,period_state,ndc_balance,325,319,310.31,96.38,2.1739,index,simulated,Educational Synthetic - Value NDC,,Synthetic NDC seed for value chain (not real data)
10,1,E002,Multi,2024-12-31,annual,period_state,ndc_balance,323,320,315.58,98.16,5.2632,index,simulated,Educational Synthetic - Value NDC,,Annual rollup placeholder (not real data)
