relationship_name	count
is_part_of	879
made_from	803
includes	646
contains	307
discusses	303
related_to	303
has_phase	250
part_of	219
involves	210
authored	209
applies_to	179
represents	178
defines	168
references	161
has_data_source	157
describes	153
links_to	153
supports	139
uses	139
requires	131
has_dataset	123
published_in	122
has_metric	121
produces	119
located_in	118
has_component	106
analyzes	104
associated_with	102
relates_to	102
generates	97
maps_to	94
measures	85
derived_from	84
has_category	84
has_ndc_role	84
addresses	82
has_subtopic	82
depends_on	78
related_document	77
instance_of	76
related_claim	75
has_parameter	74
operates_in	72
utilizes	72
is_instance_of	71
is_related_to	69
composed_of	68
exhibits	68
precedes	68
participates_in	66
consists_of	63
contributes_to	62
classified_as	61
influences	60
has_subpage	59
wrote	59
corresponds_to	57
has_author	55
leads_to	55
proposed	55
authored_by	52
published_on	51
creates	50
based_on	48
affects	47
emerges_from	46
classified_under	45
applies_to_phase	43
governs	43
analogous_to	42
assesses	42
member_of	42
evaluates	41
symbolizes	41
has_related_claim	40
has_c_parameter	39
includes_phase	39
calculates	38
defined_by	38
provides	38
enables	37
has_part	37
is_example_of	37
about	36
explains	36
parent_of	36
developed	35
forms	35
has_d_parameter	35
applicable_to	34
demonstrates	34
published_by	34
aligns_with	33
connects	33
focuses_on	33
follows	33
has_related_document	33
aligned_with	31
connects_to	31
measured_in	31
mentions	31
produced_by	31
results_in	31
used_in	31
author_of	30
belongs_to_chain	30
has_dimension	30
is_in_zone	30
calculated_from	29
comprises	29
causes	28
has_property	28
mitigates	28
sourced_from	28
uses_constant	28
has	27
illustrates	27
manifests_in	27
documents	26
feeds_into	26
influenced_by	26
has_value	25
identifies	25
integrates	25
publishes	25
uses_parameter	25
created	24
has_form	24
interacts_with	24
involves_organization	24
is_type_of	24
applied_to	23
discussed_in	23
governed_by	23
has_subject	23
impacts	23
incorporates	23
performs	23
produced_in	23
contributed_to	22
determines	22
develops	22
originates_from	22
outputs	22
compared_to	21
has_role	21
introduces	21
is	21
appears_in	20
belongs_to_project	20
concerns	20
defines_metric	20
has_claim	20
has_date	20
has_element	20
has_partner	20
has_tag	20
provides_data_for	20
reflects	20
generated_by	19
has_output	19
has_subproject	19
includes_parameter	19
occurs_in	19
published	19
discovered	18
embodies	18
equivalent_to	18
exemplifies	18
informs	18
integrates_with	18
manages	18
publication_date	18
transitions_to	18
belongs_to	17
complies_with	17
created_by	17
includes_rule	17
is_based_on	17
next_phase	17
operates_in_phase	17
represented_by	17
covers	16
differs_in	16
employs	16
handled_by	16
has_chapter	16
has_characteristic	16
has_process_class	16
has_submetric	16
has_work_package	16
implements	16
is_classified_as	16
measured_by	16
affected_by	15
affiliated_with	15
converges_to	15
discusses_concept	15
examines	15
example_of	15
faces	15
inputs	15
introduced	15
is_equivalent_to	15
provides_reference_point_for	15
applies	14
constrained_by	14
developed_adaptation	14
developed_by	14
enhances	14
exhibited_by	14
has_ability	14
has_endpoint	14
has_input	14
has_location	14
instantiates	14
is_a_part_of	14
redirects_to	14
shares_pp_with	14
supported_by	14
corresponds_to_tholonic_concept	13
expresses	13
has_constraint	13
has_custodian	13
has_missing_data_item	13
has_research_interest	13
has_type	13
located_at	13
models	13
occurred_in	13
option_for	13
possesses	13
recommended_for	13
similar_to	13
supplies	13
associates_with	12
belongs_to_phase	12
characterized_by	12
contains_phase	12
contrasts_with	12
described_by	12
followed_by	12
has_attribute	12
has_instance	12
improves	12
includes_activity	12
integrated_into	12
is_associated_with	12
part_of_axis	12
answers	11
applied_in	11
assessed_by	11
cites_source_for_question_c1	11
commented_on	11
composes	11
connected_to	11
defines_phase	11
exists_in	11
explores	11
guaranteed_by	11
has_stage	11
has_state	11
has_structure	11
increases	11
instantiates_as	11
is_composed_of	11
relationship_name: contains; entity_name: welkin wall publishing; entity_description: Publisher of THOLONIA.	11
requires_data	11
source_of	11
source_of_data	11
studied	11
used	11
used_by	11
approaches	10
belongs_to_layer	10
complements	10
contains_hidden_image	10
displays	10
drives	10
exemplified_by	10
facilitates	10
has_kpi	10
has_principle	10
includes_diagnosis	10
involved_actor	10
linked_to	10
maintains	10
manifests_as	10
married_to	10
occurred_on	10
paired_with	10
participated_in	10
positively_impacts	10
provides_evidence_for	10
reduces	10
relationship_name: contains; entity_name: duncan stroud; entity_description: Author of THOLONIA	10
relationship_name: contains; entity_name: welkin wall publishing; entity_description: Publisher of THOLONIA	10
relies_on	10
reports	10
uses_technology	10
begins_phase	9
cites	9
collaborates_with	9
combines	9
compatible_with	9
constrains	9
contains_variable	9
derives_from	9
encouraged_by	9
enhanced_by	9
equals	9
establishes	9
exhibits_self_similarity	9
follows_template	9
formed_by	9
for_product	9
has_axis	9
has_column	9
has_domain	9
has_layer	9
has_missing_data	9
has_n_state	9
has_numerical_value	9
has_pattern	9
has_point	9
has_polarity	9
has_subcategory	9
implemented_in	9
includes_file	9
influenced	9
in_phase	9
interpreted_as	9
involves_region	9
is_expression_of	9
is_measured_by	9
is_phase_of	9
is_subtype_of	9
is_sum_of	9
maps_to_prime	9
monetizes	9
opposite_of	9
pertains_to_organization	9
policy_alignment	9
posits	9
potential_consortium_member	9
processed_by	9
produces_output	9
promotes	9
proposes	9
provides_data_about	9
provides_environmental_data_for	9
provides_metrics_for	9
provides_recommendations_for	9
provides_transparency_data_for	9
publication_year	9
registers	9
relationship_name: contains; entity_name: 2020-01-15; entity_description: Publication date of THOLONIA	9
relationship_name: contains; entity_name: 2020-01-15; entity_description: Publication date of THOLONIA.	9
relationship_name: contains; entity_name: tholonic model; entity_description: A theoretical framework that begins from the primitive state of nothing (zero).	9
relationship_name: contains; entity_name: tvpci; entity_description: True Value Pricing Convergence Index	9
resembles	9
stored_in	9
underpins	9
validates	9
adheres_to	8
allocates	8
assesses_dimension	8
boundary_transition	8
bounded_by	8
bridges	8
calculated_using	8
co_authored	8
considers	8
correlates_to	8
covers_phase	8
derives	8
equates	8
evaluated_by	8
expressed_by	8
extends	8
follows_pattern	8
has_advantage_in	8
has_dominant_constraint	8
has_isbn	8
has_seed	8
has_subtype	8
includes_assessment	8
includes_rule_set	8
interpreted	8
involves_trigram	8
is_applied_in	8
is_assigned_to	8
is_defined_by	8
operates_under	8
owns	8
product_of	8
relationship_name: contains; entity_name: e; entity_description: Euler’s number, e ≈ 2.718.	8
relationship_name: contains; entity_name: jeff milton; entity_description: Contributor to THOLONIA	8
relationship_name: contains; entity_name: phi; entity_description: The golden ratio, approximately 1.61803, which appears in various aspects of art, nature, and mathematics.	8
relevant_to	8
studies	8
succeeded_by	8
targets	8
tried_to_decipher	8
triggers	8
yields	8
active_since	7
amalgamation_of	7
appear_in	7
belongs_to_category	7
calculates_outcome	7
calls	7
characterized_by_contribution	7
characterized_by_definition	7
complementary_to	7
component_of	7
conducted	7
consortium_member	7
constitutes	7
created_on	7
defines_rating_structure_for	7
described	7
described_in	7
destination	7
emphasizes	7
encompasses	7
ends_phase	7
executes	7
exhibits_pattern	7
expressed_as	7
formulated	7
founded	7
grounded_in	7
has_challenge	7
has_claim_type	7
has_country	7
has_coupling_ratio	7
has_e_score	7
has_missing_image	7
has_project	7
has_specific_objective	7
has_upper_trigram	7
has_weakness	7
includes_concept	7
