entity_id,entity_name,entity_type,phase_ids,countries,hq_location,parent_company,sustainability_report_url,data_quality,notes
E001,Newmont Corporation,producer,"0,1,2,3",Multi,Denver CO USA,N/A,https://www.newmont.com/sustainability/,high,World's largest gold miner - advanced sustainability reporting (Sarah doc line 88-104)
E002,Barrick Gold,producer,"0,1,2,3",Multi,Toronto Canada,N/A,https://www.barrick.com/sustainability/,high,Giant in industry - diversifying into copper (Sarah doc line 92-105)
E003,Agnico Eagle Mines,producer,"1,2,3",Canada,Toronto Canada,N/A,https://www.agnicoeagle.com/English/sustainability/,high,Strong Canadian operations (Sarah doc line 93-106)
E004,Gold Fields,producer,"1,2,3",Multi,Johannesburg South Africa,N/A,https://www.goldfields.com/sustainability.php,high,Leading South African-based miner (Sarah doc line 97-107)
E005,AngloGold Ashanti,producer,"1,2,3",Multi,Johannesburg South Africa,N/A,https://www.anglogoldashanti.com/sustainability/,high,Significant SA producer with global assets (Sarah doc line 98-108)
E006,Zijin Mining,producer,"0,1,2,3,4",Multi,Longyan Fujian China,N/A,http://www.zijinmining.com/,medium,China's largest gold and copper producer - also mines lithium (Sarah doc line 96-109)
E007,Polyus,producer,"1,2,3",Russia,Moscow Russia,N/A,https://polyus.com/en/investors/,medium,Major Russian gold producer (Sarah doc line 99-110)
E008,Kinross Gold,producer,"1,2,3",Multi,Toronto Canada,N/A,https://www.kinross.com/sustainability/,high,Canadian company with diverse global operations (Sarah doc line 100-111)
E009,Wheaton Precious Metals,streaming,"3,4,5,6,7",Multi,Vancouver Canada,N/A,https://www.wheatonpm.com/sustainability/,medium,Royalty/streaming - finances mines for output share (Sarah doc line 113)
E010,Franco-Nevada Corporation,royalty,"0,3,4,5,6,7",Multi,Toronto Canada,N/A,https://www.franco-nevada.com/sustainability/,medium,Leading royalty and stream company (Sarah doc line 114)
E011,Royal Gold,royalty,"0,3,4,5,6,7",USA,Denver CO USA,N/A,https://www.royalgold.com/sustainability/,medium,Invests in mining assets for royalties (Sarah doc line 115)
E012,Eldorado Gold,producer,"1,2,3",Multi,Vancouver Canada,N/A,https://www.eldoradogold.com/sustainability/,medium,Notable miner and explorer (Sarah doc line 117)
E013,UK Royal Mint,recycler,"8,4,5",UK,Llantrisant Wales,UK Government,https://www.royalmint.com/aboutus/policies-and-guidelines/,medium,E-waste recycling - phones to coins (Sarah doc line 10)
E014,Generic_Geological_Prospecting,synthetic,"0",USA,N/A,N/A,N/A,synthetic,Placeholder for synthetic data generation
E015,Generic_Mine_Extraction,synthetic,"1",USA,N/A,N/A,N/A,synthetic,Placeholder for synthetic data generation
E016,Generic_Ore_Processing,synthetic,"2",USA,N/A,N/A,N/A,synthetic,Placeholder for synthetic data generation
E017,Generic_Dore_Production,synthetic,"3",USA,N/A,N/A,N/A,synthetic,Placeholder for synthetic data generation
E018,Generic_Refining,synthetic,"4",USA,N/A,N/A,N/A,synthetic,Placeholder for synthetic data generation
E019,Generic_Bar_Casting,synthetic,"5",USA,N/A,N/A,N/A,synthetic,Placeholder for synthetic data generation
E020,Generic_Logistics_Vaulting,synthetic,"6",USA,N/A,N/A,N/A,synthetic,Placeholder for synthetic data generation
E021,Generic_Exchange_Registration,synthetic,"7",USA,N/A,N/A,N/A,synthetic,Placeholder for synthetic data generation
E022,Generic_Recycling,synthetic,"8",USA,N/A,N/A,N/A,synthetic,Placeholder for synthetic data generation

