record_id,phase_id,entity,country,date,metric_name,metric_value,unit,source_type,source_name,url,notes
1,0,ICPDR,Danube Basin,2021-01-01,lateral_connectivity_index_current,0.55,index 0-1,public,ICPDR Hydromorphological Assessment JDS4 2019,https://www.icpdr.org,Current lateral connectivity of Danube floodplain (proportion of floodplain area receiving regular inundation); estimated 0.92 pre-regulation
2,0,ICPDR,Danube Basin,2021-01-01,flood_pulse_reduction_pct,40,percent,public,ICPDR JDS4 Hydromorphological Pressures Report,https://www.icpdr.org,Estimated 40% reduction in annual flood pulse frequency and duration vs pre-regulation baseline due to dams and embankments
3,0,ICPDR,Danube Basin,2021-01-01,embankment_length_main_river_km,2800,km,public,ICPDR Flood Risk Management Plan 2021,https://www.icpdr.org,Length of main stem flanked by flood embankments; limits lateral overbank flooding and floodplain connectivity
4,0,GRDC,Danube Basin,2022-01-01,mean_annual_flood_days_current,36,days/yr,public,Global Runoff Data Centre (GRDC) Danube Discharge Series,https://www.bafg.de/GRDC,Mean annual days of overbank flooding in Danube floodplains currently; pre-regulation estimate 60 days/yr
5,1,EU LUCAS,Danube Basin,2022-01-01,soil_organic_carbon_connected_floodplain_g_kg,28,g/kg,public,EU LUCAS Soil Survey 2022,https://esdac.jrc.ec.europa.eu,SOC in well-connected (regularly flooded) alluvial floodplain soils; significantly higher than disconnected sites (16 g/kg)
6,1,EU LUCAS,Danube Basin,2022-01-01,soil_organic_carbon_disconnected_floodplain_g_kg,16,g/kg,public,EU LUCAS Soil Survey 2022,https://esdac.jrc.ec.europa.eu,SOC in disconnected (embanked) floodplain soils; reflects reduced organic input from annual flooding and alluvial deposition
7,1,ICPDR,Danube Basin,2021-01-01,sediment_contaminated_sites_pct,22,percent,public,ICPDR JDS4 Sediment Quality Report,https://www.icpdr.org,Share of floodplain forest sites with legacy sediment contamination (cadmium; mercury; PCBs) from industrial discharges; concentrated in upper basin
8,2,Copernicus Land Service,Danube Basin,2022-01-01,floodplain_forest_current_ha,160000,ha,public,CORINE Land Cover 2018/2022 + Tree Cover Density layer,https://land.copernicus.eu,Current extent of riparian and floodplain forests along Danube main stem and major tributaries; 47% reduction from historical 300000 ha
9,2,Copernicus Land Service,Danube Basin,2022-01-01,historical_floodplain_forest_ha,300000,ha,public,Historical land cover reconstruction (CORINE + historical maps),https://land.copernicus.eu,Estimated pre-regulation floodplain forest extent based on 19th century topographic maps and palaeoecological records
10,2,Copernicus Land Service,Danube Basin,2022-01-01,invasive_robinia_pct_area,18,percent,public,CORINE Land Cover 2022 land cover class mapping,https://land.copernicus.eu,Proportion of current floodplain forest area dominated by Robinia pseudoacacia (black locust); invasive species outcompeting native softwoods on dry/disconnected sites
11,2,Donau-Auen National Park,Austria,2022-01-01,donau_auen_np_area_ha,9300,ha,public,Donau-Auen National Park Management Report 2022,https://www.donauauen.at,Donau-Auen National Park area (Austria); largest remaining natural floodplain forest in Central Europe; UNESCO MAB Biosphere Reserve
12,2,Croatia Parks Authority,Croatia,2022-01-01,kopacski_rit_area_ha,23000,ha,public,Kopacski rit Nature Park Management Plan,https://www.pp-kopacki-rit.hr,Kopacski rit (Croatia) floodplain wetland and forest; Ramsar site; IBA; Natura 2000; confluence of Drava and Danube
13,2,Duna-Drava National Park,Hungary,2022-01-01,gemenc_forest_area_ha,18000,ha,public,Gemenc Forest Management Plan (Duna-Drava NP),https://www.ddnp.hu,Gemenc hardwood floodplain forest in Hungary; pedunculate oak and common ash; Natura 2000 habitat 91F0
14,3,EFI,Danube Basin,2020-01-01,mean_growing_stock_m3_ha,120,m3/ha,public,European Forest Institute Temperate Forest Carbon Assessment 2020,https://www.efi.int,Mean growing stock in Danube riparian forests; below EU forest average (200+ m3/ha) reflecting short-rotation softwood species
15,3,EFI,Danube Basin,2020-01-01,annual_net_increment_m3_ha_yr,5.0,m3/ha/yr,public,EFI European Forest Resources 2020,https://www.efi.int,Net annual increment in productive Danube floodplain forests; constrained by reduced flood pulse and invasive species pressure
16,3,IPCC/EFI,Danube Basin,2022-01-01,carbon_stock_biomass_mt_co2,12.0,Mt CO2,inferred,EFI carbon stock estimates × 160000 ha; IPCC emission factors for temperate broadleaf forests,https://www.efi.int,Carbon stock in standing biomass of 160000 ha floodplain forest; biomass expansion factor applied to growing stock
17,3,IPCC/EFI,Danube Basin,2022-01-01,carbon_stock_soil_mt_co2,5.0,Mt CO2,inferred,EU LUCAS soil carbon × floodplain forest area; IPCC Tier 2 approach,https://esdac.jrc.ec.europa.eu,Soil organic carbon stock in top 30 cm of floodplain forest soils; alluvial soils have above-average SOC
18,3,ICPDR/EFI,Danube Basin,2022-01-01,annual_net_sequestration_mt_co2_yr,1.8,Mt CO2/yr,inferred,EFI annual increment × carbon fraction × 160000 ha; net of harvest removals,https://www.efi.int,Net annual carbon sequestration assuming current management; could increase 40-60% with connectivity restoration
19,4,FAOSTAT,Danube Basin,2022-01-01,annual_timber_value_eur_mn_yr,420,EUR million/yr,public,FAOSTAT Forestry Production and Trade 2022,https://www.fao.org/faostat,Estimated market value of timber produced from Danube floodplain forests (roundwood + sawnwood combined)
20,4,EEA MAES,Danube Basin,2020-01-01,flood_regulation_ecosystem_service_value_eur_mn_yr,180,EUR million/yr,public,EEA MAES Ecosystem Services Mapping and Assessment 2020,https://www.eea.europa.eu,Economic value of flood peak attenuation and floodwater retention services provided by Danube floodplain forests per year
21,4,Verra,Danube Basin,2024-01-01,active_carbon_projects_count,3,count,public,Verra VCS Registry 2024,https://registry.verra.org,Number of active Verra VCS or Gold Standard voluntary carbon projects in Danube riparian forest zone; severely underrepresenting the potential
22,4,Verra,Danube Basin,2024-01-01,annual_verified_carbon_credits_tco2_yr,50000,tCO2/yr,public,Verra VCS Registry 2024: Danube basin projects,https://registry.verra.org,Actual verified carbon credits issued annually from 3 active Danube riparian forest carbon projects
23,4,EFI/WWF,Danube Basin,2022-01-01,carbon_credit_potential_tco2_yr,1000000,tCO2/yr,inferred,EFI carbon stock analysis + WWF floodplain restoration baseline,https://www.wwf.ro,Potential annual carbon credits if full floodplain restoration additionality were registered and verified; 20x current actuals
24,0,EEA,Danube Basin,2022-01-01,wfd_hydromorphology_good_status_pct,35,percent,public,EEA WFD Article 5 Status Assessment 2022,https://www.eea.europa.eu,Share of Danube water bodies at good hydromorphological status; reflects embankment pressure on riparian habitat connectivity
25,2,WWF Danube-Carpathian,Danube Basin,2022-01-01,natura2000_floodplain_forest_ha,95000,ha,public,WWF Danube-Carpathian Natura 2000 mapping,https://www.wwf.ro,Total area of Natura 2000 designated floodplain forest habitat (types 91E0* and 91F0) in the Danube basin
