phase_id,phase_name,physical_state_in,physical_state_out,custodian_class,transparency_level,opacity_score,child_n_output
0,"Source identification, catchment management and water rights",Natural catchment water (unassigned),Licensed catchment yield assigned to PUB,PUB (regulatory and operational),high,4,Licensed catchment yield: ML/year allocated to PUB reservoirs under Singapore Water Resources Act
1,Raw water abstraction,Raw reservoir water,Raw water in engineered intake system,PUB,medium,2,Raw water intake: ML/day at waterworks intake meter
2,Drinking water treatment,Raw water,Treated potable water meeting Singapore Drinking Water Standard,PUB,high,4,Treated potable water: ML/day at waterworks outlet meeting Singapore Drinking Water Standard
3,Service reservoir and pressurised storage,Treated potable water (flowing),Pressurised potable water in service reservoir,PUB,medium,2,Stored potable supply: ML in service reservoir; daily inflow/outflow metered by PUB
4,Consumer delivery and use,Pressurised potable water in distribution,Used water at consumer premises (post-use discharge),PUB → Consumer,medium,3,Delivered potable water: m³ metered to consumer at billing address (143 L/day/person average; PUB 2023)
5,Used water collection and conveyance,Post-consumer discharge (wastewater),Used water in DTSS/sewer network en route to WRP,PUB (DTSS and conventional sewers),medium,3,Used water collected: ML/day at water reclamation plant inlet (DTSS flow meters)
6,Primary wastewater treatment,Raw wastewater,Primary effluent (gross solids removed; BOD ~35% reduced),PUB Water Reclamation Plants,high,4,Primary effluent: ML/day at primary clarifier outlet; TSS <150 mg/L; BOD ~35% reduced
7,Secondary biological treatment,Primary effluent,Secondary effluent (BOD <20 mg/L; TSS <20 mg/L),PUB Water Reclamation Plants,high,4,Secondary effluent: ML/day at secondary clarifier outlet; BOD <20 mg/L; TSS <20 mg/L
8,Advanced tertiary treatment (NEWater factories),Secondary effluent,NEWater exceeding WHO drinking water standards,PUB NEWater factories (same as Phase 7 — no handoff),high,4,NEWater at factory outlet: ML/day; conductivity <10 µS/cm; TOC <0.5 mg/L; exceeds WHO Guidelines
9,Quality certification and WHO+ compliance verification,"NEWater (purified, uncertified)",Certified NEWater (WHO+ verified),PUB quality team + contracted external laboratories,high,4,"Certified NEWater volume: ML/day independently verified to exceed WHO drinking water standards; 46,000+ tests/year (PUB NEWater Quality Report 2024)"
10,NEWater distribution,Certified NEWater (bulk in factory storage),NEWater in dedicated purple-pipe distribution network,PUB (direct network operation — no third-party distributor handoff),medium,3,NEWater distributed: ML/day metered at industrial offtakes and reservoir inlet meters
11,End-use delivery and reservoir replenishment,NEWater in distribution network,NEWater consumed by industrial users OR blended into PUB reservoirs (loop closure),PUB → Industrial end user; PUB → PUB reservoirs (loop closure),high,4,End-use delivery: m³/day metered to industrial users AND ML/day blended into Bedok/Kranji reservoirs; reservoir water re-enters Phase 0 classification — loop closed
