requirement_id,data_category,required_metric,unit,layer,phase_id,source_type,status,why_needed,notes
BC_REQ_001,project_scope,project_name,text,methodology,,private,missing,Defines the analysis boundary,Needed before any claims can be assigned to a project
BC_REQ_002,project_scope,project_geography,polygon_or_coordinates,supply_chain,0,public_or_private,missing,Defines physical and ecological boundary,Required for habitat and carbon baseline mapping
BC_REQ_003,project_scope,habitat_type,text,supply_chain,0,public_or_private,missing,Identifies mangrove seagrass coral or mixed coastal system,Needed to select valid MRV methodology
BC_REQ_004,project_scope,project_area,hectares,supply_chain,0,public_or_private,missing,Defines scale denominator,Needed for carbon livelihood and cost metrics
BC_REQ_005,baseline_ecology,baseline_habitat_condition,index_or_class,supply_chain,0,public_or_private,missing,Defines starting ecological state,Needed before restoration or conservation contribution can be measured
BC_REQ_006,baseline_ecology,carbon_stock_baseline,tCO2e_per_ha,supply_chain,0,public_or_private,missing,Defines starting carbon stock,Required for carbon benefit calculation
BC_REQ_007,baseline_ecology,sequestration_rate,tCO2e_per_ha_per_year,supply_chain,1,public_or_private,missing,Defines expected carbon flow,Required for revenue and outcome claims
BC_REQ_008,baseline_ecology,permanence_risk,index_or_class,supply_chain,1,public_or_private,missing,Tests durability of carbon benefit,Needed for buffer and credit quality
BC_REQ_009,baseline_ecology,leakage_risk,index_or_class,supply_chain,1,public_or_private,missing,Tests displacement of harm,Needed for credible carbon accounting
BC_REQ_010,fisheries,baseline_fishery_yield,kg_per_year,supply_chain,1,public_or_private,missing,Measures fisheries co-benefit,Needed if fisheries benefits are part of value story
BC_REQ_011,biodiversity,biodiversity_baseline,index_or_species_count,supply_chain,1,public_or_private,missing,Measures ecological co-benefit,Needed for ecosystem-service claim validation
BC_REQ_012,livelihoods,households_supported,count,value_chain,,private,missing,Measures social benefit scope,Needed for community benefit and investor reporting
BC_REQ_013,livelihoods,women_livelihoods_supported,count,value_chain,,private,missing,Measures gender-linked livelihood impact,Needed if gender or women livelihood KPIs are used
BC_REQ_014,governance,land_or_resource_rights,text,methodology,,public_or_private,missing,Defines legal authority and benefit rights,Needed for Character and Collateral assessment
BC_REQ_015,governance,community_consent_status,text,methodology,,private,missing,Tests legitimacy and execution risk,Needed for Character and long-term coherence
BC_REQ_016,governance,project_counterparties,text,financial_abstraction,,private,missing,Identifies issuer sponsor verifier buyers and guarantors,Needed for coupon and due-diligence design
BC_REQ_017,mrv,mrv_methodology,text,methodology,,public_or_private,missing,Defines measurement protocol,Needed before any outcome-linked coupon can be considered
BC_REQ_018,mrv,verification_provider,text,methodology,,private,missing,Defines independent assurance,Needed for investor credibility
BC_REQ_019,mrv,monitoring_frequency,interval,methodology,,private,missing,Defines reporting cadence,Needed for KPI trigger design
BC_REQ_020,mrv,remote_sensing_method,text,methodology,,public_or_private,missing,Defines spatial monitoring approach,Needed for carbon and habitat change evidence
BC_REQ_021,market_access,buyer_channels,text,value_chain,,private,missing,Tests market pathway,Needed to convert ecosystem outputs into revenue
BC_REQ_022,market_access,community_market_access_model,text,value_chain,,private,missing,Tests whether local stewards can participate,Needed for capacity and benefit-flow analysis
BC_REQ_023,revenue,carbon_credit_price,USD_per_tCO2e,value_chain,,public_or_private,missing,Defines potential carbon revenue,Do not use until volume and eligibility are known
BC_REQ_024,revenue,ecosystem_service_revenue_sources,text,value_chain,,private,missing,Identifies non-carbon revenue possibilities,May include fisheries tourism resilience or avoided-loss value
BC_REQ_025,revenue,revenue_sharing_model,percent_or_formula,value_chain,,private,missing,Defines distribution of value,Needed for community benefit and fairness analysis
BC_REQ_026,costs,restoration_cost,USD_per_ha,value_chain,,private,missing,Defines capital need,Needed for capacity and financing analysis
BC_REQ_027,costs,mrv_cost,USD_per_year,value_chain,,private,missing,Defines verification burden,Needed for net benefit and coupon feasibility
BC_REQ_028,costs,operating_cost,USD_per_year,value_chain,,private,missing,Defines maintenance burden,Needed for long-duration viability
BC_REQ_029,finance,financial_mechanism_type,text,financial_abstraction,,private,missing,Identifies bond fund credit facility or blended structure,Needed before coupon options can be evaluated
BC_REQ_030,finance,coupon_structure_options,text,financial_abstraction,,private,missing,Identifies candidate coupon structures,Requires KPI and verification evidence
BC_REQ_031,finance,guarantee_or_credit_enhancement,text,financial_abstraction,,private,missing,Tests collateral and risk reduction,Needed for bankability analysis
BC_REQ_032,finance,concessional_tranche_terms,text,financial_abstraction,,private,missing,Tests blended-finance design,Needed if commercial risk is too high
BC_REQ_033,finance,investor_eligibility_requirements,text,financial_abstraction,,public_or_private,missing,Defines market eligibility,Needed for Consistency or Certainty assessment
BC_REQ_034,kpi,kpi_definitions,text,methodology,,private,missing,Defines performance claims,Needed for all scoring and coupon trigger logic
BC_REQ_035,kpi,kpi_baseline_values,mixed,methodology,,private,missing,Defines starting point for KPI movement,Needed to avoid narrative-only targets
BC_REQ_036,kpi,kpi_trigger_thresholds,mixed,financial_abstraction,,private,missing,Defines coupon adjustment logic,Only valid after KPI definitions and MRV are credible
