record_id,phase_id,entity,country,date,metric_name,metric_value,unit,source_type,source_name,url,notes
1,0,Via Donau,Danube Basin,2022-01-01,mean_annual_discharge_delta_m3_s,6500,m3/s,public,Via Donau Hydrological Yearbook 2022,https://www.viadonau.org,Long-term mean annual discharge at Danube Delta (Ceatal Izmail gauge); 206 km3/yr; highest flow in Europe after Volga and Rhine
2,0,ICPDR,Danube Basin,2022-01-01,alpine_contribution_pct,35,percent,public,ICPDR JDS4 Hydrology Chapter 2022,https://www.icpdr.org,Share of Danube mean annual flow originating from Alpine catchments (Inn; Salzach; Salzach; Enns tributaries)
3,0,ERA5 Copernicus,Danube Basin,2022-01-01,snowmelt_timing_shift_days,18,days earlier than 1980,public,Copernicus ERA5 Climate Reanalysis 2022,https://climate.copernicus.eu,Advance in mean peak snowmelt date across Alpine and Carpathian Danube headwaters since 1980 due to warming
4,1,ICPDR,Danube Basin,2022-01-01,discharge_iron_gate_m3_s,5680,m3/s,public,ICPDR JDS4 multi-station discharge network 2022,https://www.icpdr.org,Mean annual discharge at Iron Gate I dam (Djerdap I); includes all tributary contributions above this point
5,1,ICPDR,Danube Basin,2022-01-01,major_tributaries_contributing_flow,7,count,public,ICPDR River Basin Management Plan 2022,https://www.icpdr.org,Major Danube tributaries: Inn; Morava; Drava; Sava; Tisza; Mures; Siret; each contributing >5% of total basin discharge
6,2,ICPDR,Danube Basin,2022-01-01,wfd_good_ecological_status_mainstream_pct,18,percent,public,ICPDR JDS4 Hydromorphology Module 2022,https://www.icpdr.org,Share of Danube mainstream river reach classified at WFD Good or High Ecological Status/Potential; 82% at Moderate or below
7,2,ICPDR,Danube Basin,2022-01-01,channelised_reach_pct,80,percent,public,ICPDR Hydromorphological Assessment 2022,https://www.icpdr.org,Share of Danube mainstream affected by navigation training works; flood embankments; hydropower regulation; or channel straightening
8,2,ICPDR,Danube Basin,2022-01-01,side_arm_connectivity_index,0.22,index 0-1,public,ICPDR JDS4 Hydromorphology 2022,https://www.icpdr.org,Lateral connectivity index for Danube floodplain side-arms; 0.22 reflects near-complete disconnection; pre-regulation estimate 0.75
9,2,ICPDR,Danube Basin,2022-01-01,gravel_bar_area_remaining_km2,420,km2,public,ICPDR Sediment Management Framework 2022,https://www.icpdr.org,Remaining active gravel bar area in Danube mainstream; 77% loss from historical 1800 km2 due to channel incision and flow regulation
10,3,ICPDR,Danube Basin,2022-01-01,sediment_delivery_to_delta_mt_yr,17,Mt/yr,public,ICPDR Sediment Management Framework for the Danube River Basin 2022,https://www.icpdr.org,Annual sediment (suspended + bedload) reaching the Danube Delta; 57% reduction from pre-regulation 40 Mt/yr due to Iron Gate trapping
11,3,ICPDR,Danube Basin,2022-01-01,iron_gate_sediment_trap_efficiency_pct,70,percent,public,ICPDR Sediment Budget Assessment 2022,https://www.icpdr.org,Fraction of incoming bedload trapped by Iron Gate I and II reservoirs; also traps approximately 40% of suspended load
12,3,Via Donau,Danube Basin,2022-01-01,channel_bed_incision_rate_mm_yr,8,mm/yr,public,Via Donau Channel Morphology Assessment 2022,https://www.viadonau.org,Mean channel bed incision rate in the regulated Danube reaches downstream of Iron Gate; threatening bridge foundations and navigation depths
13,3,Copernicus,Romania,2022-01-01,delta_subsidence_mm_per_yr,4.5,mm/yr,public,Copernicus Coastline Monitoring Service 2022,https://land.copernicus.eu,Mean annual delta platform subsidence rate; 0.8 mm/yr accretion against 4.5 mm/yr subsidence gives net loss of 3.7 mm/yr
14,4,DDBRA,Romania,2022-01-01,annual_freshwater_delivery_to_black_sea_km3,195,km3/yr,public,DDBRA Hydrological Annual Report 2022,https://www.ddbra.ro,Annual freshwater discharge from all three Danube Delta arms to the Black Sea; critical for NW Black Sea shelf ecosystem function
15,4,ICPDR,Danube Basin,2022-01-01,nitrogen_load_to_black_sea_kt_yr,380,kt N/yr,public,ICPDR Danube Watch Nutrient Report 2022,https://www.icpdr.org,Annual nitrogen load from Danube to Black Sea; primary driver of NW Black Sea eutrophication; dominated by Ukrainian and Hungarian agricultural runoff
16,0,ICPDR,Danube Basin,2022-01-01,annual_flood_damage_eur_bn,2.8,EUR billion/yr,public,ICPDR Flood Risk Management Plan 2022,https://www.icpdr.org,Mean annual flood damage across the Danube basin; 2002 and 2013 major events each exceeded EUR 12 billion total damage
17,2,EU WFD,Danube Basin,2022-01-01,wfd_moderate_or_below_mainstream_pct,82,percent,public,EU WFD RBMP Danube 2022,https://ec.europa.eu/environment/water,Share of Danube mainstream at WFD Moderate or below ecological status; driven by hydromorphological pressures (channelisation; regulation)
18,3,ICPDR,Danube Basin,2022-01-01,pre_iron_gate_sediment_delivery_mt_yr,40,Mt/yr,public,ICPDR Historical Sediment Budget 2022,https://www.icpdr.org,Pre-regulation annual sediment delivery to Danube Delta; reconstructed from historical surveys; basis for 57% reduction calculation
19,1,Via Donau,Austria,2022-01-01,discharge_vienna_m3_s,1900,m3/s,public,Via Donau Hydrological Yearbook 2022,https://www.viadonau.org,Long-term mean annual discharge at Vienna gauging station; first major measurement point including Inn tributary contribution
20,2,ICPDR,Danube Basin,2022-01-01,navigation_training_works_km,1800,km,public,ICPDR Navigation-Ecology Integration Report 2022,https://www.icpdr.org,Total length of Danube mainstream reach with groynes; bank revetments; and channel training works for navigation maintenance
21,0,EU Floods Directive,Danube Basin,2022-01-01,floodplain_retention_volume_km3,7.2,km3,public,ICPDR Flood Risk Management Plan 2022,https://www.icpdr.org,Remaining active floodplain retention volume; was estimated 26 km3 pre-regulation; loss due to levees and floodplain conversion
22,3,Via Donau,Danube Basin,2022-01-01,iron_gate_annual_generation_gwh,4700,GWh/yr,public,Via Donau Energy and Navigation Report 2022,https://www.viadonau.org,Annual electricity generation from Iron Gate I and II combined (2320 MW installed); primary reason for original dam construction
23,4,Black Sea Commission,Black Sea,2022-01-01,hypoxia_events_nw_shelf_per_decade,3,events/decade,public,Black Sea Commission Environmental Report 2022,https://www.blacksea-commission.org,Frequency of hypoxia events on NW Black Sea shelf triggered by Danube nutrient pulses combined with stratification; worsening trend
24,2,WWF,Danube Basin,2022-01-01,active_floodplain_area_km2,5200,km2,public,WWF Living Danube Restoration Assessment 2022,https://www.wwf.at,Current active floodplain area connected to main channel; down from 26000 km2 pre-regulation; 80% loss
25,3,ICPDR,Danube Basin,2022-01-01,critical_shallow_sections_navigation,7,count,public,Danube Commission Fairway Assessment 2022,https://www.danubecom-intern.org,Number of persistently shallow sections on the navigable Danube that regularly restrict vessel drafts below 2.5 m TEN-T standard
