record_id,phase_id,entity,country,date,metric_name,metric_value,unit,source_type,source_name,url,notes
1,0,FAO AQUASTAT,Danube Basin,2024-01-01,total_municipal_abstraction_km3_yr,8.5,km3/yr,public,FAO AQUASTAT,https://www.fao.org/aquastat,Municipal water abstraction across all 19 basin countries; annual
2,0,FAO AQUASTAT,Danube Basin,2024-01-01,total_agricultural_abstraction_km3_yr,22,km3/yr,public,FAO AQUASTAT,https://www.fao.org/aquastat,Agricultural irrigation abstraction; dominant use sector
3,0,FAO AQUASTAT,Danube Basin,2024-01-01,total_industrial_abstraction_km3_yr,4.5,km3/yr,public,FAO AQUASTAT,https://www.fao.org/aquastat,Industrial abstraction including cooling water
4,0,FAO AQUASTAT,Danube Basin,2024-01-01,surface_water_fraction_pct,65,percent,public,FAO AQUASTAT,https://www.fao.org/aquastat,65% of abstraction from surface water; 35% groundwater
5,2,WHO-UNICEF JMP,Danube Basin,2023-01-01,eu_drinking_water_compliance_pct,99.5,percent,public,WHO/UNICEF Joint Monitoring Programme,https://washdata.org,EU member state compliance with Drinking Water Directive; based on parametric monitoring
6,2,Eurostat,Danube Basin,2024-01-01,treatment_energy_intensity_kwh_m3,0.35,kWh/m3,public,Eurostat Energy in Water Sector,https://ec.europa.eu/eurostat,Energy intensity of water treatment; range 0.2-0.6 depending on source water quality
7,3,IBNET,Danube Basin,2022-01-01,non_revenue_water_pct,25,percent,public,World Bank IBNET,https://ibnet.org,Average non-revenue water (leakage + unbilled) across basin; range 10-40 pct
8,3,Eurostat,EU basin members,2024-01-01,pipe_age_years_avg,35,years,public,Eurostat Infrastructure Statistics,https://ec.europa.eu/eurostat,Average age of distribution network pipes in EU basin members; significant replacement needed
9,4,WHO-UNICEF JMP,Danube Basin,2023-01-01,population_safely_managed_water_pct,88,percent,public,WHO/UNICEF Joint Monitoring Programme,https://washdata.org,Share of basin population with safely managed drinking water access (JMP SDG 6.1.1)
10,4,WHO-UNICEF JMP,Danube Basin,2023-01-01,urban_access_pct,97,percent,public,WHO/UNICEF Joint Monitoring Programme,https://washdata.org,Urban population safely managed drinking water access
11,4,WHO-UNICEF JMP,Danube Basin,2023-01-01,rural_access_pct,76,percent,public,WHO/UNICEF Joint Monitoring Programme,https://washdata.org,Rural population safely managed drinking water access; key gap vs urban
12,4,WHO-UNICEF JMP,Danube Basin,2023-01-01,unserved_population,9720000,persons,public,WHO/UNICEF Joint Monitoring Programme,https://washdata.org,Population without safely managed drinking water; concentrated in Romania; Ukraine; Moldova; Bosnia
13,4,Eurostat,EU basin members,2024-01-01,per_capita_consumption_l_person_day,160,litres/person/day,public,Eurostat Water Statistics,https://ec.europa.eu/eurostat,Average domestic water consumption per person per day; EU basin member average ~130 l/p/day
14,1,Eurostat,EU basin members,2024-01-01,conveyance_energy_intensity_kwh_m3,0.12,kWh/m3,public,Eurostat Energy in Water Sector,https://ec.europa.eu/eurostat,Energy intensity of raw water conveyance; depends on pumping head and distance
