record_id,phase_id,entity,country,date,metric_name,metric_value,unit,source_type,source_name,url,notes
1,0,FAO FRA,Danube Basin,2020-01-01,total_commercial_floodplain_forest_ha,110000,ha,public,FAO Global Forest Resources Assessment 2020,https://www.fao.org/forest-resources-assessment,Commercial floodplain forest area available for managed harvest basin-wide; excludes strictly protected Natura 2000 cores
2,0,FAO FRA,Danube Basin,2020-01-01,area_under_management_plan_ha,140000,ha,public,FAO FRA 2020 national reports for Danube riparian countries,https://www.fao.org/forest-resources-assessment,Total area (commercial + plantation) under formal forest management plan including poplar plantations
3,0,FSC,Danube Basin,2024-01-01,certified_fsc_pefc_area_ha,76500,ha,public,FSC Forest Management Certificate Database 2024,https://info.fsc.org,FSC and PEFC certified forest area in Danube floodplain riparian zone; 45% of commercial area
4,0,FSC,Danube Basin,2024-01-01,certified_area_pct,45,percent,public,FSC/PEFC national certification data combined 2024,https://info.fsc.org,Share of commercial floodplain forest area under FSC or PEFC certification; EU states 65%; non-EU states 8%
5,1,FAOSTAT,Danube Basin,2022-01-01,annual_harvest_roundwood_m3_yr,800000,m3/yr,public,FAOSTAT Forestry Production 2022: Danube riparian countries aggregated,https://www.fao.org/faostat,Estimated annual roundwood harvest from Danube floodplain forests including poplar plantation clear-cut harvest
6,1,FAOSTAT,Romania,2022-01-01,annual_harvest_romania_m3_yr,280000,m3/yr,public,FAOSTAT Forestry Production Romania 2022,https://www.fao.org/faostat,Romania largest harvest country; includes Danubian floodplain and Siret/Prut tributaries; significant private forest component
7,1,FAOSTAT,Hungary,2022-01-01,annual_harvest_hungary_m3_yr,120000,m3/yr,public,FAOSTAT Forestry Production Hungary 2022,https://www.fao.org/faostat,Hungary harvest from Duna-Drava National Park buffer zones and Gemenc managed forest; includes poplar plantation component
8,1,World Bank,Danube Basin,2022-01-01,illegal_logging_non_eu_pct_estimate,25,percent,public,World Bank Forest Governance Review Eastern Europe 2022,https://www.worldbank.org,Estimated illegal logging (harvest without permit or exceeding permit) in non-EU Danube states as share of total harvest volume
9,1,ICPDR,Danube Basin,2021-01-01,harvest_causing_soil_compaction_sites_pct,35,percent,public,ICPDR JDS4 Hydromorphological assessment: riparian habitat pressures,https://www.icpdr.org,Share of harvest sites showing machinery-induced soil compaction affecting natural regeneration and surface hydrology
10,2,FAOSTAT,Danube Basin,2022-01-01,sawnwood_output_m3_yr,210000,m3/yr,public,FAOSTAT Forestry Sawnwood Production 2022,https://www.fao.org/faostat,Sawnwood produced from Danube floodplain roundwood; includes poplar LVL from Austrian and Hungarian mills
11,2,Eurostat,Danube Basin,2022-01-01,biomass_energy_output_gwh_yr,1200,GWh/yr,public,Eurostat Energy Statistics: Solid biofuels 2022,https://ec.europa.eu/eurostat,Biomass energy generated from Danube floodplain forest residues and woodchip; district heating in Hungary Romania Bulgaria
12,2,EFI,Danube Basin,2022-01-01,processing_recovery_rate_pct,52,percent,public,EFI European Forest Sector Outlook 2022,https://www.efi.int,Mean log-to-sawnwood recovery rate; Austrian/Hungarian mills 65%+; Romanian/Serbian mills 40-45%
13,2,EFI,Danube Basin,2022-01-01,average_sawlog_price_eur_m3,95,EUR/m3,public,EFI Timber Price Statistics 2022,https://www.efi.int,Average standing sawlog price for poplar and willow; hardwood (oak/ash) EUR 110-140/m3
14,2,EFI,Danube Basin,2022-01-01,average_pulpwood_price_eur_m3,38,EUR/m3,public,EFI Timber Price Statistics 2022,https://www.efi.int,Average pulpwood/woodchip price for softwood species; drives biomass energy outlet decision
15,3,FSC,Danube Basin,2024-01-01,certified_sales_volume_pct,45,percent,public,FSC/PEFC sales certification database 2024,https://info.fsc.org,Share of harvest volume with chain-of-custody certification; EU states 72%; non-EU states 12%
16,3,Verra,Danube Basin,2024-01-01,active_voluntary_carbon_projects,3,count,public,Verra VCS Registry: Danube basin search 2024,https://registry.verra.org,Active Verra VCS voluntary carbon projects in Danube floodplain forest zone; critically underrepresenting the carbon potential
