phase_id,phase_name,epoch_start,epoch_end,dominant_paradigm,paradigm_state,primary_transformation,typical_time_scale,transparency_level,key_text_or_event,custodian_class,notes
0,Ancient Exchange,pre-3000 BCE,600 BCE,Barter and tribute redistribution,Gift and tribute economies,Development of weight-based commodity money,Millennia,Low,Mesopotamian grain accounting and shekel weight standards (c. 3000 BCE),Temple priests and tribal elders,Pre-literate or proto-literate era. Most records are clay tablets and oral transmission. High D due to geographic isolation and agricultural constraint.
1,Classical Antiquity,600 BCE,400 CE,Coin-based market economies with commercial law,Coined money economies,Adoption of coinage and Roman commercial law,Centuries,Low-Medium,Lydian coinage (c. 600 BCE); Aristotle Politics (350 BCE); Roman commercial law,State mints and philosophers,First systematic thought on exchange and value. Aristotle distinguishes use value from exchange value. Roman law formalizes contract and debt.
2,Medieval Commercial Revolution,500 CE,1500 CE,Feudal economy with emerging long-distance credit,Ledger credit and bill of exchange,Double-entry bookkeeping and deposit banking,Centuries,Medium,Pacioli Summa (1494); Medici Bank (1397); Champagne trade fairs,Merchant guilds and church,Usury prohibition shapes credit instrument design. Bill of exchange circumvents interest ban. Deposit banking emerges in Italian city-states.
3,Mercantilism and State Finance,1500,1776,Bullion accumulation doctrine and state-managed trade,Nation-state trade doctrine,Joint-stock companies and national debt instruments,Centuries,Medium,VOC incorporation (1602); Bank of England (1694); mercantilist treatises,Mercantilist states and trading companies,Trade surplus as state objective. Colonial systems extract bullion. National debt as war finance instrument. First rudimentary balance-of-trade statistics.
4,Classical Political Economy,1776,1871,Market self-regulation and comparative advantage,Market-centered paradigm,Mathematical formalization and marginal utility analysis,Decades,High,Wealth of Nations (1776); Ricardo Principles (1817); Mill Principles (1848),Political economists and early universities,Labor theory of value dominant. Free trade advocacy displaces mercantilism. Political economy becomes an academic discipline. First economic journals.
5,Marginalist Revolution,1871,1929,Utility maximization and price equilibrium,Mathematical equilibrium economics,Great Depression - model fails to explain persistent unemployment,Decades,High,Jevons Theory of Political Economy (1871); Walras Elements (1874); Marshall Principles (1890),University economics departments,Mathematics enters economics. Marginal utility replaces labor theory of value. Supply-demand equilibrium. Pareto optimum. First PhD programs in economics.
6,Keynesian Macro,1929,1973,Aggregate demand management and fiscal stabilization,Mixed economy macro,Stagflation - simultaneous inflation and unemployment invalidates IS-LM,Decades,High,General Theory (1936); Bretton Woods (1944); Kuznets national income accounting,Central banks and governments,Depression reveals Say's Law failure. Fiscal multiplier. National income accounting created. Bretton Woods establishes IMF and World Bank. Mixed economy becomes policy norm.
7,Monetarism and Stagflation Response,1970,1990,Price stability and quantity theory of money,Rules-based monetary policy,Financialization and global deregulation spread,Decades,High,Friedman monetarism; Lucas critique (1976); Volcker shock (1979-82),Central banks and treasury departments,Stagflation discredits Keynesian discretion. Rational expectations. Rules vs discretion debate. Volcker disinflation. Reagan and Thatcher supply-side programs.
8,Neoliberal Consolidation,1990,2008,Efficient markets and financial globalization,Global neoliberal consensus,Global Financial Crisis 2008 - efficient market consensus collapses,Decades,High,Washington Consensus (1989); WTO (1995); DSGE models; CDO expansion,IMF World Bank and economic policy institutes,Capital account liberalization. DSGE macro models. Financial engineering and derivatives. Emerging market crises. Dot-com and housing bubbles as stress signals.
9,Post-Crisis Fragmentation,2008,present,Contested - no settled dominant framework,Paradigm crisis and methodological pluralism,Pending - no child N has yet stabilized,Ongoing,Medium,GFC (2008); Piketty Capital (2014); COVID-19 fiscal response (2020); LLM economics,Distributed and contested,Models failed to predict 2008. Zero lower bound. Inequality debate. MMT. Complexity economics. Behavioral mainstream. AI in economics. No agreed successor paradigm.
