record_id,lifecycle_phase_id,metric_name,metric_value,unit,source_type,source_name,data_status,notes
1,0,economic_demonstrated_reserves_tonnes,5165,t,public,Foran et al. 2005 Balancing Act Vol 2,POPULATED,"Economic demonstrated reserves for Australian gold and lead sector as of 2003."
2,0,economic_life_years,19,years,public,Foran et al. 2005 Balancing Act Vol 2,POPULATED,"18-20 year midpoint estimate."
3,0,production_forecast_tonnes_year,500,t/year,public,Foran et al. 2005 Balancing Act Vol 2,POPULATED,"CSIRO 2050 forecast for Australian gold production."
4,0,geological_confidence_index,,,inferred,,OPAQUE,"Resource confidence categories are not yet normalized into this lifecycle layer."
5,0,permitting_status,,,public,,OPAQUE,"Permit status is not yet tabulated by site or jurisdiction."
6,1,production_tonnes_year,260,t/year,public,Foran et al. 2005 Balancing Act Vol 2,POPULATED,"Annual gold production as of the 2002-2003 reporting year."
7,1,employment_total_years,27000,employment-years,public,Foran et al. 2005 Balancing Act Vol 2,POPULATED,"11,000 direct plus 16,000 upstream supplier employment-years."
8,1,supplier_human_rights_flagged_pct,24,percent,public,Newmont 2024 Sustainability Report,POPULATED,"194 of 812 responding suppliers flagged for higher human rights risk."
9,1,commissioning_status,,,public,,OPAQUE,"Development and commissioning status is not yet tracked at site level."
10,2,annual_mine_production_global,3300,t/year,public,World Gold Council / USGS,POPULATED,"Global annual mine production context from gold project context page."
11,2,water_recycled_rate_pct,71,percent,public,Newmont 2024 Sustainability Report,POPULATED,"Water recycled as percentage of total water used across processing operations in 2024."
12,2,lbma_rgg_audit_compliance,1,binary,public,Newmont 2024 Sustainability Report,POPULATED,"Customer audits completed at multiple operations with no major non-compliance reported."
13,2,comex_registered_inventory_reporting,1,binary,public,COMEX Daily Reports,POPULATED,"Exchange registration is treated as a highly transparent physical anchor."
14,3,land_reclaimed_ha,192,ha/year,public,Newmont 2024 Sustainability Report,POPULATED,"Concurrent reclamation in 2024, above target of 162 ha."
15,3,cyanide_spills_count,30,count/year,public,Newmont 2024 Sustainability Report,POPULATED,"Cyanide-related spills in 2024."
16,3,water_recycled_rate_baseline_pct,65,percent,public,Newmont 2024 Sustainability Report,POPULATED,"2018 baseline for water recycling rate."
17,3,vault_custody_control_audit_frequency,,,inferred,,OPAQUE,"Phase 6 vault custody maintenance and control cadence is structurally opaque."
18,3,long_term_tailings_monitoring_frequency,,,public,,OPAQUE,"Recurring tailings monitoring is not yet tabulated in the model."
19,4,recycling_share_pct,28,percent,public,World Gold Council,POPULATED,"Recycling share shown in gold project context."
20,4,above_ground_stock_tonnes,205000,t,public,World Gold Council,POPULATED,"Above-ground stock shown in gold project context."
21,4,closure_reclamation_target_ha,162,ha/year,public,Newmont 2024 Sustainability Report,POPULATED,"Newmont 2024 reclamation target referenced by the reported 192 ha actual."
22,4,closure_liability_register,,,public,,OPAQUE,"Closure liability and long-term monitoring register is not yet integrated."
23,4,recycled_feedstock_traceability,,,public,,OPAQUE,"Phase 8 feedstock custody and re-entry traceability are not yet tabulated."
