source_doc,target_doc,relationship_type,reason
clarity_vs_kpmg_tvf,tholonic_framework_supply_value_chain,depends_on,N-D-C framework provides the conceptual foundation for Clarity True Value comparison
clarity_vs_kpmg_tvf,sustainability_linked_loan_framework,supports,ESG prerequisite screening logic can inform sustainability-linked finance analysis
sustainability_linked_loan_framework,clarity_vs_kpmg_tvf,contrasts_with,Sustainability finance use case connects to Clarity versus KPMG methodology comparison
tholonic_framework_supply_value_chain,clarity_vs_kpmg_tvf,supports,Core Tholonic supply and value chain method supports the Clarity TVF argument
tholonic_framework_supply_value_chain,tholonic_integration,extends,Integration guide applies the core Tholonic framework to implementation practice
tholonic_framework_supply_value_chain,supply_chain_rules,supports,Supply-chain rules operationalize the physical-layer separation used by the framework
tholonic_framework_supply_value_chain,value_chain_rules,supports,Value-chain rules operationalize the value-layer separation used by the framework
tholonic_integration,tholonic_framework_supply_value_chain,depends_on,Integration note depends on the core Tholonic N-D-C framework
tholonic_integration,supply_chain_rules,applies_to,Integration examples apply N-D-C concepts to supply-chain modeling rules
supply_chain_rules,value_chain_rules,contrasts_with,Supply-chain rules define the physical layer while value-chain rules define the financial-value layer
supply_chain_rules,abstract_supply_chain_phase_template,supports,Supply-chain rules govern how the abstract supply-chain phase template should be used
value_chain_rules,supply_chain_rules,contrasts_with,Value-chain rules explicitly separate pricing and margins from physical supply-chain modeling
value_chain_rules,abstract_value_chain_phase_template,supports,Value-chain rules govern how the abstract value-chain phase template should be used
abstract_supply_chain_phase_template,abstract_value_chain_phase_template,contrasts_with,Supply-chain phases and value-chain phases align by phase id but remain separate analytical layers
abstract_supply_chain_phase_template,gold_supply_chain_phase_instance,applies_to,Gold instance applies the abstract supply-chain phase template to gold
abstract_supply_chain_phase_template,shea_supply_chain_phase_instance,applies_to,Shea instance applies the abstract supply-chain phase template to shea
abstract_value_chain_phase_template,abstract_supply_chain_phase_template,contrasts_with,Value-chain template is paired with but analytically separate from the supply-chain template
abstract_value_chain_phase_template,gold_value_chain_phase_instance,applies_to,Gold value instance applies the abstract value-chain phase template to gold
abstract_value_chain_phase_template,shea_value_chain_phase_instance,applies_to,Shea value instance applies the abstract value-chain phase template to shea
gold_supply_chain_phase_instance,abstract_supply_chain_phase_template,derived_from,Gold supply-chain instance is derived from the abstract supply-chain phase model
shea_supply_chain_phase_instance,abstract_supply_chain_phase_template,derived_from,Shea supply-chain instance is derived from the abstract supply-chain phase model
gold_value_chain_phase_instance,abstract_value_chain_phase_template,derived_from,Gold value-chain instance is derived from the abstract value-chain phase model
shea_value_chain_phase_instance,abstract_value_chain_phase_template,derived_from,Shea value-chain instance is derived from the abstract value-chain phase model
tvpci_specification,tvpci_foundation,depends_on,TVPCI specification depends on the full TVPCI foundation derivation
tvpci_specification,tvpci_explained_math,depends_on,TVPCI specification is supported by the math explainer
tvpci_foundation,tvpci_specification,supports,Foundation document supports the TVPCI specification
tvpci_foundation,tvpci_explained_math,supports,Foundation document supports the simplified mathematical explanation
tvpci_explained_math,tvpci_foundation,summarizes,Math explainer summarizes and clarifies the TVPCI foundation
tvpci_explained_math,tvpci_specification,supports,Math explainer supports interpretation of the TVPCI specification
ndc_concepts_parameters_sources_reference,ndc_metrics_calculation_reference,supports,Concept and source definitions support calculation of N-D-C metrics
ndc_metrics_calculation_reference,ndc_concepts_parameters_sources_reference,depends_on,Metric calculations depend on N-D-C concept and parameter definitions
ndc_qualitative_mapping_by_phase,ndc_concepts_parameters_sources_reference,applies_to,Qualitative mapping applies N-D-C definitions to supply-chain phases
ndc_qualitative_mapping_by_phase,abstract_supply_chain_phase_template,supports,Qualitative N-D-C mapping supports use of the supply-chain phase template
ndc_global_support,tholonic_framework_supply_value_chain,supports,Global support note provides external context for the Tholonic framework
frontend_docs_repos_intra_pdi_pdi_material_agnostic_phase_mapping_protocol,abstract_supply_chain_phase_template,supports,Phase mapping protocol explains how to apply the abstract supply-chain phase template
frontend_docs_repos_intra_pdi_pdi_worked_example_gold_supply_chain,abstract_supply_chain_phase_template,applies_to,Gold worked example applies the abstract supply-chain phase template
frontend_docs_repos_intra_pdi_pdi_worked_example_gold_supply_chain,gold_supply_chain_phase_instance,supports,Gold worked example supports the gold supply-chain instance
frontend_docs_repos_intra_pdi_pdi_worked_example_municipal_water_supply,abstract_supply_chain_phase_template,applies_to,Municipal water worked example applies the abstract supply-chain phase template to water systems
frontend_docs_repos_intra_pdi_pdi_ecosystem_case_mango_coastal_q_and_a,abstract_supply_chain_phase_template,applies_to,Ecosystem case applies phase mapping logic to a coastal agro-ecological system
frontend_docs_research_modeling_sarah_data_ingestion_quick_reference,frontend_project_gold_data_sarah_integration_complete,supports,Sarah quick reference supports the Sarah integration workflow
frontend_project_gold_data_sarah_integration_analysis,frontend_project_gold_data_sarah_integration_complete,supports,Sarah integration analysis supports the completion note
frontend_docs_reports_water_waste_methodology,frontend_docs_research_modeling_sarah_data_ingestion_quick_reference,supports,Water and waste methodology supports environmental metrics referenced by Sarah ingestion
frontend_docs_api_frontend_api,frontend_docs_api_value_chain_api,contrasts_with,Frontend API and value-chain API document different interface surfaces
aubeb_pdi_feedback_source_note,frontend_docs_pdi_pdi_water_newwater_status,supports,AUBEB feedback identifies PDI gaps and needed parameters for ecosystem-service KPI modeling
aubeb_pdi_feedback_source_note,tholonic_framework_supply_value_chain,supports,AUBEB feedback shows ecosystem services being tested through the cTVF and Tholonic model
aubeb_pdi_feedback_source_note,tvpci_specification,supports,AUBEB feedback references investor-facing Phi and TVPCI characteristics
corette_cherry_rootstocks_intensive_orchards_source_note,supply_chain_rules,supports,Cherry rootstock article provides a physical production-phase adaptation example
corette_cherry_rootstocks_intensive_orchards_source_note,abstract_supply_chain_phase_template,applies_to,Cherry orchard data can be mapped as phase-level constraints outputs and measurable metrics
blue_finance_3cs_blended_finance_source_note,sustainability_linked_loan_framework,supports,Blue finance article supports sustainability-linked finance and investor-readiness analysis
blue_finance_3cs_blended_finance_source_note,clarity_vs_kpmg_tvf,supports,Blue finance article supports Clarity-style prerequisite screening before financial abstraction
blue_finance_3cs_blended_finance_source_note,aubeb_pdi_feedback_source_note,supports,Blue finance article provides context for AUBEB blended-finance and ecosystem-service KPI design
argentina_copper_gold_silver_deposit_source_note,supply_chain_rules,supports,Argentina deposit article provides upstream physical supply-chain and environmental constraint signals
argentina_copper_gold_silver_deposit_source_note,gold_supply_chain_phase_instance,supports,Argentina deposit article is relevant to upstream gold resource and mine-development phases
blue_carbon_ctvf_gap_analysis,blue_finance_3cs_blended_finance_source_note,summarizes,Blue Carbon gap analysis turns the blue finance article into cTVF due-diligence questions
blue_carbon_ctvf_gap_analysis,sustainability_linked_loan_framework,supports,Blue Carbon gap analysis extends sustainability-linked finance logic into blue carbon due diligence
blue_carbon_ctvf_gap_analysis,clarity_vs_kpmg_tvf,supports,Blue Carbon gap analysis applies Clarity system-first screening before monetized investment interpretation
blue_carbon_ctvf_gap_analysis,aubeb_pdi_feedback_source_note,supports,Blue Carbon gap analysis uses AUBEB feedback as related ecosystem-service and KPI-gap context
blue_finance_3cs_blended_finance_source_note,blue_carbon_ctvf_gap_analysis,supports,Blue finance article supplies the Character Capacity Collateral and Consistency framing for the gap analysis
