project_id,country,project_name,metric_name,metric_value,unit,horizon,source_url,data_status,notes
SS_BF_2021,Burkina Faso,Serious Shea Burkina Faso 2021,fund_size,10000000,US$,2021,Clarity nav (password-protected),METADATA_ONLY,"From Clarity nav."
SS_BF_2021,Burkina Faso,Serious Shea Burkina Faso 2021,profit_year_3,2000000,US$,Year 3,Clarity nav (password-protected),METADATA_ONLY,"From Clarity nav."
SS_BF_2021,Burkina Faso,Serious Shea Burkina Faso 2021,founding_partners,,,2021,Serious Shea BPlan V8 2023,POPULATED,"Golden Organics, Impact Agri, Women's Shea Butter Union; funded World Bank, AfDB, Burkina Faso Government."
SS_SN_2023,Senegal,Serious Shea Senegal Carbon Equity/Debt Fund,fund_target,500000000,EUR,2053,Clarity nav (password-protected),METADATA_ONLY,"EUR 0.5B by 2053; BF model adapted to Senegal."
SS_SN_2023,Senegal,Serious Shea Senegal (GGW),investment_total,25000000,EUR,2023-2033,v2/data/230424-ShortSeriousShea.BPlan_.Pres_.-V8Draft-SNJ.pdf,POPULATED,"€25M investment."
SS_SN_2023,Senegal,Serious Shea Senegal (GGW),gross_profit_year_10,50000000,EUR,Year 10,v2/data/230424-ShortSeriousShea.BPlan_.Pres_.-V8Draft-SNJ.pdf,POPULATED,"€50M p.a. gross profit at Year 10."
SS_SN_2023,Senegal,Serious Shea Senegal (GGW),equity_pct,40,%,2023,v2/data/230424-ShortSeriousShea.BPlan_.Pres_.-V8Draft-SNJ.pdf,POPULATED,"Carbon Equity managed by Mirova."
SS_SN_2023,Senegal,Serious Shea Senegal (GGW),debt_pct,60,%,2023,v2/data/230424-ShortSeriousShea.BPlan_.Pres_.-V8Draft-SNJ.pdf,POPULATED,"Debt (e.g. DFC/BADEA)."
SS_SN_2023,Senegal,Serious Shea Senegal (GGW),trees_planted_target,35000000,trees,2030,v2/data/230424-ShortSeriousShea.BPlan_.Pres_.-V8Draft-SNJ.pdf,POPULATED,"35M native trees by 2030; 80% survival rate."
SS_SN_2023,Senegal,Serious Shea Senegal (GGW),tree_survival_rate,0.8,ratio,,v2/data/230424-ShortSeriousShea.BPlan_.Pres_.-V8Draft-SNJ.pdf,POPULATED,"80% survival."
