phase_id,phase_name,transparency_level,D_parameters,C_parameters,balance_target,energy_base
0,Ancient Exchange,Low,D1:geographic_isolation|D2:oral_tradition_only|D3:agricultural_constraint|D4:kinship_obligation_norms,C1:gift_exchange_networks|C2:temple_redistribution|C3:commodity_weight_standards|C4:trade_route_formation,0.66,10.0
1,Classical Antiquity,Low-Medium,D1:metal_supply_limits|D2:war_finance_demands|D3:social_hierarchy_constraint|D4:empire_administration_cost,C1:coinage_standardization|C2:commercial_law_roman|C3:market_price_signals|C4:economic_philosophy_classical,0.72,10.0
2,Medieval Commercial Revolution,Medium,D1:usury_prohibition|D2:jurisdictional_fragmentation|D3:literacy_limits|D4:communication_speed_constraint,C1:bill_of_exchange|C2:deposit_banking|C3:merchant_guilds|C4:double_entry_bookkeeping|C5:trade_fair_networks,0.81,10.0
3,Mercantilism and State Finance,Medium,D1:bullion_scarcity_doctrine|D2:colonial_administration_limits|D3:inter_state_rivalry|D4:navigation_technology_constraint,C1:joint_stock_companies|C2:national_debt_instruments|C3:colonial_trade_networks|C4:mercantilist_theory_texts,0.82,10.0
4,Classical Political Economy,High,D1:agrarian_property_relations|D2:limited_economic_statistics|D3:natural_law_philosophy|D4:industrial_disruption_pace,C1:wealth_of_nations|C2:comparative_advantage|C3:free_trade_advocacy|C4:political_economy_as_discipline|C5:economic_journals,0.88,10.0
5,Marginalist Revolution,High,D1:classical_labor_value_theory|D2:limited_computation_tools|D3:pre_statistical_methods|D4:heterodox_resistance,C1:marginal_utility_theory|C2:supply_demand_equilibrium|C3:welfare_economics|C4:economics_phd_programs|C5:mathematical_economics_journals,0.87,10.0
6,Keynesian Macro,High,D1:classical_say_law_orthodoxy|D2:gold_standard_collapse|D3:mass_unemployment_crisis|D4:political_pressure_for_state_action,C1:general_theory_1936|C2:national_income_accounting|C3:bretton_woods_institutions|C4:welfare_state_policy|C5:development_economics,0.91,10.0
7,Monetarism and Stagflation Response,High,D1:stagflation_failure_of_keynesianism|D2:oil_shocks|D3:public_choice_critique|D4:inflation_expectations_problem,C1:monetarist_framework|C2:rational_expectations|C3:supply_side_economics|C4:deregulation_framework|C5:central_bank_independence,0.86,10.0
8,Neoliberal Consolidation,High,D1:deregulation_momentum|D2:computational_dsge_models|D3:capital_mobility_doctrine|D4:efficient_market_hypothesis,C1:washington_consensus|C2:financial_engineering|C3:dsge_macro_models|C4:global_trade_expansion|C5:econometrics_mainstream,0.84,10.0
9,Post-Crisis Fragmentation,Medium,D1:model_failure_2008|D2:political_legitimacy_crisis|D3:zero_lower_bound_problem|D4:inequality_data_challenge,C1:complexity_economics|C2:mmt_revival|C3:behavioral_economics_mainstream|C4:ai_in_economics|C5:degrowth_framework,0.74,10.0
