record_id,phase_id,entity,country,date,metric_name,metric_value,unit,source_type,source_name,url,notes
CI-001,0,All producers,Global,2024,global_cocoa_production_mt,5000000,metric tonnes per year,public,ICCO Quarterly Bulletin of Cocoa Statistics,https://www.icco.org/statistics/,Total global production 2023/24 season estimate
CI-002,0,CCC / COCOBOD,Ivory Coast + Ghana,2024,west_africa_production_share_pct,60,percent of global,public,ICCO Quarterly Bulletin 2024,https://www.icco.org/statistics/,Ivory Coast 44% + Ghana 16% + small West Africa contributions
CI-003,0,Smallholder farmers,Ivory Coast,2024,farm_count_ivory_coast_approx,600000,smallholder farms,public,Conseil Cafe-Cacao (CCC),https://www.conseilcafecacao.ci/,Approximate licensed producer count in CCC registry
CI-004,0,Smallholder farmers,Global,2024,avg_farm_size_ha,2,hectares,public,IDH Cocoa Barometer 2022,https://cocoabarometer.org/,Global average cocoa farm size for smallholders
CI-005,0,ILO / NORC research,Ivory Coast + Ghana,2020,child_labor_estimated_persons,1560000,children aged 5-17 in hazardous work,public,NORC University of Chicago for US DoL 2020,https://www.dol.gov/agencies/ilab,Study covers 2018/19 production year
CI-006,0,Multiple NGOs,Ivory Coast,2024,deforestation_area_inside_protected_forest_ha,100000,hectares (estimate),public,Mighty Earth Cocoa Scorecard 2023,https://www.mightyearth.org/cocoa-scorecard/,Estimate of cocoa grown illegally inside protected forest areas
CI-007,0,EU Commission,EU,2023,eudr_deadline,2025-12-30,regulatory deadline,public,EU Regulation 2023/1115,https://environment.ec.europa.eu/topics/forests/deforestation/regulation-deforestation-free-products_en,Deadline for EUDR compliance for large operators; SMEs 2026-06-30
CI-008,1,World Cocoa Foundation,West Africa,2024,fermentation_duration_days,6,days (average),public,World Cocoa Foundation post-harvest guidelines,https://worldcocoafoundation.org/,Range 5-8 days; optimal 6 days for Forastero beans
CI-009,1,Industry standard,West Africa,2024,drying_duration_days,10,days sun drying (average),public,World Cocoa Foundation post-harvest guidelines,https://worldcocoafoundation.org/,Range 7-14 days depending on weather
CI-010,1,Cargill,Ivory Coast,2024,flavor_precursor_development_pct,85,percent derived from fermentation,inferred,Cargill Cocoa technical guidance,https://www.cargill.com/sustainability/cocoa,Industry consensus; fermentation develops pyrazines and Maillard precursors
CI-011,1,IDH / WCF,Global,2022,sustainability_certification_coverage_pct,24,percent of global supply,public,IDH Cocoa Barometer 2022,https://cocoabarometer.org/,Includes Rainforest Alliance + UTZ + Fairtrade; does not verify fermentation practices
CI-012,1,ILO / ICI,Ivory Coast,2023,clmrs_enrolled_households,700000,farm households,public,ICI / Cargill Cocoa Promise 2023,https://www.cargill.com/sustainability/cocoa,Approximate total enrolled across all CLMRS programs in Ivory Coast
CI-013,2,CCC,Ivory Coast,2024,farm_gate_price_guaranteed_cif_pct,64,percent of CIF price,public,Conseil Cafe-Cacao price announcement 2023-24,https://www.conseilcafecacao.ci/,CCC sets minimum guaranteed price as percentage of CIF before season opens
CI-014,2,CCC,Ivory Coast,2024,lbc_count_ivory_coast,190,Licensed Buying Companies,public,Conseil Cafe-Cacao 2023,https://www.conseilcafecacao.ci/,Number of licensed intermediary buyers operating in Ivory Coast
CI-015,2,COCOBOD,Ghana,2024,farm_gate_price_usd_per_mt_ghana,1600,USD per metric tonne,public,COCOBOD Ghana / World Cocoa Foundation,https://worldcocoafoundation.org/,Ghana farm-gate price (LBC-to-farmer purchase price) 2023-24 season
CI-016,2,CCC,Ivory Coast,2024,farm_gate_price_usd_per_mt_ivory_coast,1400,USD per metric tonne,public,ICCO / World Cocoa Foundation Market Update 2024,https://worldcocoafoundation.org/,Approximate guaranteed minimum farm-gate price 2023-24 season
CI-017,3,Barry Callebaut / ICCO,Ivory Coast,2024,ivory_coast_origin_grinding_mt,750000,metric tonnes per year,public,ICCO Quarterly Bulletin / Barry Callebaut Annual Report 2024,https://www.icco.org/statistics/,Approximate origin grinding volumes at ADM/Cargill/Olam/Barry Callebaut Ivory Coast plants
CI-018,3,ICCO,Ivory Coast,2024,origin_grinding_share_pct,35,percent of Ivory Coast harvest,public,ICCO Quarterly Bulletin 2024,https://www.icco.org/statistics/,35% of approximately 2.2 Mt harvest = 770,000 Mt origin processed
CI-019,3,Port Autonome d'Abidjan,Ivory Coast,2024,abidjan_port_cocoa_throughput_mt,1000000,metric tonnes per year,public,Port Autonome d'Abidjan commodity statistics,https://www.paa.ci/,Approximate annual cocoa throughput at Abidjan port
CI-020,4,Port of Rotterdam,Netherlands,2024,rotterdam_amsterdam_cocoa_mt,1200000,metric tonnes per year,public,Port of Rotterdam Authority commodity flows 2024,https://www.portofrotterdam.com/en/news-and-press-releases/commodities-handled,Combined Rotterdam + Amsterdam cocoa volume (beans + semi-finished)
CI-021,4,Shipping industry,Global,2024,abidjan_to_rotterdam_transit_days,12,days (typical),public,Port of Rotterdam Authority / shipping industry,https://www.portofrotterdam.com/,Range 10-14 days; 22-26 days via Cape (Red Sea avoidance)
CI-022,4,Shipping industry,Global,2024,red_sea_rerouting_extra_days,10,days added,public,Port of Rotterdam / shipping press 2024,https://www.portofrotterdam.com/,Average extra transit time via Cape of Good Hope for vessels avoiding Red Sea (2024)
