record_id,phase_id,entity,country,date,metric_name,metric_value,unit,source_type,source_name,url,notes
1,0,World LPG Association,Global,2023-12-31,global_lpg_production_mt,320000000,MT/year,public,World LPG Association Annual Report 2023,https://www.wlpga.org,Global LPG/NGL production used as butane feedstock for lighter manufacturing
2,0,CME Group,USA,2024-12-31,butane_spot_price_usd_per_gal,0.85,USD/gallon,public,NYMEX CME Group propane/butane futures,https://www.cmegroup.com,Mont Belvieu normal butane spot (C4) annual average 2024
3,0,ICIS,Global,2024-12-31,pp_resin_spot_price_usd_per_mt,900,USD/MT,public,ICIS Polyolefins Price Report,https://www.icis.com,Polypropylene homopolymer injection grade spot price range mid; feedstock for lighter body molding
4,0,London Metal Exchange,Global,2024-12-31,steel_wire_rod_price_usd_per_mt,580,USD/MT,public,LME Steel Scrap Index,https://www.lme.com,Steel used for spring stamping and valve components
5,0,Fastmarkets,Global,2024-12-31,ferrocerium_alloy_price_usd_per_kg,12.50,USD/kg,estimated,Fastmarkets minor metals market (estimated),https://www.fastmarkets.com,Ferrocerium (iron-cerium alloy) used in flint rods; minor metals pricing estimated from rare earth/cerium oxide market
6,0,IEA,Global,2023-12-31,global_butane_trade_volume_mt,85000000,MT/year,public,IEA Oil Market Report 2023,https://www.iea.org,Global LPG (butane/propane) trade volumes; China is net importer of LPG feedstock
7,1,China Lighter Industry Association,China,2023-12-31,wenzhou_lighter_factories_count,3000,count,public,China Lighter Industry Association (CLCA),https://www.clca.org.cn,Estimated number of lighter manufacturers in Wenzhou/Zhejiang cluster; CLCA industry survey data
8,1,China NBS,China,2023-12-31,wenzhou_lighter_employment,200000,persons,public,China National Bureau of Statistics (NBS) Light Industry Survey,https://www.stats.gov.cn,Employment in lighter and ignition device manufacturing in Zhejiang province
9,1,China Customs,China,2023-12-31,lighter_component_piece_cost_per_unit,0.04,USD/unit,inferred,China Customs export data / Alibaba OEM listings,https://www.alibaba.com,Inferred piece-part cost per assembled lighter unit (all 30+ components); derived from FOB price decomposition
10,1,Plastics Technology,Global,2023-12-31,pp_injection_mold_cycle_time_sec,8,seconds,estimated,Plastics Technology trade press (industry benchmark),https://www.ptonline.com,Typical injection mold cycle time for small PP lighter body halves; 8-12 second industry benchmark
11,1,China NBS,China,2023-12-31,zhejiang_min_wage_per_hour_usd,2.20,USD/hour,public,China NBS / Zhejiang Provincial Government minimum wage order 2023,https://www.stats.gov.cn,Zhejiang Province minimum wage (converted from CNY at 7.1 CNY/USD); assembly labor cost basis
12,2,CLCA,China,2023-12-31,assembly_throughput_units_per_worker_per_hour,400,units/worker/hour,estimated,China Lighter Industry Association / trade press estimates,https://www.clca.org.cn,Typical semi-automated assembly line throughput per worker-hour in Wenzhou factories
13,2,Alibaba Global Sources,China,2023-12-31,factory_gate_fob_price_generic_usd_per_unit,0.12,USD/unit,inferred,Alibaba / Global Sources OEM listings (inferred from UN Comtrade),https://www.alibaba.com,Generic unbranded lighter FOB Wenzhou/Ningbo; range $0.10-$0.15; mid-point used
14,2,UN Comtrade,China,2023-12-31,china_lighter_exports_units_billion,10.0,billion units/year,public,UN Comtrade HS 9613,https://comtrade.un.org,China lighter exports (HS 9613.10 + 9613.20); approximately 10 billion units per year
15,2,CLCA,China,2023-12-31,lighter_components_per_unit_count,30,count,public,China Lighter Industry Association technical documentation,https://www.clca.org.cn,Number of precision-engineered components in a standard disposable lighter; varies 28-35 depending on model
