record_id,phase_id,entity,country,date,metric_name,metric_value,unit,source_type,source_name,url,notes
1,0,FAO AQUASTAT,Danube Basin,2024-01-01,total_agricultural_abstraction_km3_yr,22,km3/yr,public,FAO AQUASTAT,https://www.fao.org/aquastat,Total agricultural water abstraction across all 19 basin countries; largest single sector (63% of total 35 km3/yr)
2,0,FAO AQUASTAT,Danube Basin,2024-01-01,surface_water_fraction_pct,78,percent,public,FAO AQUASTAT,https://www.fao.org/aquastat,78% of agricultural abstraction from surface water (rivers and canals); 22% from groundwater
3,0,FAO AQUASTAT,Romania,2024-01-01,romania_agricultural_abstraction_km3_yr,3.4,km3/yr,public,FAO AQUASTAT,https://www.fao.org/aquastat,Largest single-country agricultural abstraction in the basin; mostly Lower Danube Plain; Main East Canal system
4,0,FAO AQUASTAT,Hungary,2024-01-01,hungary_agricultural_abstraction_km3_yr,1.8,km3/yr,public,FAO AQUASTAT,https://www.fao.org/aquastat,Great Hungarian Plain (Alföld); mix of surface water and groundwater; well-established irrigation history
5,0,FAO AQUASTAT,Bulgaria,2024-01-01,bulgaria_agricultural_abstraction_km3_yr,2.1,km3/yr,public,FAO AQUASTAT,https://www.fao.org/aquastat,Danube-Black Sea corridor; significant rehabilitation need identified by World Bank
6,0,FAO AQUASTAT,Serbia,2024-01-01,serbia_agricultural_abstraction_km3_yr,1.6,km3/yr,public,FAO AQUASTAT,https://www.fao.org/aquastat,Vojvodina region (Danube-Tisa-Danube Canal); well-suited to irrigation; significant investment needed
7,1,World Bank,Danube Basin,2023-01-01,primary_canal_length_km,18000,km,inferred,World Bank / EBRD sector assessments,https://www.worldbank.org,Total length of primary irrigation canals across the basin; estimate from national inventory data
8,1,World Bank,Danube Basin,2023-01-01,infrastructure_age_avg_years,45,years,public,World Bank IBRD water sector assessments,https://www.worldbank.org,Average age of primary canal infrastructure; most built 1950-1975; significant deferred maintenance
9,1,World Bank,Danube Basin,2023-01-01,earth_canal_fraction_pct,60,percent,public,World Bank IBRD water sector assessments,https://www.worldbank.org,60% of primary canals unlined earth; subject to seepage losses; 40% concrete-lined
10,1,World Bank,Danube Basin,2023-01-01,primary_conveyance_loss_pct,18,percent,inferred,World Bank / FAO sector benchmarks,https://www.worldbank.org,Average primary conveyance loss; range 10-30% depending on canal lining and condition
11,1,EU CAP,EU basin members,2023-01-01,eu_cap_irrigation_rehabilitation_m_eur,620,million EUR,public,EU CAP Rural Development Programme reporting,https://agriculture.ec.europa.eu,EU CAP Pillar II funding allocated to irrigation rehabilitation in EU basin member states over 2014-2020 programming period
12,2,Eurostat,EU basin members,2024-01-01,farm_metering_coverage_pct_eu,65,percent,public,Eurostat Farm Structure Survey,https://ec.europa.eu/eurostat,Farm-level water metering coverage in EU member states; basis for abstraction billing and monitoring
13,2,World Bank,Non-EU basin,2023-01-01,farm_metering_coverage_pct_noneu,12,percent,inferred,World Bank water sector assessments,https://www.worldbank.org,Very limited farm-level metering in non-EU countries (Ukraine; Serbia; Bosnia); primary data gap
14,2,World Bank,Danube Basin,2023-01-01,secondary_canal_length_km,85000,km,inferred,World Bank / national inventory data,https://www.worldbank.org,Total secondary and tertiary canal length; mostly unlined; primary source of distribution losses
15,2,World Bank,Danube Basin,2023-01-01,secondary_distribution_loss_pct,15,percent,inferred,World Bank / FAO sector benchmarks,https://www.worldbank.org,Average distribution loss in secondary canal network; range 10-22% depending on condition
16,3,FAO,Danube Basin,2023-01-01,gravity_irrigation_share_pct,55,percent,public,FAO AQUASTAT; Eurostat Farm Structure Survey,https://www.fao.org/aquastat,Share of irrigated area using gravity/flood irrigation; lowest efficiency method; dominant in lower basin
17,3,FAO,Danube Basin,2023-01-01,sprinkler_irrigation_share_pct,30,percent,public,FAO AQUASTAT; Eurostat Farm Structure Survey,https://www.fao.org/aquastat,Share of irrigated area using sprinkler irrigation; growing adoption in EU member states
18,3,FAO,Danube Basin,2023-01-01,drip_irrigation_share_pct,15,percent,public,FAO AQUASTAT; Eurostat Farm Structure Survey,https://www.fao.org/aquastat,Share of irrigated area using drip/micro-irrigation; highest efficiency; primarily in horticulture
19,3,FAO,Danube Basin,2023-01-01,gravity_application_efficiency_pct,47,percent,public,FAO Irrigation and Drainage Paper No. 66 (Bruinsma 2011),https://www.fao.org/3/a-bc596e.pdf,Application efficiency of gravity/flood irrigation in southeast Europe; benchmark from FAO IP66
20,3,FAO,Danube Basin,2023-01-01,sprinkler_application_efficiency_pct,75,percent,public,FAO Irrigation and Drainage Paper No. 66 (Bruinsma 2011),https://www.fao.org/3/a-bc596e.pdf,Application efficiency of sprinkler irrigation in southeast Europe; benchmark from FAO IP66
21,3,FAO,Danube Basin,2023-01-01,drip_application_efficiency_pct,88,percent,public,FAO Irrigation and Drainage Paper No. 66 (Bruinsma 2011),https://www.fao.org/3/a-bc596e.pdf,Application efficiency of drip/micro-irrigation in southeast Europe; benchmark from FAO IP66
22,3,FAO,Danube Basin,2023-01-01,weighted_avg_efficiency_pct,50,percent,inferred,FAO AQUASTAT; FAO IP66; Eurostat,https://www.fao.org/aquastat,Weighted average irrigation efficiency based on method mix (55% gravity at 47%; 30% sprinkler at 75%; 15% drip at 88%)
23,3,World Bank,Danube Basin,2023-01-01,water_saving_potential_km3_yr,5.5,km3/yr,inferred,World Bank water sector assessments; FAO IP66,https://www.worldbank.org,Potential water savings if efficiency improves from 50% to 75% on 22 km3/yr abstraction (12 km3 effective delivery vs 16.5 km3 target)
24,4,ICPDR,Danube Basin,2023-01-01,agricultural_return_flow_km3_yr,6.6,km3/yr,inferred,ICPDR Danube Basin Analysis; AQUASTAT,https://www.icpdr.org,Estimated return flow (~30% of abstraction) to groundwater and river system; major pathway for diffuse pollution
25,4,ICPDR,Danube Basin,2023-01-01,nitrate_concentration_avg_mg_l,18,mg/l,public,ICPDR Joint Danube Survey (JDS4 2019),https://www.icpdr.org,Average nitrate concentration in agricultural drainage zones; well below EU limit (50 mg/l) but elevated vs. background
26,4,ICPDR,Danube Basin,2023-01-01,water_bodies_with_agricultural_pressure_pct,62,percent,public,ICPDR WFD Article 5 basin analysis,https://www.icpdr.org,62% of assessed Danube water bodies with identified agricultural diffuse pollution pressure (nutrients and pesticides)
27,4,EEA,Danube Basin,2023-01-01,total_phosphorus_load_t_yr,85000,t/yr,public,EEA European Environment Agency water quality reports,https://www.eea.europa.eu,Total phosphorus load from agricultural land to Danube water network; primary eutrophication driver
28,4,ICPDR,Danube Basin,2023-01-01,pesticide_detected_water_bodies_pct,62,percent,public,ICPDR JDS4 (2019),https://www.icpdr.org,Share of monitored Danube water bodies with detected pesticide concentrations; multiple substances; mainly herbicides
29,0,FAO AQUASTAT,Danube Basin,2024-01-01,irrigated_area_ha,2800000,ha,public,FAO AQUASTAT,https://www.fao.org/aquastat,Total irrigated agricultural area across the Danube Basin; Romania and Bulgaria have largest shares
