phase_id,indicator_id,indicator_label,role,scoring_rule,max_points,waste_stream,source_hint
0,P0_N1,Drill cuttings volume declared per exploration lot,N,+15 if quantified with mass balance; +8 if acknowledged only; 0 if absent,15,Drill cuttings,ICMM Exploration Best Practice 2009
0,P0_N2,Exploration footprint (ha disturbed) declared against permit boundary,N,+15 if within permit with boundary map; +8 if declared without map; 0 if absent,15,Land clearance,National environmental permit records
0,P0_D1,Written environmental management plan specific to exploration site,D,+20 if site-specific and substantive; +10 if generic corporate policy only; 0 if absent,20,All streams,ICMM Mining Principles 2021
0,P0_D2,Drill fluid and brine disposal method declared and bounded,D,+15 if method specified with containment standard; +8 if method named only; 0 if absent,15,Brine / drill fluid,National regulations
0,P0_C1,Independent environmental baseline survey within 24 months,C,+25 if from accredited third party within window; +12 if from company-funded external consultant; 0 otherwise,25,All streams,ICMM Good Practice Guidance for Mining and Biodiversity
0,P0_C2,Satellite or aerial footprint verification against declared boundary,C,+10 if imagery dated within 12 months and matched to permit; 0 otherwise,10,Land clearance,Open-access satellite (e.g. Sentinel-2)
1,P1_N1,Waste rock volume declared per mining period (tonnes),N,+20 if declared with mass balance per reporting period; +10 if annual aggregate only; 0 if absent,20,Waste rock / overburden,Newmont 2024 SR; ICMM Tailings reporting
1,P1_N2,Tailings volume and solids content declared per period,N,+20 if volume and solids percentage both stated; +10 if volume only; 0 if absent,20,Tailings slurry,ICMM Tailings Standard 2020
1,P1_N3,Acid mine drainage occurrence declared (pH / sulfate readings),N,+10 if pH and sulfate measured at mine boundary; +5 if acknowledged qualitatively; 0 if absent,10,Acid mine drainage,National water quality regulations
1,P1_D1,Tailings storage facility (TSF) design certified by independent engineer,D,+25 if ICMM-aligned ITRB review within 3 years; +12 if internal review only; 0 if absent,25,Tailings slurry,ICMM Tailings Standard 2020 Requirement 6
1,P1_D2,Progressive reclamation plan with annual targets filed with regulator,D,+20 if filed with measurable targets; +10 if plan exists without regulatory filing; 0 if absent,20,Land clearance / waste rock,Newmont 2024 SR (162 ha/yr target)
1,P1_D3,Cyanide management protocol (for heap-leach sites) declared,D,+15 if ICMC-aligned; +8 if internal protocol only; 0 if absent or not applicable (mark N/A),15,Cyanide (ASGM or industrial),ICMC Cyanide Code; Newmont Path to Zero Cyanide Spills
1,P1_C1,Independent TSF inspection report within 12 months,C,+25 if from independent qualified person (IQP) per ICMM standard; +12 if from company engineer; 0 otherwise,25,Tailings slurry,ICMM Tailings Standard 2020
1,P1_C2,Third-party reclamation progress audit matched to annual target,C,+20 if audited externally and result matched to target; +10 if internally audited; 0 otherwise,20,Land clearance,Newmont 2024 SR (192 ha actual vs 162 target)
1,P1_C3,Community or NGO monitoring report on AMD or dust impacts,C,+15 if published third-party report within 24 months; +8 if company-funded community survey; 0 otherwise,15,Acid mine drainage / dust,Community benefit agreements; national NGO
2,P2_N1,Cyanide solution volume and concentration declared per leach cycle,N,+20 if volume and WAD-CN concentration both stated per cycle; +10 if annual aggregate; 0 if absent,20,Cyanide solution,Newmont 2024 SR; ICMC Cyanide Code
2,P2_N2,Process water volume drawn and recycled declared,N,+20 if both intake and recycled volume stated; +10 if only recycled percentage stated; 0 if absent,20,Process water,Newmont 2024 SR (71% recycled)
2,P2_N3,Cyanide spill count and volume declared per period,N,+10 if count and volume both stated; +5 if count only; 0 if absent,10,Cyanide spills,Newmont 2024 SR (30 spills/yr)
2,P2_D1,Stack emissions permit with enforceable SO2/NOx limits (roasting),D,+25 if from national regulator with numeric limits; +12 if internal target only; 0 if absent or not applicable,25,SO2 / NOx (roasting),National air quality regulations
2,P2_D2,Cyanide detoxification procedure declared and bounded,D,+20 if procedure matches ICMC standard with measurable outcome; +10 if procedure named only; 0 if absent,20,Cyanide solution,ICMC Cyanide Code Article 6
2,P2_D3,Water balance model for site (intake vs recycled vs discharge),D,+15 if independent water balance model on file; +8 if internal model; 0 if absent,15,Process water,ICMM Water Stewardship Framework
2,P2_C1,Third-party stack emissions test (external accredited lab) within 24 months,C,+30 if from accredited lab within window; +15 if from company lab; 0 otherwise,30,SO2 / NOx,National accreditation body
2,P2_C2,Effluent discharge cross-checked to national environmental registry,C,+20 if matched to registry entry; +10 if company-reported only; 0 otherwise,20,Process water / heavy metals,National environmental registry
2,P2_C3,Independent cyanide spill audit or Path-to-Zero program verification,C,+10 if third-party verified; +5 if internal audit; 0 otherwise,10,Cyanide spills,Newmont Path to Zero Cyanide Spills
3,P3_N1,Slag volume declared per smelting run (tonnes),N,+20 if declared per run with composition; +10 if annual aggregate; 0 if absent,20,Smelter slag,Industry LCA benchmarks
3,P3_N2,SO2 and NOx emissions declared per furnace cycle against permit,N,+20 if declared with permit reference; +10 if declared without permit link; 0 if absent,20,SO2 / NOx,National air quality permit
3,P3_N3,Mercury capture waste volume declared (where mercury used),N,+10 if quantified; +5 if acknowledged; 0 if absent or not applicable,10,Mercury capture waste,Minamata Convention monitoring
3,P3_D1,Furnace emissions permit with numeric limits from national regulator,D,+25 if from regulator with annual compliance report; +12 if internal target; 0 if absent,25,SO2 / NOx / particulates,National air quality regulations
3,P3_D2,Slag characterisation and disposal pathway documented,D,+20 if characterisation (TCLP or equivalent) and licensed disposal site named; +10 if disposal site named only; 0 if absent,20,Smelter slag,National hazardous waste regulations
3,P3_D3,Mercury handling and capture policy aligned to Minamata Convention,D,+15 if policy explicitly references Minamata; +8 if generic mercury policy; 0 if absent or not applicable,15,Mercury capture waste,Minamata Convention
3,P3_C1,Third-party stack test for SO2/NOx/particulates within 24 months,C,+30 if from accredited external lab; +15 if company lab; 0 otherwise,30,SO2 / NOx,National accreditation body
3,P3_C2,Slag disposal cross-checked to licensed facility manifest,C,+20 if manifest matched to licensed facility; +10 if company-reported disposal only; 0 otherwise,20,Smelter slag,Licensed facility manifest
4,P4_N1,Acid pickling liquor volume declared per refining batch,N,+20 if volume and acid concentration both stated; +10 if volume only; 0 if absent,20,Acid pickling liquors,LBMA Responsible Sourcing
4,P4_N2,Anode slime (PGM-bearing) volume declared per electrolytic run,N,+15 if declared with assay; +8 if volume only; 0 if absent,15,Anode slime,Industry LCA; LBMA
4,P4_N3,Cooling water discharge volume and temperature declared,N,+10 if both volume and temperature delta stated; +5 if volume only; 0 if absent,10,Cooling water,National water quality regulations
4,P4_D1,Acid neutralisation facility certified and discharge permit current,D,+25 if permit current and neutralisation certified; +12 if permit exists without neutralisation cert; 0 if absent,25,Acid pickling liquors,National environmental regulations
4,P4_D2,Chlorine and HCl emission controls documented (Miller process),D,+20 if scrubber specification and performance bounds documented; +10 if scrubber existence noted only; 0 if absent or not applicable,20,Chlorine / HCl gas,National air quality regulations
4,P4_C1,Third-party effluent quality test for acid discharge within 12 months,C,+30 if from accredited lab; +15 if company lab; 0 otherwise,30,Acid effluent,National accreditation body
4,P4_C2,PGM anode slime custody chain to secondary processor documented,C,+15 if full custody chain to licensed secondary processor; +8 if processor named only; 0 otherwise,15,Anode slime,Secondary PGM processor records
5,P5_N1,Metal filings and swarf volume declared per production run,N,+15 if declared with recovery rate; +8 if acknowledged; 0 if absent,15,Metal shavings / filings,Industry convention
5,P5_N2,Assay cupel waste (lead and silver) volume declared,N,+15 if declared with disposal method; +8 if acknowledged; 0 if absent,15,Assay cupel waste,LBMA GDL; national hazardous waste
