record_id,phase_id,entity,country,date,metric_name,metric_value,unit,source_type,source_name,url,notes
1,0,ICPDR,Danube Basin,2021-01-01,water_bodies_good_ecological_status_pct,40,percent,public,ICPDR JDS4 Biological and Chemical Quality Elements 2019,https://www.icpdr.org,Share of Danube water bodies reaching good or better WFD ecological status; target 100% by 2027 unachievable without major investment
2,0,ICPDR,Danube Basin,2022-01-01,total_nitrogen_load_kt_yr,580,kt N/yr,public,ICPDR Danube Watch Annual Nutrient Load Report 2022,https://www.icpdr.org,Annual nitrogen load delivered by Danube to Black Sea; drives coastal and shelf eutrophication; primary driver of hypoxic events
3,0,ICPDR,Danube Basin,2022-01-01,total_phosphorus_load_kt_yr,18.5,kt P/yr,public,ICPDR Danube Watch Annual Nutrient Load Report 2022,https://www.icpdr.org,Annual phosphorus load; contributes to eutrophication in slow-moving lower basin stretches; limits fish habitat quality
4,0,EEA,Danube Basin,2022-01-01,eutrophication_risk_water_bodies_pct,42,percent,public,EEA WFD Article 5 Status Assessment 2022,https://www.eea.europa.eu,Share of Danube water bodies at risk of or experiencing eutrophication; primarily agricultural nutrient runoff
5,0,ICPDR,Danube Basin,2022-01-01,dissolved_oxygen_main_channel_mg_l,9.2,mg/L,public,ICPDR JDS4 Physico-chemical quality elements,https://www.icpdr.org,Mean dissolved oxygen in the main Danube channel; adequate for most species but drops in eutrophic tributaries and delta distributaries
6,1,ICPDR,Danube Basin,2021-01-01,migration_range_accessible_pct,16,percent,public,ICPDR JDS4 Hydromorphological Assessment and Fish Migration Roadmap,https://www.icpdr.org,Share of historical migratory fish range still accessible (16%); 84% blocked by dams and weirs primarily Iron Gate I and II
7,1,ICPDR,Danube Basin,2021-01-01,dams_blocking_migration_count,60,count,public,ICPDR Hydromorphological pressure inventory JDS4,https://www.icpdr.org,Number of dams on main stem and major tributaries that block or severely impede fish migration; Iron Gate I and II most critical
8,1,ICPDR,Danube Basin,2021-01-01,dams_with_operational_fish_pass_pct,22,percent,public,ICPDR JDS4 Hydromorphological Assessment,https://www.icpdr.org,Share of migration-blocking dams with operational fish passes; Iron Gate I and II have NO functional pass for large migratory species
9,1,WWF Danube-Carpathian,Danube Basin,2022-01-01,floodplain_nursery_area_remaining_ha,85000,ha,public,WWF Danube Floodplain Restoration Programme 2022,https://www.wwf.ro,Remaining floodplain nursery habitat for juvenile fish; 47% reduction from pre-regulation baseline of 160000 ha
10,1,EEA,Danube Basin,2022-01-01,river_length_free_flowing_pct,38,percent,public,EEA European Rivers Assessment 2022,https://www.eea.europa.eu,Share of Danube main stem and tributaries classified as free-flowing; key indicator for migration corridor integrity
11,2,ICPDR,Danube Basin,2021-01-01,juvenile_fish_density_main_channel_per_100m,38,fish/100m,public,ICPDR JDS4 Fish Assemblage electrofishing data,https://www.icpdr.org,Mean juvenile fish density in main channel electrofishing surveys; much lower than connected floodplain habitats
12,2,ICPDR,Danube Basin,2021-01-01,juvenile_fish_density_floodplain_per_100m,112,fish/100m,public,ICPDR JDS4 Fish Assemblage electrofishing data,https://www.icpdr.org,Mean juvenile fish density in connected floodplain habitats; 3x higher than main channel confirming critical nursery function
13,2,ICPDR Sturgeon TF,Danube Basin,2022-01-01,annual_sturgeon_restocking_individuals,180000,individuals,public,ICPDR Danube Sturgeon Task Force Annual Report 2022,https://www.icpdr.org/main/issues/sturgeon,Annual hatchery-reared sturgeon juveniles released into Danube; 95% of juvenile sturgeon in monitoring surveys are from restocking
14,2,ICPDR,Danube Basin,2021-01-01,year_class_strength_index_carp,0.72,index 0-1,public,ICPDR JDS4 Fish Assemblage biological quality element,https://www.icpdr.org,Year-class strength index for common carp; moderate but declining in warm drought years indicating climate sensitivity
15,3,FAO/ICPDR,Danube Basin,2022-01-01,total_fishable_biomass_estimate_tonnes,420000,tonnes,inferred,EFI / ICPDR production-biomass ratio applied to basin catch data,https://www.icpdr.org,Total fishable biomass estimate using P/B ratio; dominated by common carp; wels catfish; and pike-perch
16,3,IUCN,Danube Basin,2022-01-01,sturgeon_population_decline_vs_1900_pct,95,percent,public,IUCN European Red List of Freshwater Fishes 2022,https://www.iucnredlist.org,Six sturgeon species: population decline exceeds 95% vs 1900 baseline; all listed as Critically Endangered
17,3,IUCN,Danube Basin,2022-01-01,european_eel_decline_pct,70,percent,public,IUCN Red List : Anguilla anguilla (Critically Endangered),https://www.iucnredlist.org,European eel population decline (glass eel recruitment index) approximately 70% from 1980 baseline; dam blockage one of primary drivers
18,3,ICPDR,Danube Basin,2022-01-01,threatened_near_threatened_species_pct,38,percent,public,IUCN / ICPDR freshwater biodiversity assessment 2022,https://www.icpdr.org,Share of the 100 native Danube fish species at threatened or near-threatened status; highest proportion in any major European river
19,4,Eurostat,Danube Basin,2022-01-01,annual_allowable_catch_tonnes,22000,tonnes/yr,public,Eurostat Fishery Statistics FISH : Inland freshwater catch 2022,https://ec.europa.eu/eurostat,Total annual allowable commercial catch across 10 mainstream countries; 35% below catches 20 years ago
20,4,TRAFFIC,Danube Basin,2022-01-01,sturgeon_poaching_incidents_yr,340,incidents/yr,public,TRAFFIC Sturgeon Trade Report 2022 : Danube Basin,https://www.traffic.org,Detected illegal sturgeon poaching incidents per year across Danube basin; actual frequency estimated 3-5x higher
21,4,ICPDR,Danube Basin,2022-01-01,basin_wide_compliance_rate_pct,72,percent,public,ICPDR Annual Report 2022,https://www.icpdr.org,Fisheries regulation compliance rate across 10 mainstream countries; higher in EU states; lower in non-EU
22,4,Eurostat,Danube Basin,2022-01-01,recreational_fishing_licences,480000,licences,public,Eurostat Fishery Statistics FISH : Recreational fishing licences,https://ec.europa.eu/eurostat,Total active recreational fishing licences across 10 mainstream Danube countries; significant economic value for rural communities
23,1,ICPDR,Danube Basin,2022-01-01,spawning_sites_in_good_condition_pct,28,percent,public,ICPDR Sturgeon Task Force spawning site survey 2022,https://www.icpdr.org/main/issues/sturgeon,Share of known historical spawning sites in good condition (adequate substrate; flow; accessibility); 72% degraded or inaccessible
24,0,EEA,Danube Basin,2022-01-01,hypoxic_events_black_sea_coast_per_decade,4,events/decade,public,EEA Black Sea Regional Sea Assessment 2022,https://www.eea.europa.eu,Frequency of hypoxic events on Black Sea coastal shelf driven by Danube nutrient load; kills juvenile fish and benthic fauna
25,3,FAO,Danube Basin,2022-01-01,annual_sustainable_yield_estimate_tonnes,38000,tonnes/yr,inferred,FAO production/biomass ratio analysis applied to Danube basin data,https://www.fao.org,Annual sustainable yield estimate; current exploitation rate 58% is above sustainable threshold for several species
