record_id,phase_id,entity,country,date,metric_name,metric_value,unit,source_type,source_name,url,notes
1,0,Danube Commission,Danube Basin,2022-01-01,member_states_danube_commission,13,count,public,Danube Commission Annual Report 2022,https://www.danubecom-intern.org,States party to the 1948 Belgrade Convention and members of the Danube Commission; includes all 10 mainstream countries plus 3 with significant interests
2,0,UNECE,Danube Basin,2022-01-01,harmonised_vessel_registration_pct,85,percent,public,UNECE Inland Navigation Working Party Review 2022,https://unece.org,Share of Danube commercial vessels complying with harmonised technical standards (hull; engine; safety equipment) across all member states
3,0,EU RIS,Danube Basin,2022-01-01,ris_river_information_services_coverage_pct,78,percent,public,EU Directive 2005/44/EC implementation report 2022,https://ec.europa.eu/transport,Share of navigable Danube with operational River Information Services (AIS; fairway depth; lock status; flood warnings)
4,1,Danube Commission,Danube Basin,2022-01-01,active_commercial_ports,68,count,public,Danube Commission Port Statistics Database 2022,https://www.danubecom-intern.org,Active commercial ports on the navigable Danube and its immediate approaches; includes bulk; container; liquid cargo; and multimodal facilities
5,1,Danube Commission,Danube Basin,2022-01-01,annual_port_throughput_mt,34,Mt/yr,public,Danube Commission Navigation Statistics 2022,https://www.danubecom-intern.org,Total cargo throughput at all Danube ports combined; bulk (grain; coal; ore) dominates at 70% of total volume
6,1,Via Donau,Danube Basin,2022-01-01,port_capacity_utilisation_pct,45,percent,public,Via Donau Port Capacity Assessment 2022,https://www.viadonau.org,Share of total Danube port designed capacity actually used; low utilisation reflects fairway depth constraints preventing full vessel loading
7,2,Via Donau,Danube Basin,2022-01-01,dredging_volume_m3_yr,4500000,m3/yr,public,Via Donau Annual Waterway Maintenance Report 2022,https://www.viadonau.org,Total maintenance dredging volume on the Danube navigable reach; primary tool for maintaining minimum fairway depths at critical shallows
8,2,Via Donau,Danube Basin,2022-01-01,dredging_cost_eur_mn_yr,28,EUR million/yr,public,Via Donau Annual Waterway Maintenance Report 2022,https://www.viadonau.org,Annual cost of maintenance dredging; rising as climate change extends low-water periods; excludes environmental compensation costs
9,2,Danube Commission,Danube Basin,2022-01-01,low_water_restriction_days_avg,42,days/yr average,public,Danube Commission Low Water Event Database 2022,https://www.danubecom-intern.org,Mean annual days with fairway depth below TEN-T 2.5 m standard at one or more critical sections; average 2010-2022
10,2,Danube Commission,Danube Basin,2022-01-01,low_water_restriction_days_2022,68,days in 2022,public,Danube Commission Annual Report 2022,https://www.danubecom-intern.org,Low water restriction days in the severe drought year 2022; highest since 2003; demonstrating climate trend impact on navigation
