record_id,phase_id,entity,country,date,metric_name,metric_value,unit,source_type,source_name,url,notes
OO-P0-001,0,Dcoop,Spain,2023,grove_area_ha,2500000,ha,public,Olive Oils from Spain — oliveoilsfromspain.org,https://oliveoilsfromspain.org/industry/,Total Spanish olive grove area
OO-P0-002,0,Dcoop,Spain,2023,olive_trees_count,340000000,trees,public,Olive Oils from Spain — oliveoilsfromspain.org,https://oliveoilsfromspain.org/industry/,Total Spanish olive trees
OO-P0-003,0,Multiple,Spain,2022,farms_count,380000,farms,public,CaixaBank Research 2022,https://www.caixabankresearch.com/en/sectoral-analysis/agrifood/spanish-olive-oil-liquid-gold-must-be-developed-further,Over 380K farms
OO-P0-004,0,Multiple,Spain,2022,avg_farm_size_ha,7,ha,public,CaixaBank Research 2022,https://www.caixabankresearch.com/en/sectoral-analysis/agrifood/spanish-olive-oil-liquid-gold-must-be-developed-further,"52% <5ha; only 16.5% >20ha"
OO-P0-005,0,Multiple,Andalusia (Spain),2023,share_production_andalusia_pct,75,percent,public,Olive Oils from Spain,https://oliveoilsfromspain.org/industry/,75% of Spanish production from Andalusia
OO-P0-006,0,Raul Tendero (farmer),Spain (Toledo),2023,cap_income_share_pct,30,percent,public,CDE/University of Bern — Lea Lamotte,https://www.cde.unibe.ch/insights__media/blogs/coffee_corner/in_the_heart_of_empty_spain_the_uncertain_future_of_olive_oil/index_eng.html,CAP provides ~30% of eligible producer income on average
OO-P0-007,0,Multiple,Spain,2022,share_traditional_farms_pct,87,percent,public,CaixaBank Research 2022,https://www.caixabankresearch.com/en/sectoral-analysis/agrifood/spanish-olive-oil-liquid-gold-must-be-developed-further,87% non-irrigated; only 3% super-intensive
OO-P0-008,0,Multiple,Spain,2022,share_super_intensive_pct,3,percent,public,CaixaBank Research 2022,https://www.caixabankresearch.com/en/sectoral-analysis/agrifood/spanish-olive-oil-liquid-gold-must-be-developed-further,Super-intensive groves (>400 trees/ha): 40-65% higher yield but require irrigation
OO-P1-001,1,Dcoop,Spain (Antequera),2023,harvest_season_start,November,,public,Business Insider — Dcoop documentary 2023,https://www.youtube.com/watch?v=oD3Zg0d3T-s,November to January harvest window
OO-P1-002,1,Dcoop,Spain (Antequera),2023,harvest_season_end,January,,public,Business Insider — Dcoop documentary 2023,https://www.youtube.com/watch?v=oD3Zg0d3T-s,
OO-P1-003,1,Benito (farmer),Spain (Antequera),2019,harvest_kg_per_day_good_year,8000,kg/day,public,Business Insider — Dcoop documentary 2023,https://www.youtube.com/watch?v=oD3Zg0d3T-s,Pre-drought reference year
OO-P1-004,1,Benito (farmer),Spain (Antequera),2022,harvest_kg_per_day_drought,1000,kg/day,public,Business Insider — Dcoop documentary 2023,https://www.youtube.com/watch?v=oD3Zg0d3T-s,2022 drought year (87.5% reduction from 2019)
OO-P1-005,1,Multiple,Spain,2022,production_drop_2022_23_pct,48,percent,public,Bottega del Sarto — Global Supply Chain Challenges,https://www.shop.bottegadelsarto.com/feed/global-olive-oil-supply-chain-challenges-776804,IOC-cited 48% production drop due to drought
OO-P1-006,1,Multiple,Spain,2023,seasonal_worker_shortage_pct,15,percent,public,Bottega del Sarto — Global Supply Chain Challenges,https://www.shop.bottegadelsarto.com/feed/global-olive-oil-supply-chain-challenges-776804,Spanish Ministry of Agriculture data: 15% seasonal worker deficit in 2023
OO-P1-007,1,Dcoop,Spain,2019,production_record_tonnes,275000,tonnes,public,Business Insider — Dcoop documentary 2023,https://www.youtube.com/watch?v=oD3Zg0d3T-s,2019 record: 275K tonnes; 2022 projected 90K tonnes (one-third)
OO-P1-008,1,Dcoop,Spain,2022,production_drought_tonnes,90000,tonnes,public,Business Insider — Dcoop documentary 2023,https://www.youtube.com/watch?v=oD3Zg0d3T-s,2022 drought year harvest forecast
OO-P2-001,2,Multiple,Spain,2023,mills_count,1755,mills,public,Olive Oils from Spain,https://oliveoilsfromspain.org/industry/,1755 active oil mills
OO-P2-002,2,Multiple,Spain (Villacarrillo/Jaen),2023,largest_mill_capacity_tpd,2500,t olives/day,public,Business Insider — Dcoop documentary 2023 + oliveoilsfromspain.org,https://www.youtube.com/watch?v=oD3Zg0d3T-s,World's largest oil mill at Villacarrillo (Jaen)
OO-P2-003,2,Acesur,Spain (Andalusia),2025,ai_quality_samples_per_day,600,samples/day,public,Deutsche Bank — Acesur/La Espanola 2025,https://www.youtube.com/watch?v=MoPqPsebq28,Easy Taste AI device: objective automated organoleptic analysis
OO-P2-004,2,Multiple,Spain,2023,extraction_rate_pct,20,percent,inferred,IOC / industry standard,https://www.internationaloliveoil.org/olive-world/olive-oil/,Typical oil extraction rate (17-25% by variety and ripeness)
OO-P2-005,2,Multiple,Spain,2022,largest_mill_process_cooperative,Dcoop,,public,Business Insider — Dcoop documentary 2023,https://www.youtube.com/watch?v=oD3Zg0d3T-s,Dcoop: 75K farming families; largest cooperative in Spain
OO-P2-006,2,Multiple,Spain,2022,evoo_acidity_max_pct,0.8,percent oleic acid,public,International Olive Council,https://www.internationaloliveoil.org/olive-world/olive-oil/,IOC EVOO standard: <=0.8g/100g free acidity
OO-P3-001,3,Multiple,Spain,2016,pomace_organization_recognized,1,,public,Olive Oil Times — Pomace Industry 2016,https://www.oliveoiltimes.com/business/europe/spains-olive-pomace-oil-industry-gets-a-voice/50290,Professional Organization of Olive Pomace Oil recognized by Spanish Ministry of Agriculture
OO-P3-002,3,Multiple,Spain,2023,alperujo_yield_t_per_t_olives,0.8,t alperujo/t olives,inferred,Industry standard / Sustainable Food Trust 2018,https://sustainablefoodtrust.org/news-views/the-supply-chain-of-fats-olive-oil/,Typical alperujo yield from milling
OO-P3-003,3,Dcoop,Spain,2023,alperujo_uses,fertilizer + biomass + animal feed,,public,Business Insider — Dcoop documentary 2023,https://www.youtube.com/watch?v=oD3Zg0d3T-s,Composted for fertilizer or used as biomass fuel
OO-P4-001,4,Dcoop,Spain (Antequera),2023,storage_capacity_mt,300000,metric tonnes,public,Business Insider — Dcoop documentary 2023,https://www.youtube.com/watch?v=oD3Zg0d3T-s,World's largest olive oil storage facility
OO-P4-002,4,Dcoop,Spain,2023,storage_max_duration_years,2,years,public,Business Insider — Dcoop documentary 2023,https://www.youtube.com/watch?v=oD3Zg0d3T-s,Oil maintained at constant temperature; nitrogen-blanketed
OO-P4-003,4,Multiple,Spain,2023,storage_atmosphere,nitrogen,,public,Business Insider — Dcoop documentary 2023,https://www.youtube.com/watch?v=oD3Zg0d3T-s,Nitrogen blanket prevents oxidation in stainless steel tanks
OO-P5-001,5,Multiple,Spain,2023,bottlers_count,1500,bottlers,public,Olive Oils from Spain,https://oliveoilsfromspain.org/industry/,1500+ bottlers
OO-P5-002,5,Multiple,Spain,2021,bulk_export_share_pct,67,percent,public,CaixaBank Research 2022,https://www.caixabankresearch.com/en/sectoral-analysis/agrifood/spanish-olive-oil-liquid-gold-must-be-developed-further,~2/3 of exports in bulk
OO-P5-003,5,Spain aggregate,Spain,2021,avg_export_price_spain_eur_per_kg,3.22,EUR/kg,public,CaixaBank Research 2022,https://www.caixabankresearch.com/en/sectoral-analysis/agrifood/spanish-olive-oil-liquid-gold-must-be-developed-further,2015-2021 average; vs Italy 4.42 EUR/kg
OO-P5-004,5,Italy aggregate,Italy,2021,avg_export_price_italy_eur_per_kg,4.42,EUR/kg,public,CaixaBank Research 2022,https://www.caixabankresearch.com/en/sectoral-analysis/agrifood/spanish-olive-oil-liquid-gold-must-be-developed-further,Italy rebrands Spanish bulk at premium
OO-P5-005,5,Salov/Filippo Berio,Italy,2018,market_share_uk_pct,23,percent,public,Sustainable Food Trust 2018,https://sustainablefoodtrust.org/news-views/the-supply-chain-of-fats-olive-oil/,Salov/Filippo Berio 23% UK market share using Italian branding on Spanish origin oil
OO-P5-006,5,Multiple,Spain,2021,quality_standard_decree,Royal Decree 760/2021,,public,CaixaBank Research 2022,https://www.caixabankresearch.com/en/sectoral-analysis/agrifood/spanish-olive-oil-liquid-gold-must-be-developed-further,New traceability/quality standard; computerized bulk oil movement tracking from Oct 2021
OO-P5-007,5,Multiple,Global,2023,glass_price_increase_pct,25,percent,public,Bottega del Sarto — Supply Chain Challenges,https://www.shop.bottegadelsarto.com/feed/global-olive-oil-supply-chain-challenges-776804,Global glass bottle price increase
OO-P6-001,6,MSC Spain,Spain,2024,flexibag_capacity_litres,24000,litres per 20ft container,public,MSC Spain — Olive Oil Transportation,https://www.msc.com/en/local-information/europe/spain/spain-olive-oil,MSC flexibag for bulk olive oil transport
OO-P6-002,6,Rubino RS,Italy (Puglia),2024,company_age_years,80,years,public,Rubino RS — Trasporto Olio,https://www.rubinors.com/trasporto-olio/,80+ year specialist in olive oil intermodal transport
OO-P6-003,6,Multiple,Global,2024,shipping_delay_red_sea_days,12.5,days,public,Bottega del Sarto — Supply Chain Challenges,https://www.shop.bottegadelsarto.com/feed/global-olive-oil-supply-chain-challenges-776804,Red Sea disruptions added 10-15 days to Asia routes (late 2024)
OO-P6-004,6,Multiple,Global,2024,container_rate_vs_prepandemic_x,2.5,x pre-pandemic,public,Bottega del Sarto — Supply Chain Challenges,https://www.shop.bottegadelsarto.com/feed/global-olive-oil-supply-chain-challenges-776804,Shipping container rates 2-3x pre-pandemic (still elevated in 2025)
OO-P7-001,7,Multiple,Spain,2023,export_value_eur_2023_24,6040000000,EUR,public,Olive Oil Times — Export Record December 2024,https://www.oliveoiltimes.com/business/europe/olive-oil-exports-from-spain-reach-record-high-defying-production-hurdles/135898,Record EUR 6.04B in 2023/24 crop year
OO-P7-002,7,Multiple,Spain,2023,export_volume_tonnes_2023_24,742500,tonnes,public,Olive Oil Times — Export Record December 2024,https://www.oliveoiltimes.com/business/europe/olive-oil-exports-from-spain-reach-record-high-defying-production-hurdles/135898,Similar volume to prior year; revenue increase from price
OO-P7-003,7,Multiple,Spain,2023,export_avg_price_eur_per_kg,8.00,EUR/kg,public,Olive Oil Times — Export Record December 2024,https://www.oliveoiltimes.com/business/europe/olive-oil-exports-from-spain-reach-record-high-defying-production-hurdles/135898,57% higher than prior year; peak EUR 8.75 in March 2024
OO-P7-004,7,Multiple,Spain,2024,top_destination_italy_share_pct,28.2,percent,public,CaixaBank Research 2022,https://www.caixabankresearch.com/en/sectoral-analysis/agrifood/spanish-olive-oil-liquid-gold-must-be-developed-further,Italy top destination by volume
OO-P7-005,7,Multiple,Spain,2023,usa_exports_eur,1000000000,EUR,public,Olive Oil Times — Export Record December 2024,https://www.oliveoiltimes.com/business/europe/olive-oil-exports-from-spain-reach-record-high-defying-production-hurdles/135898,USA >EUR 1B for first time in 2023/24
OO-P7-006,7,Multiple,Europe,2026,europe_market_value_usd,13100000000,USD,public,Persistence Market Research 2026,https://www.persistencemarketresearch.com/market-research/europe-olive-oil-market.asp,European market USD 13.1B in 2026; forecast USD 16.7B by 2033 CAGR 3.6%
OO-P7-007,7,Acesur/La Espanola,Spain (Andalusia),2025,export_countries,120,countries,public,Deutsche Bank — Acesur/La Espanola 2025,https://www.youtube.com/watch?v=MoPqPsebq28,Acesur exports La Espanola brand to 120 countries
OO-P7-008,7,Multiple,Global,2023,global_production_mt_2023,2400000,tonnes,public,Bottega del Sarto — Supply Chain Challenges,https://www.shop.bottegadelsarto.com/feed/global-olive-oil-supply-chain-challenges-776804,"2023: 2.4M tonnes global; 2021: 3.2M tonnes. IOC: 2017/18 forecast 4.7M tonnes never materialised"
OO-P7-009,7,Multiple,Global,2026,evoo_market_share_pct,74,percent,public,Persistence Market Research 2026,https://www.persistencemarketresearch.com/market-research/europe-olive-oil-market.asp,EVOO dominates 74% of European olive oil market
