record_id,phase_id,entity,country,date,metric_name,metric_value,unit,source_type,source_name,url,notes
1,1,ERA5 Reanalysis,Danube Basin,2024-01-01,mean_annual_precipitation_mm,800,mm/yr,public,Copernicus/ECMWF ERA5,https://www.ecmwf.int/en/forecasts/datasets/reanalysis-datasets/era5,Basin-average mean annual precipitation 1991-2020 climatology
2,1,ERA5 Reanalysis,Danube Basin,2024-01-01,total_precipitation_km3_yr,641,km3/yr,public,Copernicus/ECMWF ERA5,https://www.ecmwf.int,800mm × 801463 km2 = ~641 km3/yr total basin input
3,2,GRDC,Danube Basin,2024-01-01,mean_annual_discharge_m3s,6500,m3/s,public,Global Runoff Data Centre,https://www.bafg.de/GRDC,Long-term mean discharge at Ceatal Izmail (near mouth); GRDC station data
4,2,GRDC,Danube Basin,2024-01-01,mean_annual_runoff_km3,206,km3/yr,public,Global Runoff Data Centre,https://www.bafg.de/GRDC,Annual runoff volume; runoff coefficient ~0.32
5,2,GRDC,Danube Basin,2024-01-01,runoff_coefficient,0.32,dimensionless,public,Global Runoff Data Centre,https://www.bafg.de/GRDC,Runoff / precipitation ratio; 206/641
6,3,GRACE-FO,Danube Basin,2024-01-01,groundwater_storage_km3,88,km3,public,NASA GRACE-FO,https://grace.jpl.nasa.gov,Approximate basin groundwater storage; GRACE-FO TWS minus soil moisture and snow components
7,3,ESDAC,Danube Basin,2024-01-01,floodplain_aquifer_recharge_km3_yr,12,km3/yr,inferred,European Soil Data Centre (JRC),https://esdac.jrc.ec.europa.eu,Estimated floodplain aquifer annual recharge from river bank filtration and direct infiltration
8,4,AQUASTAT,Danube Basin,2024-01-01,total_annual_renewable_water_km3,206,km3/yr,public,FAO AQUASTAT,https://www.fao.org/aquastat,Total actual renewable freshwater resources; sum of internal flow and external inflow (Danube)
9,4,AQUASTAT,Danube Basin,2024-01-01,per_capita_freshwater_m3_yr,2543,m3/person/yr,public,FAO AQUASTAT,https://www.fao.org/aquastat,206 km3 / 81 million people; above UN scarcity threshold of 1700 m3/person/yr
10,4,AQUASTAT,Danube Basin,2024-01-01,water_stress_index,0.17,dimensionless,public,FAO AQUASTAT,https://www.fao.org/aquastat,Total abstraction / total renewable resources; 0.17 = low stress nationally; locally higher
11,0,ERA5 Reanalysis,Danube Basin,2024-01-01,precipitable_water_column_mean_kg_m2,18.5,kg/m2,public,Copernicus/ECMWF ERA5,https://www.ecmwf.int,Annual mean total column water vapour over basin; seasonal peak in summer
12,2,ICPDR,Danube Basin,2024-01-01,iron_gate_dam_regulated_flow,1,boolean,public,ICPDR,https://www.icpdr.org,Flow significantly altered by Iron Gate I (1972) and Iron Gate II (1984) dams on Serbia-Romania border
13,2,ICPDR,Danube Basin,2021-01-01,wfd_good_ecological_status_pct,40,percent,public,ICPDR WFD Implementation Report 2021,https://www.icpdr.org,Share of Danube water bodies at good or better ecological status under WFD assessment; 60% still below target
14,2,Bloschl et al.,Danube Basin,2019-01-01,projected_runoff_decline_rcp45_2050_pct,-15,percent,public,"Blöschl G. et al. (2019). Twenty-three unsolved problems in hydrology. Hydrological Sciences Journal 64(10)",https://doi.org/10.1080/02626667.2019.1620507,Median projection for Danube runoff reduction by 2050 under RCP 4.5; range -10 to -30%
15,2,ICPDR,Danube Basin,2021-01-01,projected_runoff_decline_rcp85_2050_pct,-35,percent,public,ICPDR Climate Change Adaptation Strategy for the Danube River Basin (2021),https://www.icpdr.org,Median projection for Danube runoff reduction by 2050 under RCP 8.5; range -20 to -50%; lower basin most affected
16,4,Colloff and Pittock,Danube Basin (analogous),2022-01-01,env_flow_target_met_pct_analogue,40,percent,inferred,"Colloff M.J. and Pittock J. (2022). Mind the Gap! Water 14(2) 208. DOI: 10.3390/w14020208","https://doi.org/10.3390/w14020208","Analogous Murray-Darling result: environmental flows met at ~2% of target wetland sites 2014-2019; estimated 40% for Danube based on ICPDR good ecological status data"
