record_id,phase_id,entity,country,date,metric_type,metric_category,d_value,c_value,n_value,balance_score,sustainability_index,unit,source_type,source_name,url,notes
1,0,Geological Prospecting_Entity,USA,2025-01-01,daily_state,ndc_balance,302.4,174.43,98.52,42.9,0.0061,index,simulated,Synthetic Generator - Optimization,,Optimization trajectory - progress: 0.67%
2,1,Mine Extraction_Entity,USA,2025-01-01,daily_state,ndc_balance,330.29,188.35,105.6,42.34,0.005,index,simulated,Synthetic Generator - Optimization,,Optimization trajectory - progress: 0.67%
3,2,Ore Processing_Entity,USA,2025-01-01,daily_state,ndc_balance,301.75,187.71,111.76,46.96,0.0077,index,simulated,Synthetic Generator - Optimization,,Optimization trajectory - progress: 0.67%
4,3,Doré Production_Entity,USA,2025-01-01,daily_state,ndc_balance,309.33,178.79,101.11,43.0,0.0059,index,simulated,Synthetic Generator - Optimization,,Optimization trajectory - progress: 0.67%
5,4,Refining_Entity,USA,2025-01-01,daily_state,ndc_balance,301.04,170.17,94.88,41.92,0.0058,index,simulated,Synthetic Generator - Optimization,,Optimization trajectory - progress: 0.67%
6,5,Bar Casting & Assay_Entity,USA,2025-01-01,daily_state,ndc_balance,292.5,182.8,109.22,47.23,0.0083,index,simulated,Synthetic Generator - Optimization,,Optimization trajectory - progress: 0.67%
7,6,Logistics & Vaulting_Entity,USA,2025-01-01,daily_state,ndc_balance,345.42,143.88,69.4,31.13,0.0025,index,simulated,Synthetic Generator - Optimization,,Optimization trajectory - progress: 0.67%
8,7,Exchange Registration_Entity,USA,2025-01-01,daily_state,ndc_balance,291.23,204.98,135.13,55.31,0.0134,index,simulated,Synthetic Generator - Optimization,,Optimization trajectory - progress: 0.67%
9,0,Geological Prospecting_Entity,USA,2025-01-02,daily_state,ndc_balance,313.99,171.59,93.71,40.37,0.0049,index,simulated,Synthetic Generator - Optimization,,Optimization trajectory - progress: 0.70%
10,1,Mine Extraction_Entity,USA,2025-01-02,daily_state,ndc_balance,326.31,178.67,97.69,40.46,0.0046,index,simulated,Synthetic Generator - Optimization,,Optimization trajectory - progress: 0.70%
11,2,Ore Processing_Entity,USA,2025-01-02,daily_state,ndc_balance,323.66,187.92,106.6,43.23,0.0054,index,simulated,Synthetic Generator - Optimization,,Optimization trajectory - progress: 0.70%
