record_id,phase_id,phase_name,date,claim_type,physical_volume,physical_unit,physical_value_usd_billions,abstract_quantity,abstract_unit,abstract_value_usd_billions,coupling_ratio,coupling_ratio_status,e_score,claim_counterparty,maturity_or_vintage,is_rehypothecated,rehypothecation_mechanism,source_type,source_name,notes
1,0,Geological Occurrence & Prospecting,2024-01-01,none,0,n/a,0,0,n/a,0,1.0,MEASURED,100,none,n/a,false,none,inferred,NDC Framework,No abstract claims exist at the prospecting phase. In-situ gold cannot be traded as a paper claim. E-layer is fully coupled by definition.
2,1,Mine Extraction,2024-01-01,streaming_agreement,3500,tonnes/year,225.0,5.0,percent_of_annual_production,11.3,0.90,ESTIMATED,90,"Franco-Nevada Corporation; Royal Gold Inc.; Wheaton Precious Metals Corp.",perpetual,false,none,public,"Franco-Nevada 2023 Annual Report; Royal Gold 2023 Annual Report; Wheaton Precious Metals 2023 Annual Report","Streaming companies hold contractual rights to purchase fixed percentages of mine output at below-market fixed prices. Top 3 streaming companies collectively entitled to ~5% of global mine production (~175 tonnes/year). Abstract claim value estimated as NPV of streaming obligations at current spot. Coupling is high (~0.90) because streaming rights are legally tied to actual physical production — decoupling is value-capture (phi concern) not physical abstraction (e concern). Rehypothecation not applicable."
3,1,Mine Extraction,2024-01-01,royalty_interest,3500,tonnes/year,225.0,2.0,percent_of_annual_production,4.5,0.95,ESTIMATED,95,"Franco-Nevada Corporation; Royal Gold Inc.; Osisko Gold Royalties; Sandstorm Gold",perpetual,false,none,public,"Company 10-K and annual report filings","Net smelter return (NSR) and gross overriding royalties entitle holders to a percentage of revenue from mine output. Coupling ratio near 1.0 — royalties only trigger if physical gold is actually produced and sold. No physical decoupling. E-layer fully coherent at this sub-layer."
4,1,Mine Extraction,2024-01-01,forward_sales_hedge,100,tonnes,6.4,100,tonnes,6.4,1.0,MEASURED,100,"Barrick Gold; Newmont; various investment bank counterparties",1-24 months rolling,false,none,public,"World Gold Council Gold Demand Trends 2023; company annual reports","Producer hedging (forward sales) has declined dramatically from >3000 tonnes in early 2000s to ~100 tonnes currently. Each forward sale commits specific anticipated future production. Coupling ratio = 1.0 — the abstract forward claim is directly tied to and cancelled by physical delivery. Not rehypothecated."
5,2,Ore Processing & Concentration,2024-01-01,none,0,n/a,0,0,n/a,0,1.0,MEASURED,100,none,n/a,false,none,inferred,NDC Framework,No abstract claims layer at ore processing. Concentrate is an intermediate physical product with no paper market. E-layer fully coupled.
6,3,Dore Production,2024-01-01,none,0,n/a,0,0,n/a,0,1.0,MEASURED,100,none,n/a,false,none,inferred,NDC Framework,No abstract claims layer at dore production. Dore bars are in-transit custody — no futures market or paper claims instrument operates at this phase. E-layer fully coupled.
7,4,Refining,2024-01-01,metal_lease,6500,tonnes,418.0,6500,tonnes,418.0,0.40,ESTIMATED,40,"Bank of England; Swiss National Bank; Deutsche Bundesbank; Banque de France (lessors). HSBC; JPMorgan Chase; UBS; Citibank; ICBC Standard Bank (lessees).",1-12 months (routinely rolled),true,"Central bank lends gold to bullion bank (lessee). Lessee uses as working capital or re-lends to a second bullion bank. The original central bank continues to record the gold as an asset on its balance sheet. The same physical gold is simultaneously claimed by 2-3 counterparties. Re-lending rate estimated at 2-3x on average.","public; estimated","World Gold Council Gold Demand Trends 2023; BIS OTC Derivatives Statistics; IMF Article IV consultations; Jeffrey Christian (CPM Group) CFTC Hearing testimony March 2010","Gold on lease globally estimated at 5000-8000 tonnes (WGC/analyst consensus). Midpoint 6500 tonnes used. Physical gold has physically moved from central bank vaults to bullion bank/refinery working capital. Central bank records it as still held. Bullion bank uses it as working capital and may re-lend to a second institution. Same physical gold underpins 2-3 simultaneous claims. Coupling ratio estimated 0.40 (gold lent 2-3 times on average). This is the most significant structural rehypothecation mechanism in the upstream chain. Source for re-lending rate: CPM Group; Gold Anti-Trust Action Committee (GATA) analysis."
8,4,Refining,2024-01-01,loco_swap,500,tonnes,32.2,500,tonnes,32.2,0.95,ESTIMATED,95,"LBMA bullion banks bilaterally","1-30 days",false,none,public,"LBMA documentation; Bank for International Settlements OTC derivatives statistics","Loco swaps are location-exchange agreements: gold physically in London is swapped with gold physically in New York or Zurich. Each leg has a corresponding physical asset. Coupling ratio near 1.0. Not rehypothecated. Minor slippage from settlement timing gives ~0.95."
9,5,Bar Casting & Assay,2024-01-01,none,0,n/a,0,0,n/a,0,1.0,MEASURED,100,none,n/a,false,none,inferred,NDC Framework,No abstract claims layer at bar casting and assay. Good Delivery bars at this phase are physical certified assets not yet registered on an exchange. E-layer fully coupled.
10,6,Logistics & Vaulting,2024-01-01,allocated_position,5000,tonnes,321.5,5000,tonnes,321.5,1.0,MEASURED,100,"HSBC Metals; JPMorgan Metals; Brinks; Malca-Amit; Loomis International",indefinite until redeemed,false,none,public,"LBMA Allocated Account documentation; custodian prospectus filings","Allocated gold: specific serial-numbered bars are legally assigned to account holder. Custodian cannot use the gold for any other purpose. Full 1:1 physical backing by definition. E-layer perfectly coupled at this sub-layer."
11,6,Logistics & Vaulting,2024-01-01,unallocated_position,OPAQUE,troy_oz_equivalent,OPAQUE,OPAQUE,troy_oz_equivalent,OPAQUE,OPAQUE,OPAQUE,5,"HSBC Metals; JPMorgan Chase; UBS; Citibank; ICBC Standard Bank; BNP Paribas",demand deposit (no fixed maturity),true,"Bullion bank issues unallocated account claims against a pool of gold. No specific bars are assigned. Bank's obligation is to return equivalent gold not specific bars. Same physical bars simultaneously back multiple unallocated account claims across the bank's client base.","public; estimated","LBMA Unallocated Account documentation (publicly describes allocated vs unallocated distinction); Jeffrey Christian (CPM Group) CFTC Hearing March 2010 (estimated 100:1 paper to physical in bullion banking at that time); BIS OTC derivatives statistics","THIS IS THE PRIMARY E-LAYER OPACITY. Unallocated LBMA positions are not publicly reported in aggregate. No regulator collects or publishes this figure. Analyst estimates of the coupling ratio range from 0.01 to 0.10. E-score of 5 uses midpoint of this range (0.05) and is flagged ESTIMATED/OPAQUE. The actual figure may be lower. This is the most significant decoupling event in the entire gold supply chain and the defining structural feature of the paper gold market. Jeffrey Christian (2010) described the bullion banking system as operating with ~100 units of paper claims per 1 unit of physical gold. More recent analyst estimates suggest the ratio has moderated to 50-100:1. OPAQUE status is itself the analytical finding — this information gap is structural not accidental."
12,6,Logistics & Vaulting,2024-01-01,etf_share,90,million_troy_oz,180.0,90,million_shares_equiv,180.0,0.98,ESTIMATED,98,"SPDR GLD (custodian: HSBC London); iShares IAU (custodian: JPMorgan London); iShares SGOL (custodian: JPMorgan Zurich); Sprott Physical Gold Trust (custodian: Royal Canadian Mint)",indefinite until redeemed,false,none,public,"World Gold Council ETF tracker (monthly); GLD prospectus SEC filing; IAU prospectus SEC filing; independent auditor reports (annual physical audit)","ETF gold is held in allocated, audited, segregated accounts. Annual independent physical audits are required. Coupling ratio ~0.98 reflects minor tracking differences from management fees and creation/redemption timing. Not rehypothecated. The strongest e-layer coherence in the downstream vaulting layer. Total global gold ETF holdings ~80-100M oz as of 2024 (WGC tracker). Midpoint 90M oz used."
13,7,Exchange Registration,2024-01-01,futures_contract,6.0,million_troy_oz,12.0,45.0,million_troy_oz_equivalent,90.0,0.133,ESTIMATED,13,"COMEX clearing members: Goldman Sachs; JPMorgan Chase; Morgan Stanley; Merrill Lynch (BofA Securities); Citigroup Global Markets; Macquarie Futures",quarterly (March/June/September/December),false,"Not rehypothecated in the strict sense — each futures contract is a separate legal obligation. However the same physical registered bars underlie many contracts simultaneously since registered inventory (~6M oz) is far smaller than open interest (~45M oz). Structural overclaiming rather than contractual rehypothecation.","public","COMEX daily warehouse reports (public, free); CFTC Commitment of Traders report (public, weekly); CME Group contract specifications","COMEX registered inventory (physically deliverable) ~5-8M oz as of 2024 (midpoint 6M oz used). Total open interest ~400000-500000 contracts x 100 oz = 40-50M oz equivalent (midpoint 45M oz used). Coupling ratio = 6/45 = 0.133. This means only ~13% of open interest is backed by deliverable physical gold at any given time. The overwhelming majority of contracts are cash-settled or rolled without physical delivery — this is by design and fully disclosed in COMEX contract specifications. E-score = 13. Note: COMEX eligible inventory (not registered but potentially deliverable with re-licensing) adds another ~20-25M oz, which if included would raise coupling to ~0.58. The registered-only figure is used here as the conservative measure of immediately deliverable physical backing."
