record_id,phase_id,entity,country,date,metric_name,metric_value,unit,source_type,source_name,url,notes
GC001,0,UMSEF / Greenpeace Argentina,Argentina,2024,Forest loss in Argentine Gran Chaco,149649,hectares/year,public,Greenpeace Argentina 2025 report,https://news.mongabay.com/2025/02/deforestation-boom-in-gran-chaco-raises-alarm-over-argentinas-forest-law/,2024 data — slight increase from 134700 ha in 2023
GC002,0,UMSEF / Greenpeace Argentina,Argentina,2023,Forest loss in Argentine Gran Chaco,134700,hectares/year,public,Greenpeace Argentina 2025 report,https://news.mongabay.com/2025/02/deforestation-boom-in-gran-chaco-raises-alarm-over-argentinas-forest-law/,2023 baseline
GC003,0,Trase / CONICET,Argentina,2019,Soy-attributed deforestation in Gran Chaco,37000,hectares/year,public,Trase Earth,https://trase.earth/insights/argentina-the-overlooked-hub-of-south-american-soy,2019 most recent attribution estimate
GC004,0,Multiple / WEF,Argentina,2022,Total forest loss Argentine Gran Chaco since 1985,10000000,hectares cumulative,public,WEF Gran Chaco Pathways 2025,https://reports.weforum.org/docs/WEF_The_Gran_Chaco_Pathways_Towards_a_Sustainable_Future_2025.pdf,8-10 Mha range cited across sources
GC005,1,USDA,Argentina,2023,Total national soybean production,50000000,tonnes,public,USDA Soybean Explorer 2024,https://ipad.fas.usda.gov/cropexplorer,National aggregate
GC006,1,INDEC / Trase,Argentina,2019,Soy area in Argentine Gran Chaco,2700000,hectares,public,Trase Earth,https://trase.earth/insights/argentina-the-overlooked-hub-of-south-american-soy,2.6-2.8 Mha range; midpoint used
GC007,1,INDEC / Trase,Argentina,2019,Soy production from Argentine Chaco,7750000,tonnes/year,public,Trase Earth,https://trase.earth/insights/argentina-the-overlooked-hub-of-south-american-soy,6.6-8.9 Mtonnes/year range; midpoint used
GC008,2,AFIP Argentina,Argentina,2021,Soy imports into Argentina from Paraguay,4018000,tonnes,public,Trase Earth / Sio-granos,https://trase.earth/insights/argentina-the-overlooked-hub-of-south-american-soy,82% of total imports in 2016-2021
GC009,2,AFIP Argentina,Argentina,2021,Total soy imports into Argentina,4900000,tonnes,public,Trase Earth / USDA-FAS,https://trase.earth/insights/argentina-the-overlooked-hub-of-south-american-soy,Up from 0.9 Mtonnes in 2016 after lifting of ROSA register
GC010,2,Planet Tracker,Argentina+Paraguay,2019,Trader concentration — top 12 control of Chaco soy exports,88,percent,public,Planet Tracker Gran Chaco Report 2022,https://planet-tracker.org/wp-content/uploads/2022/03/Gran-Chaco-LD-report.pdf,12 traders controlling >88% of soy exports from Gran Chaco biome
GC011,3,CIARA / Bolsa de Cereales,Argentina,2020,Soy crushing capacity,62000000,tonnes/year,public,Bolsa de Cereales 2020 via Trase,https://trase.earth/insights/argentina-the-overlooked-hub-of-south-american-soy,Total Argentine crushing capacity; Rosario accounts for ~80%
GC012,3,CIARA / Bolsa de Cereales,Argentina,2020,Soy crushing capacity utilisation,57,percent,public,Bolsa de Cereales 2020,https://trase.earth/insights/argentina-the-overlooked-hub-of-south-american-soy,Down from ~65% in 2015-2019 due to lower domestic production
GC013,4,UN Comtrade / Trase,EU (27),2019,EU soy cake imports from Argentina,9400000,tonnes,public,Trase Earth,https://trase.earth/insights/argentina-the-overlooked-hub-of-south-american-soy,Largest single importer of Argentine soy cake
GC014,4,UN Comtrade,China,2021,Chinese soybean imports from Argentina,4700000,tonnes,public,UN Comtrade 2021,https://comtrade.un.org,Raw soybeans; not cake
GC015,4,UN Comtrade,India,2021,Indian soy oil imports from Argentina,4200000,tonnes,public,UN Comtrade 2021,https://comtrade.un.org,Soy oil; not cake
GC016,4,Trase Earth,Argentina,2019,Soy export volume covered by trader ZDC,55,percent,public,Trase Earth,https://trase.earth/insights/argentina-the-overlooked-hub-of-south-american-soy,Up from 30% in 2016; 45% still uncovered
GC017,1,WEF,Argentina,2022,Argentine Gran Chaco cattle stock share of national total,33,percent,public,WEF Gran Chaco Pathways 2025,https://reports.weforum.org/docs/WEF_The_Gran_Chaco_Pathways_Towards_a_Sustainable_Future_2025.pdf,Primary calf production region
GC018,1,WEF,Argentina,2022,Calves from Gran Chaco marketed to other provinces,5000000,calves/year,public,WEF Gran Chaco Pathways 2025,https://reports.weforum.org/docs/WEF_The_Gran_Chaco_Pathways_Towards_a_Sustainable_Future_2025.pdf,Sent to Buenos Aires Cordoba Santa Fe and Entre Rios
GC019,0,Maor et al.,Argentina+Bolivia+Brazil,2026,Soybean origin prediction accuracy (SIR+TE model),192.52,kilometres mean prediction error,public,Maor et al. 2026 Nature Comm. Earth Env.,https://doi.org/10.1038/s43247-026-03380-8,267 samples; 5-fold cross-validation; GP regression
GC020,0,Maor et al.,Argentina+Bolivia+Brazil,2026,Soybean origin prediction precision 95% credible region,0.44,million km2,public,Maor et al. 2026 Nature Comm. Earth Env.,https://doi.org/10.1038/s43247-026-03380-8,SIR+TE model; 3.8% of study area
GC021,0,Paruelo et al.,Argentina,2009,CO2 emissions from deforestation (national total),20875,GgC/year,public,Paruelo J. et al. 2009 EIAAc bosques subtropicales,,Average 1996-2005; cited via Fundación Vida Silvestre Argentina
GC022,0,Paruelo et al.,Argentina (Gran Chaco),2009,Gran Chaco share of national deforestation CO2 emissions,75,percent,public,Paruelo J. et al. 2009 EIAAc bosques subtropicales,,75% of 20875 GgC/yr = approx 15656 GgC/yr from Gran Chaco
GC023,0,Paruelo et al.,Argentina (Gran Chaco — derived),2009,Gran Chaco CO2 from deforestation (derived),15656,GgC/year,inferred,Paruelo J. et al. 2009 EIAAc bosques subtropicales,,Derived: 20875 x 0.75; inferred from published percentage
GC024,0,Paruelo et al.,Argentina (Chaco-Salteño),2009,Soil cover reduction from erosion (water and wind),50,percent (midpoint of 40-60% range),public,Paruelo J. et al. 2009 EIAAc bosques subtropicales,,Range 40-60% stated in source; midpoint used as metric value; erosion follows vegetation clearance
GC025,0,Paruelo et al.,Argentina (Gran Chaco),2009,Water regulation service status,degraded,qualitative,public,Paruelo J. et al. 2009 EIAAc bosques subtropicales,,Higher evaporation rates; groundwater pollution from nutrients and agrochemicals documented
GC026,0,Fundación Vida Silvestre / WWF,Argentina (Gran Chaco),2024,Total Gran Chaco area (all countries),107000000,hectares,public,Fundación Vida Silvestre Argentina,https://granchaco.vidasilvestre.org.ar/,Argentina 65 Mha (60.4%); Paraguay 30 Mha (28%); Bolivia 12 Mha (11.4%); Brazil 140000 ha (0.1%)
GC027,0,Fundación Vida Silvestre / WWF,Argentina (Gran Chaco),2024,Argentine Gran Chaco formally protected,5874474,hectares,public,Fundación Vida Silvestre Argentina,https://granchaco.vidasilvestre.org.ar/,9% of total Argentine Chaco; Chaco Seco 3917434 ha; Chaco Humedo 554719 ha; Esteros del Ibera 1402321 ha
GC028,0,Fundación Vida Silvestre / WWF,Argentina (Gran Chaco),2024,Argentine Gran Chaco protection rate,9,percent,public,Fundación Vida Silvestre Argentina,https://granchaco.vidasilvestre.org.ar/,Only 9% under formal protection; 91% exposed to conversion risk
GC029,0,Fundación Vida Silvestre / WWF,Argentina (Gran Chaco),2024,Ramsar wetland sites in Argentine Gran Chaco,4,sites,public,Fundación Vida Silvestre Argentina,https://granchaco.vidasilvestre.org.ar/,Bañados del Rio Dulce y Laguna de Mar Chiquita; Humedales de Chaco; Pilcomayo; Lagunas y Esteros del Ibera
GC030,0,Fundación Vida Silvestre / WWF,Argentina (Gran Chaco),2024,National Parks and Reserves in Argentine Gran Chaco,12,parks/reserves,public,Fundación Vida Silvestre Argentina,https://granchaco.vidasilvestre.org.ar/,7 in Chaco Seco; 3 in Chaco Humedo; 2 in Esteros del Ibera
