record_id,lifecycle_phase_id,metric_name,metric_value,unit,source_type,source_name,data_status,notes
1,0,pilot_farmers_koul,50,persons,confidential,Acorn Project Summary 080523,POPULATED,"Existing farmer participants in Koul pilot."
2,0,potential_participants_10y,100000,persons,confidential,Acorn Project Summary 080523,POPULATED,"Potential participants over 10 years."
3,0,plot_size_ha_per_farmer,1,ha,confidential,Acorn Project Summary 080523,POPULATED,"Estimated average plot size per existing farmer."
4,0,additionality_barrier_finance,,,confidential,Serious Shea Additionality Assessment,POPULATED,"Limited access to financial resources."
5,0,additionality_barrier_expertise,,,confidential,Serious Shea Additionality Assessment,POPULATED,"Limited technical expertise for agroforestry."
6,0,additionality_barrier_land,,,confidential,Serious Shea Additionality Assessment,POPULATED,"Degraded soils, erosion, and land tenure."
7,0,additionality_barrier_markets,,,confidential,Serious Shea Additionality Assessment,POPULATED,"Lack of market opportunities."
8,1,trees_planted_target,35000000,trees,confidential,Serious Shea BPlan V8 2023,POPULATED,"Native trees target by 2030."
9,1,hectares_plantations,1000000,ha,confidential,Serious Shea BPlan V8 2023,POPULATED,"0.9M ha primary and 0.1M ha secondary agroforestry."
10,1,nurseries_count,5,nurseries,confidential,Serious Shea BPlan V8 2023,POPULATED,"Five nurseries, each with 1M seedlings per year."
11,1,facilities_total,26,facilities,confidential,Serious Shea BPlan V8 2023,POPULATED,"Clean-energy processing and collection facilities."
12,1,plantation_sites_count,31,sites,confidential,EP Carbon new Requirements,POPULATED,"Site list currently tabulated in shea_plantation_sites_senegal.csv."
13,2,agrofood_processed_pa,3774,MT/year,confidential,Serious Shea BPlan V8 2023,POPULATED,"Total agro-food processed per year across shea, mango, moringa, and baobab."
14,2,cooperative_workers,13500,persons,confidential,Serious Shea BPlan V8 2023,POPULATED,"At least 50% women, with equal payment and land rights."
15,2,households_beneficiaries,135000,households,confidential,Serious Shea BPlan V8 2023,POPULATED,"Households expected to benefit."
16,2,staff_total,750,persons,confidential,Serious Shea BPlan V8 2023,POPULATED,"Project staff, 50%+ women."
17,3,tree_survival_rate_target,0.8,ratio,confidential,Serious Shea BPlan V8 2023,POPULATED,"80% survival target."
18,3,monitoring_frequency,,,confidential,,OPAQUE,"Inspection cadence is not yet extracted or tabulated."
19,3,seedling_replacement_rate,,,confidential,,OPAQUE,"Replacement rate for failed seedlings is not yet documented."
20,3,maintenance_budget_annual,,,confidential,,OPAQUE,"Dedicated annual maintenance budget is not yet tabulated."
21,3,training_refresh_frequency,,,confidential,,OPAQUE,"Recurring training cadence is not yet documented."
22,4,carbon_sequestered_year_10,4200000,tCO2e,confidential,Serious Shea BPlan V8 2023,POPULATED,"Year 10 carbon sequestration target."
23,4,target_poverty_2030,Zero,status,confidential,Serious Shea Global Indicator Framework,POPULATED,"Serious Shea 2030 poverty target."
24,4,adaptation_action_log,,,confidential,,OPAQUE,"No recurring adaptation action log is currently tabulated."
25,4,climate_stress_trigger_threshold,,,inferred,,OPAQUE,"Thresholds for drought, fire, pests, or land pressure are not yet defined."
