source_id,source_name,source_type,phase_coverage,update_frequency,url,access_method,cost,reliability_score,notes
1,Screpanti and Zamagni An Outline of the History of Economic Thought,secondary,"0,1,2,3,4,5,6,7,8,9",static,https://global.oup.com/,,paid,9,Comprehensive academic survey covering all major schools
2,Heilbroner The Worldly Philosophers,secondary,"0,1,2,3,4,5,6,7",static,https://www.simonandschuster.com/,,paid,8,Classic accessible survey of economic thought from Smith onward
3,Polanyi The Great Transformation,secondary,"2,3,4,5,6",static,https://www.beacon.org/,,paid,9,Essential for phases 2-6: embeddedness market society and institutional change
4,British Museum Mesopotamian Archives,primary,0,static,https://www.britishmuseum.org/,,free,8,Cuneiform tablet records; primary source for Phase 0 economic transactions
5,Stanford Encyclopedia of Philosophy - Ancient Economic Thought,secondary,"0,1",periodic,https://plato.stanford.edu/entries/ancient-economies/,,free,9,Peer-reviewed philosophical encyclopedia entries
6,de Roover The Rise and Decline of the Medici Bank,secondary,2,static,,,paid,9,Definitive archival study of medieval banking Phase 2
7,VOC Historical Archives (Dutch National Archives),primary,3,static,https://www.nationaalarchief.nl/,,free,9,Primary corporate records of the VOC including share registers
8,Bank of England Archives,primary,"3,7,8,9",periodic,https://www.bankofengland.co.uk/archive,,free,9,Central bank records from founding 1694 to present
9,Adam Smith Wealth of Nations 1776,primary,4,static,https://www.gutenberg.org/ebooks/3300,,free,10,Foundational primary text of Phase 4
10,Ricardo Principles of Political Economy 1817,primary,4,static,https://www.gutenberg.org/ebooks/33310,,free,10,Primary text for comparative advantage and value theory
11,Marshall Principles of Economics 1890,primary,5,static,https://www.econlib.org/library/Marshall/marP.html,,free,10,Primary text of marginalist synthesis Phase 5
12,Keynes General Theory 1936,primary,"5,6",static,https://www.gutenberg.org/ebooks/58212,,free,10,Primary text of Keynesian revolution Phase 6
13,IMF Historical Data and WEO,public,"6,7,8,9",annual,https://www.imf.org/en/Publications/WEO,,free,9,World Economic Outlook data from Bretton Woods onward
14,Federal Reserve Historical Data,public,"7,8,9",monthly,https://www.federalreserve.gov/datadownload/,,free,9,US monetary policy data essential for Phases 7-9
15,BIS OTC Derivatives Statistics,public,8,quarterly,https://www.bis.org/statistics/derstats.htm,,free,9,Global derivatives data for Phase 8 financialization analysis
16,Piketty Capital in the Twenty-First Century,secondary,9,static,https://www.hup.harvard.edu/catalog.php?isbn=9780674430006,,paid,8,Long-run inequality data and Phase 9 paradigm challenge
17,Friedman A Monetary History of the United States,secondary,"6,7",static,,,paid,9,Foundational monetarist text Phase 7
18,Lucas Econometrica 1976 Econometric Policy Evaluation,primary,7,static,https://www.jstor.org/stable/1913386,,paid,10,Lucas critique primary text Phase 7
19,Williamson What Washington Means by Policy Reform 1990,primary,8,static,,,paid,9,Washington Consensus primary definition text Phase 8
20,Complexity Economics Institute for New Economic Thinking,secondary,9,ongoing,https://www.ineteconomics.org/,,free,7,Post-2008 alternative framework research Phase 9
