record_id,value_phase_id,entity_id,country,date,period_type,metric_name,metric_value,unit,source_type,source_name,url,notes
1,1,E001,Multi,2024-03-31,quarterly,aisc_usd_per_oz,1385,USD/oz,simulated,Educational Synthetic - Newmont starter,,Synthetic seed for educational quarterly resolution (not real data)
2,1,E001,Multi,2024-03-31,quarterly,cash_cost_usd_per_oz,980,USD/oz,simulated,Educational Synthetic - Newmont starter,,Synthetic seed for educational quarterly resolution (not real data)
3,1,E001,Multi,2024-06-30,quarterly,aisc_usd_per_oz,1420,USD/oz,simulated,Educational Synthetic - Newmont starter,,Synthetic seed for educational quarterly resolution (not real data)
4,1,E001,Multi,2024-06-30,quarterly,cash_cost_usd_per_oz,1010,USD/oz,simulated,Educational Synthetic - Newmont starter,,Synthetic seed for educational quarterly resolution (not real data)
5,1,E001,Multi,2024-09-30,quarterly,aisc_usd_per_oz,1360,USD/oz,simulated,Educational Synthetic - Newmont starter,,Synthetic seed for educational quarterly resolution (not real data)
6,1,E001,Multi,2024-09-30,quarterly,cash_cost_usd_per_oz,960,USD/oz,simulated,Educational Synthetic - Newmont starter,,Synthetic seed for educational quarterly resolution (not real data)
7,1,E001,Multi,2024-12-31,quarterly,aisc_usd_per_oz,1405,USD/oz,simulated,Educational Synthetic - Newmont starter,,Synthetic seed for educational quarterly resolution (not real data)
8,1,E001,Multi,2024-12-31,quarterly,cash_cost_usd_per_oz,995,USD/oz,simulated,Educational Synthetic - Newmont starter,,Synthetic seed for educational quarterly resolution (not real data)
9,1,E001,Multi,2024-12-31,annual,aisc_usd_per_oz,1393,USD/oz,simulated,Educational Synthetic - Newmont starter,,Annual rollup placeholder (average of quarters; not real data)
10,1,E001,Multi,2024-12-31,annual,cash_cost_usd_per_oz,986,USD/oz,simulated,Educational Synthetic - Newmont starter,,Annual rollup placeholder (average of quarters; not real data)
11,1,E002,Multi,2024-03-31,quarterly,aisc_usd_per_oz,1340,USD/oz,simulated,Educational Synthetic - Barrick starter,,Synthetic seed for educational quarterly resolution (not real data)
12,1,E002,Multi,2024-03-31,quarterly,cash_cost_usd_per_oz,940,USD/oz,simulated,Educational Synthetic - Barrick starter,,Synthetic seed for educational quarterly resolution (not real data)
13,1,E002,Multi,2024-06-30,quarterly,aisc_usd_per_oz,1395,USD/oz,simulated,Educational Synthetic - Barrick starter,,Synthetic seed for educational quarterly resolution (not real data)
14,1,E002,Multi,2024-06-30,quarterly,cash_cost_usd_per_oz,975,USD/oz,simulated,Educational Synthetic - Barrick starter,,Synthetic seed for educational quarterly resolution (not real data)
15,1,E002,Multi,2024-09-30,quarterly,aisc_usd_per_oz,1325,USD/oz,simulated,Educational Synthetic - Barrick starter,,Synthetic seed for educational quarterly resolution (not real data)
16,1,E002,Multi,2024-09-30,quarterly,cash_cost_usd_per_oz,925,USD/oz,simulated,Educational Synthetic - Barrick starter,,Synthetic seed for educational quarterly resolution (not real data)
