record_id,phase_id,entity,country,date,metric_name,metric_value,unit,source_type,source_name,url,notes
1,0,Spinacia oleracea (spinach) leaf,Global,2014-01-01,leaf_absorptance_PAR,0.85,dimensionless (fraction),public,Blankenship 2014 Molecular Mechanisms of Photosynthesis 2nd ed.,https://doi.org/10.1002/9781118685068,Fraction of incident PAR 400-700nm absorbed by dark-green leaf. Varies with chlorophyll content.
2,0,Spinacia oleracea (spinach) leaf,Global,2014-01-01,energy_transfer_efficiency_LHCII,0.95,dimensionless (fraction),public,Blankenship 2014 Molecular Mechanisms of Photosynthesis 2nd ed.,https://doi.org/10.1002/9781118685068,Forster resonance energy transfer efficiency within LHCII antenna to reaction center. >95% under normal conditions.
3,0,Arabidopsis thaliana,Global,2011-01-01,chlorophyll_ab_ratio,3.1,mol/mol,public,Jansson 1994 Biochim Biophys Acta; Croce & van Amerongen 2011 Nat Chem Biol,https://doi.org/10.1038/nchembio.648,Chl a/b ratio ~3:1 in most C3 plants. Higher Chl a in core complexes; Chl b in peripheral antenna.
4,0,Spinacia oleracea leaf,Global,2000-01-01,antenna_size_chl_per_PSII,230,Chl molecules per PSII,public,Lavergne & Trissl 1995 Biophys J; Blankenship 2014,,~200-300 Chl molecules per PSII reaction center depending on growth light conditions. Shade-adapted plants have larger antenna.
5,1,Spinacia oleracea leaf (dark-adapted),Global,2000-01-01,Fv_Fm_max_quantum_yield_PSII,0.83,dimensionless,public,Maxwell & Johnson 2000 J Exp Bot,https://doi.org/10.1093/jexbot/51.345.659,Dark-adapted maximum quantum yield of PSII. Values >0.80 indicate healthy unstressed leaves. Stress reduces Fv/Fm.
6,1,Spinacia oleracea leaf,Global,2000-01-01,O2_evolution_rate_saturating_light,28,µmol O2 m-2 s-1,public,Maxwell & Johnson 2000 J Exp Bot; Farquhar et al. 1980,https://doi.org/10.1093/jexbot/51.345.659,Maximum O2 evolution rate under saturating light at 25°C and 380 ppm CO2. Range 20-40 µmol O2 m-2 s-1.
7,1,Arabidopsis thaliana,Global,2011-01-01,PSII_excitation_energy_eV,1.82,eV,public,Blankenship 2014 Molecular Mechanisms of Photosynthesis,,P680 excitation energy. Corresponds to ~680 nm absorption peak. Provides driving force for water oxidation (E0 +0.82 V vs NHE).
8,1,Generic C3 leaf,Global,2014-01-01,protons_released_per_O2,4,H+ per O2 evolved,public,Blankenship 2014; Renger 2012 Biochim Biophys Acta,,Stoichiometry: 4 photons absorbed by PSII required per O2; 4 H+ released into lumen per 2 H2O split.
9,2,Spinacia oleracea thylakoid,Global,2011-01-01,cytochrome_b6f_turnover_rate,150,e- complex-1 s-1,public,Cramer et al. 2011 Biochim Biophys Acta,https://doi.org/10.1016/j.bbabio.2010.11.004,Cytochrome b6f turnover ~100-200 s-1 at 25°C. Rate-limiting step in linear electron flow under most conditions.
10,2,Generic thylakoid membrane,Global,2003-01-01,protons_pumped_per_electron_Qcycle,2,H+ per e- (via Q-cycle),public,Allen 2003 Science; Cramer et al. 2011,,Q-cycle doubles proton pumping at cytochrome b6f: 2 H+ per electron passed through. Total 4 H+ per 2 electrons.
11,2,Spinacia oleracea,Global,2011-01-01,pmf_steady_state,175,mV,public,Kramer et al. 2004 Plant Cell Environ,https://doi.org/10.1111/j.1365-3040.2004.01321.x,Proton motive force at steady-state illumination. ~70% from ΔpH component (~120 mV equivalent) ~30% from Δψ (~55 mV).
12,3,Arabidopsis thaliana leaf,Global,1994-01-01,PSI_quantum_yield_Y1_moderate_light,0.80,dimensionless,public,Klughammer & Schreiber 1994 Planta,https://doi.org/10.1007/BF00202282,PSI quantum yield Y(I) at moderate light (~200 µmol photons m-2 s-1). Decreases at high light due to acceptor-side limitation.
13,3,Generic C3 leaf,Global,2014-01-01,PSI_excitation_energy_eV,1.77,eV,public,Blankenship 2014 Molecular Mechanisms of Photosynthesis,,P700 excitation energy at ~700 nm absorption peak. Lower energy than P680 but sufficient to reduce ferredoxin (E0 -0.43 V).
14,3,Spinacia oleracea leaf,Global,2014-01-01,NADPH_production_rate_steady_state,10,µmol NADPH m-2 s-1,public,Farquhar et al. 1980; Raines 2003 Photosynth Res,,Estimated from Calvin cycle demand. 2 NADPH per CO2 fixed × An ~5 µmol CO2 m-2 s-1 = 10 µmol NADPH m-2 s-1.
15,4,Spinacia oleracea chloroplast,Global,2003-01-01,H_per_ATP_spinach_CF1CF0,4.67,H+ per ATP (14/3),public,Allen 2003 Science,https://doi.org/10.1126/science.1082324,Spinach CF1CF0 ATP synthase has 14 c-subunits per ring. 14 H+ per rotation / 3 catalytic sites = 4.67 H+ per ATP.
16,4,Generic C3 chloroplast,Global,2003-01-01,ATP_NADPH_ratio_linear_flow,1.28,mol ATP per mol NADPH,public,Allen 2003 Science; Raines 2003,,Linear electron flow produces ~1.28 ATP per NADPH. Calvin cycle requires 1.5 ATP per NADPH. Deficit supplemented by cyclic electron flow around PSI.
17,4,Spinacia oleracea,Global,2003-01-01,stroma_pH_dark_vs_light,0.5,pH units increase in light,public,Kramer et al. 2004 Plant Cell Environ,,Stroma alkalinizes by ~0.5 pH units on illumination due to H+ pumping into lumen. Activates Calvin cycle enzymes (Rubisco activase etc).
18,5,Spinacia oleracea leaf (25°C 380ppm CO2),Global,1980-01-01,net_CO2_assimilation_An,20,µmol CO2 m-2 s-1,public,Farquhar et al. 1980 Planta,https://doi.org/10.1007/BF00386231,Representative An for sunlit C3 leaf under saturating light at 25°C ambient CO2. Range 15-25 µmol CO2 m-2 s-1.
19,5,Generic C3 at 25°C 21% O2,Global,1980-01-01,Rubisco_oxygenation_carboxylation_ratio,0.25,mol Vo per mol Vc,public,Farquhar et al. 1980 Planta; Jordan & Ogren 1981,,Vo/Vc ~0.25 at 25°C 21% O2 380 ppm CO2. Increases with temperature. Represents ~25% carbon loss via photorespiration.
20,5,Generic C3,Global,1980-01-01,Rubisco_CO2_Km_chloroplast,9.5,µM dissolved CO2,public,Farquhar et al. 1980; von Caemmerer 2000,,Michaelis constant for CO2 in chloroplast stroma. At ambient CO2 ~8-10 µM — near Km so Rubisco is substrate-limited.
21,5,Generic C3,Global,2000-01-01,Rubisco_specificity_factor_Sc_o,80,mol/mol (dimensionless),public,von Caemmerer 2000 Biochemical Models of Leaf Photosynthesis,,Selectivity of Rubisco for CO2 vs O2. Sc/o ~80 in most C3 plants. Higher = less photorespiration. C4 plants circumvent via CO2 concentrating mechanism.
22,6,Generic C3 chloroplast,Global,2003-01-01,ATP_consumed_per_CO2_fixed,3,mol ATP per mol CO2,public,Raines 2003 Photosynth Res; Allen 2003,,Calvin cycle reduction stoichiometry: 3 ATP + 2 NADPH per CO2 fixed into G3P (net). Deficit in ATP/NADPH ratio from linear flow drives cyclic electron flow.
